projection,y,level
-4.637998759,0,neutral
-5.699296587,1,positive
-8.522890437,0,neutral
-6.401142881,1,positive
-7.938749279,0,neutral
-2.868673219,1,positive
-9.140225486,0,neutral
-9.563403528,1,positive
-13.67704207,0,neutral
-9.130728685,1,positive
-8.577895323,1,positive
-7.872066857,0,neutral
6.719946701,1,positive
-8.159088109,0,neutral
5.569365243,1,positive
-7.202931103,0,neutral
7.122357787,1,positive
-6.521026354,0,neutral
-5.592613121,1,positive
-8.381316199,0,neutral
-6.431661782,1,positive
-9.91662305,0,neutral
-6.754000174,1,positive
-8.47656187,0,neutral
-6.212762362,1,positive
-10.15505281,0,neutral
2.047174545,1,positive
-9.619264862,0,neutral
3.364385728,1,positive
-12.08958887,0,neutral
-7.503650375,1,positive
-9.905394207,0,neutral
-6.918835401,1,positive
-12.82550074,0,neutral
-8.064443266,1,positive
-11.06831347,0,neutral
-7.278465994,1,positive
-11.77528887,0,neutral
-7.70416517,1,positive
-10.64525204,0,neutral
-6.131539787,1,positive
-10.67515512,0,neutral
-10.46510734,1,positive
-9.558212385,0,neutral
-8.656003572,1,positive
-8.361157933,0,neutral
-6.019911715,1,positive
-12.79792382,0,neutral
-8.01020392,1,positive
-11.57182438,0,neutral
-9.934798952,1,positive
-11.92258382,0,neutral
-5.738465825,1,positive
-10.04370593,0,neutral
-8.239514306,1,positive
-13.29006277,0,neutral
5.06586688,1,positive
-11.55064567,0,neutral
-7.319227122,0,neutral
-5.841527357,1,positive
-11.25850112,0,neutral
-6.691749578,1,positive
-9.447163488,0,neutral
-4.839852688,1,positive
-9.910874558,0,neutral
-6.116559765,1,positive
-11.18610454,0,neutral
-5.713064887,1,positive
-10.49956113,0,neutral
-5.04332326,1,positive
-12.58720771,0,neutral
4.524337939,1,positive
-13.75263425,0,neutral
5.823106932,1,positive
-14.43841036,0,neutral
5.881894632,1,positive
-12.6307601,0,neutral
-9.344123278,1,positive
-12.25814918,0,neutral
-0.4574882706,1,positive
-12.00335544,0,neutral
-11.29328913,0,neutral
-6.312710658,1,positive
-10.81500965,0,neutral
-7.137026701,1,positive
-1.684855456,0,neutral
2.936471473,1,positive
-0.8204471426,0,neutral
3.780180959,1,positive
-8.243884055,0,neutral
3.090707881,1,positive
-11.40588452,0,neutral
3.39758886,1,positive
3.736564817,0,neutral
3.362255462,1,positive
2.897224099,0,neutral
9.572169346,1,positive
-10.43889042,0,neutral
9.758750636,1,positive
-9.727596814,0,neutral
4.922371467,1,positive
-9.433079794,0,neutral
4.907185206,1,positive
-11.30876666,0,neutral
3.760886315,1,positive
-10.15305853,0,neutral
3.465733523,1,positive
-0.0210930395,0,neutral
7.135541908,1,positive
-8.847963273,0,neutral
-10.59687237,0,neutral
-0.5031738335,1,positive
-11.29940426,0,neutral
-9.495444298,1,positive
-12.30533247,0,neutral
-6.822588606,1,positive
-10.53124271,0,neutral
2.687158354,1,positive
-10.14350079,0,neutral
5.087511023,1,positive
-9.097098144,0,neutral
1.844299985,1,positive
-8.75161571,0,neutral
-8.979217585,1,positive
-11.82589686,0,neutral
-8.244593846,1,positive
-11.46302266,0,neutral
-4.536244738,1,positive
-6.845247102,0,neutral
-7.018804445,1,positive
-8.971525499,0,neutral
-6.012474651,1,positive
-7.079248409,0,neutral
-5.20829335,1,positive
-9.962709308,0,neutral
-7.299295819,1,positive
-8.402790993,0,neutral
-7.156820515,1,positive
-12.07337709,0,neutral
-7.359085375,1,positive
-10.83129475,0,neutral
-4.864827955,1,positive
-16.1100041,0,neutral
-4.395972111,1,positive
-11.77249561,0,neutral
-9.659728336,1,positive
-11.27634457,0,neutral
-8.740956782,1,positive
-12.14020127,0,neutral
-7.519286984,1,positive
-11.73794216,0,neutral
-8.868640787,1,positive
-10.65224448,0,neutral
7.166794569,1,positive
-8.156473762,0,neutral
7.309141184,1,positive
-9.090945016,0,neutral
6.003810779,1,positive
-3.953364061,0,neutral
-7.398332884,0,neutral
0.9053219967,1,positive
-8.646595515,0,neutral
6.820188142,1,positive
-8.368780574,0,neutral
-7.913321263,1,positive
-7.36601836,0,neutral
5.085094712,1,positive
-9.323181274,0,neutral
-8.887698828,1,positive
-10.50858397,0,neutral
-8.978981821,1,positive
-11.13825406,0,neutral
-8.70515969,1,positive
-11.05000066,0,neutral
-7.415489638,1,positive
-8.554097426,0,neutral
-6.1692697,1,positive
-7.930916362,0,neutral
-4.689893323,1,positive
-7.145213827,0,neutral
-5.496095508,1,positive
-11.00975009,0,neutral
-8.78795538,1,positive
-12.16697209,0,neutral
-6.931469133,1,positive
-9.676757126,0,neutral
-9.651651019,1,positive
-9.009494625,0,neutral
-9.820043879,0,neutral
-8.537229416,1,positive
-8.706943111,0,neutral
-15.77267698,0,neutral
-9.022573541,1,positive
-15.8389175,0,neutral
-7.640842749,1,positive
-16.87322472,0,neutral
7.023906098,1,positive
-12.95398522,0,neutral
-8.091544004,1,positive
-14.55042803,0,neutral
-10.98108805,1,positive
-11.60156466,0,neutral
-6.262841996,1,positive
-11.670485,0,neutral
-7.944595683,1,positive
-10.27483216,0,neutral
-8.562138026,1,positive
-9.215924198,0,neutral
-9.287199326,1,positive
-7.248250181,0,neutral
-4.897254627,1,positive
-7.027544712,0,neutral
8.226534571,1,positive
-7.43600048,0,neutral
6.205109582,1,positive
-8.544261953,0,neutral
-7.617403925,1,positive
-10.08005065,0,neutral
-6.608943468,1,positive
-8.810203847,0,neutral
7.644250383,1,positive
-8.843529186,0,neutral
-5.026302868,1,positive
-6.898574229,0,neutral
5.457331108,1,positive
-7.175990121,0,neutral
4.881886066,1,positive
-11.26799693,0,neutral
-5.847629281,1,positive
-9.951380274,0,neutral
-7.678785445,1,positive
-9.71856773,0,neutral
4.021846374,1,positive
-10.73204384,0,neutral
-5.942685249,1,positive
-7.17746598,0,neutral
-6.564886541,1,positive
-8.390860916,0,neutral
-6.273315927,1,positive
-3.949265289,0,neutral
-6.225684642,1,positive
-8.232182372,0,neutral
-4.557237899,0,neutral
-8.121939667,0,neutral
1.108531037,1,positive
-10.14983067,0,neutral
-4.371340777,1,positive
-8.620332145,0,neutral
-5.977925209,1,positive
-0.7238992191,0,neutral
3.525660732,1,positive
-10.50045739,0,neutral
2.81004524,1,positive
-9.75259544,0,neutral
-8.46098343,0,neutral
-3.230473665,1,positive
-9.614552383,0,neutral
-2.971030487,1,positive
-8.03329531,0,neutral
2.795754928,1,positive
-4.984344705,0,neutral
-4.813452643,1,positive
0.01835635825,0,neutral
-4.257772026,1,positive
-1.984670061,0,neutral
-4.165798038,1,positive
-12.60443966,0,neutral
-8.567468514,1,positive
-12.19066586,0,neutral
-12.27466083,1,positive
-13.96309256,0,neutral
-10.17291983,1,positive
-12.17270956,0,neutral
-11.16487244,1,positive
-14.27725654,0,neutral
5.942530836,1,positive
-13.88728581,0,neutral
6.578404137,1,positive
-7.159823779,0,neutral
-4.731325629,1,positive
-12.18257502,0,neutral
-8.959214493,1,positive
-9.081095257,0,neutral
-3.47322182,1,positive
-11.00006504,0,neutral
-5.128378291,1,positive
-7.773707171,0,neutral
-7.674017552,1,positive
-7.747231963,0,neutral
-8.045528118,1,positive
-10.43927378,0,neutral
10.87358951,1,positive
-11.29282319,0,neutral
9.359828048,1,positive
-12.22268654,0,neutral
-9.36661852,1,positive
-4.50569358,0,neutral
-4.37994241,1,positive
-8.723869685,0,neutral
-6.135878288,1,positive
-8.206558098,0,neutral
-5.950225043,1,positive
-8.26423295,0,neutral
5.570597045,1,positive
-8.412758336,0,neutral
-7.465190084,1,positive
-11.29652901,0,neutral
-4.249863341,1,positive
-12.7175827,0,neutral
-10.73006923,1,positive
-12.05182008,0,neutral
-8.6547428,1,positive
-12.97471566,0,neutral
-7.268959998,1,positive
-12.25068739,0,neutral
4.72356621,1,positive
-13.92229628,0,neutral
-7.599532526,1,positive
-12.58171946,0,neutral
6.065126555,1,positive
-12.07698971,0,neutral
5.63436267,1,positive
-11.83773235,0,neutral
5.308843885,1,positive
-12.28457766,0,neutral
6.205083081,1,positive
-10.25752867,0,neutral
