layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.5396121576,0.2745075171,0,3
2,0.5272424144,0.298000919,0,3
3,0.5295679958,0.3096457416,0,3
4,0.5852822815,0.2841026279,0,3
5,0.5585602439,0.2890179272,0,3
6,0.5924251387,0.2833569071,0,3
7,0.565703101,0.2930968104,0,3
8,0.5559495019,0.3040738414,0,3
9,0.5851161686,0.3003755662,0,3
10,0.5823861764,0.3043106455,0,3
11,0.5994680579,0.3025097901,0,3
12,0.6067272617,0.298317728,0,3
13,0.5942409694,0.3040037941,0,3
14,0.6114364965,0.2975066059,0,3
15,0.6138174489,0.2948277305,0,3
16,0.6330477922,0.2924225021,0,3
17,0.6371313348,0.2982735669,0,3
18,0.6467712884,0.2992850275,0,3
19,0.6830273687,0.289236805,4.62380778e-05,3
20,0.6879139257,0.2897406972,0,3
21,0.7278940732,0.2923823629,0.0001315348828,3
22,0.7373677296,0.2925808767,0,3
23,0.7467225226,0.2958815143,0,3
24,0.7830806157,0.3008732151,0,3
25,0.8088883446,0.2953510569,0,3
26,0.9162614394,0.3511788743,0.006721084819,3
27,0.8489620703,0.3760570459,0.0005913847305,3
