row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9099369235,0,3
MeanDiff,LogReg,0.3365514605,0,3
MeanDiff,PCA,0.9123306846,0,3
MeanDiff,Random,0.01115210931,0.01070114944,3
KMeans,MeanDiff,0.9099369235,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.01640421567,0,3
KMeans,PCA,0.9999004493,0,3
KMeans,Random,0.002754728623,0.02725841608,3
LogReg,MeanDiff,0.3365514605,0,3
LogReg,KMeans,0.01640421567,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.01993207821,0,3
LogReg,Random,0.01378963921,0.02312802478,3
PCA,MeanDiff,0.9123306846,0,3
PCA,KMeans,0.9999004493,0,3
PCA,LogReg,0.01993207821,0,3
PCA,PCA,1,0,3
PCA,Random,0.002668343177,0.02690347463,3
Random,MeanDiff,0.01115210931,0.01070114944,3
Random,KMeans,0.002754728623,0.02725841608,3
Random,LogReg,0.01378963921,0.02312802478,3
Random,PCA,0.002668343177,0.02690347463,3
Random,Random,1,0,3
