row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.02653330415
MeanDiff,LogReg,0.7309570151
MeanDiff,PCA,0.02666170614
MeanDiff,Random,0.04203364005
KMeans,MeanDiff,0.02653330415
KMeans,KMeans,1
KMeans,LogReg,0.0003945289653
KMeans,PCA,0.99997882
KMeans,Random,0.015134577
LogReg,MeanDiff,0.7309570151
LogReg,KMeans,0.0003945289653
LogReg,LogReg,1
LogReg,PCA,0.0005142611561
LogReg,Random,0.01631095242
PCA,MeanDiff,0.02666170614
PCA,KMeans,0.99997882
PCA,LogReg,0.0005142611561
PCA,PCA,1
PCA,Random,0.01512283141
Random,MeanDiff,0.04203364005
Random,KMeans,0.015134577
Random,LogReg,0.01631095242
Random,PCA,0.01512283141
Random,Random,1
