row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.2658124167
MeanDiff,LogReg,0.8185073836
MeanDiff,PCA,0.26364432
MeanDiff,Random,0.02060007256
KMeans,MeanDiff,0.2658124167
KMeans,KMeans,1
KMeans,LogReg,0.005438493955
KMeans,PCA,0.9998823965
KMeans,Random,-0.01237034288
LogReg,MeanDiff,0.8185073836
LogReg,KMeans,0.005438493955
LogReg,LogReg,1
LogReg,PCA,0.004819498516
LogReg,Random,-0.007813992321
PCA,MeanDiff,0.26364432
PCA,KMeans,0.9998823965
PCA,LogReg,0.004819498516
PCA,PCA,1
PCA,Random,-0.01253333231
Random,MeanDiff,0.02060007256
Random,KMeans,-0.01237034288
Random,LogReg,-0.007813992321
Random,PCA,-0.01253333231
Random,Random,1
