row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9080317926
MeanDiff,LogReg,0.2560546914
MeanDiff,PCA,0.9086625077
MeanDiff,Random,0.02259282502
KMeans,MeanDiff,0.9080317926
KMeans,KMeans,1
KMeans,LogReg,0.001393665682
KMeans,PCA,0.9999777534
KMeans,Random,0.03408428649
LogReg,MeanDiff,0.2560546914
LogReg,KMeans,0.001393665682
LogReg,LogReg,1
LogReg,PCA,0.001442325203
LogReg,Random,-0.00783493178
PCA,MeanDiff,0.9086625077
PCA,KMeans,0.9999777534
PCA,LogReg,0.001442325203
PCA,PCA,1
PCA,Random,0.03401391317
Random,MeanDiff,0.02259282502
Random,KMeans,0.03408428649
Random,LogReg,-0.00783493178
Random,PCA,0.03401391317
Random,Random,1
