row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.62431967,0,3
MeanDiff,LogReg,0.4943698226,0,3
MeanDiff,PCA,0.7834622089,3.794803465e-08,3
MeanDiff,Random,0.05095743038,0.004266202937,3
KMeans,MeanDiff,0.62431967,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.1339387544,0,3
KMeans,PCA,0.9594375652,3.755440476e-09,3
KMeans,Random,0.02326650007,0.01343049099,3
LogReg,MeanDiff,0.4943698226,0,3
LogReg,KMeans,0.1339387544,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.2164388381,8.460691461e-08,3
LogReg,Random,0.03109331082,0.006360021663,3
PCA,MeanDiff,0.7834622089,3.794803465e-08,3
PCA,KMeans,0.9594375652,3.755440476e-09,3
PCA,LogReg,0.2164388381,8.460691461e-08,3
PCA,PCA,1,0,3
PCA,Random,0.03404881332,0.008679445438,3
Random,MeanDiff,0.05095743038,0.004266202937,3
Random,KMeans,0.02326650007,0.01343049099,3
Random,LogReg,0.03109331082,0.006360021663,3
Random,PCA,0.03404881332,0.008679445438,3
Random,Random,1,0,3
