layer,accuracy_mean,agreement_mean
1,0.7345100957,0.2815435084
2,0.8036032822,0.2578438007
3,0.8058700181,-0.07419448881
4,0.8061743069,0.2545227267
5,0.8201430806,0.280332562
6,0.8036430978,0.2589061456
7,0.8682020574,0.2715403171
8,0.8828394941,0.2714645458
9,0.8827152286,0.278078517
10,0.9167094042,0.2782511774
11,0.9190458081,0.2808559252
12,0.9143921285,0.2852610236
13,0.9167177099,0.2837334522
14,0.8976374391,0.2963991572
15,0.9096114823,0.2913031002
16,0.904857699,0.2716951597
17,0.9072332309,0.2837110603
18,0.8952013183,0.2832332372
19,0.8925431427,0.1482081781
20,0.887725867,0.4403924133
21,0.8800785138,0.6313573321
22,0.8678723668,0.5272520414
23,0.8581876806,0.5172741329
24,0.8634592993,0.5411915276
25,0.8514434271,0.5123925814
26,0.8418426015,0.4827740278
27,0.8035497774,0.2755049463
