row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9110603999
MeanDiff,LogReg,0.5984941868
MeanDiff,PCA,0.8916225958
MeanDiff,Random,0.04686191267
KMeans,MeanDiff,0.9110603999
KMeans,KMeans,1
KMeans,LogReg,0.3859956325
KMeans,PCA,0.9922474967
KMeans,Random,0.03273639636
LogReg,MeanDiff,0.5984941868
LogReg,KMeans,0.3859956325
LogReg,LogReg,1
LogReg,PCA,0.3665883053
LogReg,Random,0.05378585922
PCA,MeanDiff,0.8916225958
PCA,KMeans,0.9922474967
PCA,LogReg,0.3665883053
PCA,PCA,1
PCA,Random,0.03211308139
Random,MeanDiff,0.04686191267
Random,KMeans,0.03273639636
Random,LogReg,0.05378585922
Random,PCA,0.03211308139
Random,Random,1
