row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.62431967
MeanDiff,LogReg,0.4943698226
MeanDiff,PCA,0.7834622258
MeanDiff,Random,0.04621861147
KMeans,MeanDiff,0.62431967
KMeans,KMeans,1
KMeans,LogReg,0.1339387544
KMeans,PCA,0.9594375691
KMeans,Random,0.01893507824
LogReg,MeanDiff,0.4943698226
LogReg,KMeans,0.1339387544
LogReg,LogReg,1
LogReg,PCA,0.216438872
LogReg,Random,0.03110869664
PCA,MeanDiff,0.7834622258
PCA,KMeans,0.9594375691
PCA,LogReg,0.216438872
PCA,PCA,1
PCA,Random,0.03126223217
Random,MeanDiff,0.04621861147
Random,KMeans,0.01893507824
Random,LogReg,0.03110869664
Random,PCA,0.03126223217
Random,Random,1
