row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.04192548372
MeanDiff,LogReg,0.6520601525
MeanDiff,PCA,0.0743743555
MeanDiff,Random,0.0403788034
KMeans,MeanDiff,0.04192548372
KMeans,KMeans,1
KMeans,LogReg,-0.002857019999
KMeans,PCA,0.993319754
KMeans,Random,0.01173810964
LogReg,MeanDiff,0.6520601525
LogReg,KMeans,-0.002857019999
LogReg,LogReg,1
LogReg,PCA,0.0195724428
LogReg,Random,0.006042208085
PCA,MeanDiff,0.0743743555
PCA,KMeans,0.993319754
PCA,LogReg,0.0195724428
PCA,PCA,1
PCA,Random,0.01483102513
Random,MeanDiff,0.0403788034
Random,KMeans,0.01173810964
Random,LogReg,0.006042208085
Random,PCA,0.01483102513
Random,Random,1
