row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.8229282567
MeanDiff,LogReg,0.4948595263
MeanDiff,PCA,0.8307531403
MeanDiff,Random,0.01807645459
KMeans,MeanDiff,0.8229282567
KMeans,KMeans,1
KMeans,LogReg,0.1382355773
KMeans,PCA,0.9958497232
KMeans,Random,0.01266534651
LogReg,MeanDiff,0.4948595263
LogReg,KMeans,0.1382355773
LogReg,LogReg,1
LogReg,PCA,0.1516613007
LogReg,Random,0.04342141133
PCA,MeanDiff,0.8307531403
PCA,KMeans,0.9958497232
PCA,LogReg,0.1516613007
PCA,PCA,1
PCA,Random,0.01017514814
Random,MeanDiff,0.01807645459
Random,KMeans,0.01266534651
Random,LogReg,0.04342141133
Random,PCA,0.01017514814
Random,Random,1
