row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.7551772542
MeanDiff,LogReg,0.4053368308
MeanDiff,PCA,0.7165658454
MeanDiff,Random,0.01902730168
KMeans,MeanDiff,0.7551772542
KMeans,KMeans,1
KMeans,LogReg,0.07860599121
KMeans,PCA,0.9799717504
KMeans,Random,0.02223569394
LogReg,MeanDiff,0.4053368308
LogReg,KMeans,0.07860599121
LogReg,LogReg,1
LogReg,PCA,0.0670300741
LogReg,Random,0.04127456522
PCA,MeanDiff,0.7165658454
PCA,KMeans,0.9799717504
PCA,LogReg,0.0670300741
PCA,PCA,1
PCA,Random,0.02125889292
Random,MeanDiff,0.01902730168
Random,KMeans,0.02223569394
Random,LogReg,0.04127456522
Random,PCA,0.02125889292
Random,Random,1
