projection,y,level
-6.106663862,0,neutral
-6.761503172,1,positive
-10.63225777,0,neutral
-9.53251992,1,positive
-9.419284998,0,neutral
-3.433301885,1,positive
-11.38214568,0,neutral
-11.31363604,1,positive
-15.70645483,0,neutral
-10.8551209,1,positive
-10.57498509,1,positive
-10.39845731,0,neutral
5.075052822,1,positive
-9.770868469,0,neutral
3.996180516,1,positive
-9.376606576,0,neutral
5.990178851,1,positive
-6.943265633,0,neutral
-6.897657813,1,positive
-9.520253607,0,neutral
-8.560327559,1,positive
-11.69210053,0,neutral
-8.641278315,1,positive
-10.31949556,0,neutral
-6.877498479,1,positive
-11.86679745,0,neutral
2.8135459,1,positive
-11.28769272,0,neutral
3.751963603,1,positive
-12.65278612,0,neutral
-7.671859457,1,positive
-11.49103763,0,neutral
-8.014741458,1,positive
-14.1206241,0,neutral
-7.832284046,1,positive
-13.7865665,0,neutral
-7.660019859,1,positive
-13.30049362,0,neutral
-9.118790906,1,positive
-12.51136003,0,neutral
-7.080345671,1,positive
-12.89534784,0,neutral
-12.41429248,1,positive
-11.7590194,0,neutral
-11.00994368,1,positive
-9.416663371,0,neutral
-6.933183962,1,positive
-14.52175196,0,neutral
-8.87471727,1,positive
-12.48719739,0,neutral
-10.67610719,1,positive
-13.20561705,0,neutral
-6.348706004,1,positive
-10.5496568,0,neutral
-9.777723406,1,positive
-15.86107879,0,neutral
3.720152682,1,positive
-13.97046875,0,neutral
-9.298433578,0,neutral
-7.305436015,1,positive
-13.41905771,0,neutral
-8.852636051,1,positive
-12.29902472,0,neutral
-6.721929119,1,positive
-11.33215064,0,neutral
-7.782620729,1,positive
-12.48853938,0,neutral
-6.851262399,1,positive
-12.73632266,0,neutral
-6.741520378,1,positive
-15.1249159,0,neutral
3.794529448,1,positive
-16.32218915,0,neutral
5.845404131,1,positive
-16.58084887,0,neutral
5.958632796,1,positive
-14.69397793,0,neutral
-9.795437353,1,positive
-14.13511096,0,neutral
-0.08458628982,1,positive
-14.46236886,0,neutral
-13.41056738,0,neutral
-6.69730507,1,positive
-13.14130726,0,neutral
-9.190959161,1,positive
-2.953626013,0,neutral
2.931148148,1,positive
-2.266267231,0,neutral
3.484531352,1,positive
-10.51389795,0,neutral
3.941860262,1,positive
-13.31327326,0,neutral
4.18453018,1,positive
2.854112998,0,neutral
4.174570243,1,positive
2.48733237,0,neutral
9.3464325,1,positive
-11.85385,0,neutral
10.37205145,1,positive
-11.17796372,0,neutral
4.479263571,1,positive
-11.44054406,0,neutral
3.790872818,1,positive
-13.63600787,0,neutral
2.593258683,1,positive
-12.93877818,0,neutral
2.489715752,1,positive
-0.877623549,0,neutral
7.032739172,1,positive
-10.40008245,0,neutral
-11.59708835,0,neutral
0.1434879608,1,positive
-12.59159299,0,neutral
-9.917698653,1,positive
-13.76380342,0,neutral
-7.157085364,1,positive
-11.61946905,0,neutral
3.257442159,1,positive
-10.0005971,0,neutral
7.30728712,1,positive
-9.209041965,0,neutral
2.91134221,1,positive
-9.779904904,0,neutral
-9.120720121,1,positive
-12.38730853,0,neutral
-9.334563537,1,positive
-12.78490282,0,neutral
-5.473739664,1,positive
-8.709314095,0,neutral
-7.924571266,1,positive
-11.86853235,0,neutral
-7.277030584,1,positive
-8.233116864,0,neutral
-6.624512838,1,positive
