projection,y,level
-5.132682791,0,negative
-1.547619042,0,negative
-4.433829617,0,negative
2.91705168,1,neutral
4.444092987,1,neutral
3.752986784,1,neutral
-7.621221037,0,negative
-6.221386646,0,negative
-5.256757443,0,negative
7.367058501,1,neutral
11.73230663,1,neutral
-6.541539484,0,negative
-5.797216859,0,negative
-4.949101923,0,negative
7.092857566,1,neutral
4.12675423,1,neutral
6.068246469,1,neutral
-13.89835567,0,negative
-7.738100729,0,negative
-1.259434532,0,negative
6.41735158,1,neutral
9.778990735,1,neutral
6.699548619,1,neutral
-7.925467015,0,negative
-4.345053374,0,negative
-5.403413568,0,negative
7.915152254,1,neutral
3.452172734,1,neutral
6.306608969,1,neutral
-1.096279793,0,negative
-9.227772793,0,negative
-4.222746344,0,negative
5.266314486,1,neutral
0.5507422108,1,neutral
8.729742233,1,neutral
-9.950121393,0,negative
-7.096252184,0,negative
5.82235038,1,neutral
4.467820513,1,neutral
6.756202684,1,neutral
-3.386621434,0,negative
-5.807796401,0,negative
2.763479222,1,neutral
6.043033137,1,neutral
0.3879054754,1,neutral
-2.892552901,0,negative
-2.738832506,0,negative
-5.618664356,0,negative
3.650665295,1,neutral
4.787907829,1,neutral
2.81147664,1,neutral
-11.37518214,0,negative
-5.419180381,0,negative
-18.01074349,0,negative
8.840411076,1,neutral
14.59097285,1,neutral
11.37372208,1,neutral
-9.885269213,0,negative
-9.539012473,0,negative
-7.060634985,0,negative
6.653199704,1,neutral
9.326490689,1,neutral
10.50522628,1,neutral
-13.06735772,0,negative
-4.690838443,0,negative
-10.48339404,0,negative
9.206025061,1,neutral
8.450461113,1,neutral
10.58510403,1,neutral
-10.37607921,0,negative
-7.60349742,0,negative
-8.314442447,0,negative
8.329205471,1,neutral
8.627919649,1,neutral
9.336893956,1,neutral
-12.67417113,0,negative
-12.30618924,0,negative
-10.60590854,0,negative
11.44489167,1,neutral
12.37108057,1,neutral
11.77029666,1,neutral
-10.16233798,0,negative
-5.17013871,0,negative
-13.06412383,0,negative
10.80279122,1,neutral
10.33216417,1,neutral
7.261645127,1,neutral
-10.80810328,0,negative
-3.539200236,0,negative
-9.262636583,0,negative
7.220173037,1,neutral
7.657276123,1,neutral
8.732490938,1,neutral
-3.027296323,0,negative
1.461225004,0,negative
-1.632652059,0,negative
-0.414578759,1,neutral
-2.525856947,1,neutral
6.139159083,1,neutral
-11.46184457,0,negative
-9.42314717,0,negative
-8.881751662,0,negative
10.11436433,1,neutral
10.72863735,1,neutral
8.923741709,1,neutral
-0.6352917152,0,negative
-7.032103286,0,negative
-12.11939234,0,negative
9.193980026,1,neutral
4.127997174,1,neutral
6.464810144,1,neutral
-9.980470033,0,negative
0.2512965647,0,negative
-7.750117752,0,negative
5.942588201,1,neutral
6.640045276,1,neutral
4.896657744,1,neutral
-2.555062423,0,negative
-3.788844588,0,negative
-3.199516749,0,negative
4.587184512,1,neutral
3.157374198,1,neutral
1.79886505,1,neutral
3.111182174,0,negative
-3.380970151,0,negative
-8.17127576,0,negative
4.006749902,1,neutral
2.085935192,1,neutral
2.348378644,1,neutral
-1.953031686,0,negative
-7.48277622,0,negative
-7.090723149,0,negative
6.003916816,1,neutral
6.2976463,1,neutral
4.224967939,1,neutral
-7.114411102,0,negative
-11.6958726,0,negative
-8.158609667,0,negative
9.035468186,1,neutral
7.190441234,1,neutral
10.74298395,1,neutral
-4.289241348,0,negative
-3.306575992,0,negative
-15.85077874,0,negative
6.649366225,1,neutral
8.310895885,1,neutral
8.486333974,1,neutral
0.5637565983,0,negative
-2.618999447,0,negative
-11.08326659,0,negative
5.619991277,1,neutral
3.567774773,1,neutral
3.950743388,1,neutral
-0.9415447617,0,negative
1.922097557,0,negative
-10.35687827,0,negative
7.092279909,1,neutral
1.935723384,1,neutral
0.3483221797,1,neutral
-13.12266786,0,negative
-12.93374234,0,negative
6.427223176,0,negative
8.219039247,1,neutral
5.274449576,1,neutral
6.135698194,1,neutral
-2.047730508,0,negative
-1.502695434,0,negative
-1.317683678,0,negative
2.469567567,1,neutral
0.5686743603,1,neutral
1.829867693,1,neutral
-7.569624213,0,negative
-8.981776997,0,negative
-12.15859244,0,negative
10.05790031,1,neutral
10.85317392,1,neutral
7.798919418,1,neutral
-5.939108745,0,negative
1.277737156,0,negative
-1.864345902,0,negative
2.534133107,1,neutral
1.851757157,1,neutral
2.139827227,1,neutral
-11.88126133,0,negative
-3.104882151,0,negative
-10.83751306,0,negative
7.555659749,1,neutral
9.126507481,1,neutral
9.141489306,1,neutral
-6.095917129,0,negative
-0.9448314583,0,negative
-11.17829241,0,negative
4.751091627,1,neutral
7.736670139,1,neutral
5.731279229,1,neutral
-3.982187561,0,negative
-7.068882432,0,negative
-7.455669508,0,negative
5.222773135,1,neutral
7.457920579,1,neutral
5.826045788,1,neutral
-1.739138733,0,negative
-2.655279846,0,negative
-13.66949169,0,negative
6.218498018,1,neutral
6.002172399,1,neutral
5.843239848,1,neutral
-3.851356271,0,negative
-1.23186708,0,negative
-3.830892953,0,negative
8.38266665,1,neutral
1.199913966,1,neutral
-0.6684643126,1,neutral
-2.837308577,0,negative
-1.268685262,0,negative
-2.162946432,0,negative
4.10681837,1,neutral
0.7931866471,1,neutral
1.368935254,1,neutral
-1.76300579,0,negative
-4.719960591,0,negative
-8.642794254,0,negative
5.741005332,1,neutral
6.400638775,1,neutral
2.984116528,1,neutral
-0.9635870975,0,negative
-4.394740766,0,negative
1.537516954,0,negative
0.7727280964,1,neutral
1.011802137,1,neutral
2.036280676,1,neutral
-3.887778866,0,negative
-10.09982214,0,negative
-9.976990372,0,negative
8.521353262,1,neutral
8.229645614,1,neutral
7.213592499,1,neutral
-4.203806601,0,negative
-1.766091217,0,negative
-1.249605247,0,negative
2.651838051,1,neutral
2.57642164,1,neutral
1.991243374,1,neutral
3.120656402,0,negative
-1.776938979,0,negative
-2.425985595,0,negative
-2.28426549,1,neutral
3.296267256,1,neutral
0.0702664068,1,neutral
-2.319752773,0,negative
-2.411259522,0,negative
-9.254635579,0,negative
6.836320408,1,neutral
8.198768854,1,neutral
-1.049441389,1,neutral
0.2356477728,0,negative
-0.9146264581,0,negative
-13.93098183,0,negative
1.619864722,1,neutral
6.859843362,1,neutral
6.13025243,1,neutral
-5.503977037,0,negative
0.4247184254,0,negative
-1.28266758,0,negative
2.23821327,1,neutral
2.536293478,1,neutral
1.587419444,1,neutral
-0.3951835636,0,negative
-4.444729024,0,negative
-5.727262168,0,negative
7.059769734,1,neutral
2.886413674,1,neutral
0.6209913483,1,neutral
-13.00114472,0,negative
-4.287165835,0,negative
-0.9431649772,0,negative
6.951515981,1,neutral
5.55123698,1,neutral
5.728722567,1,neutral
-4.124842834,0,negative
-4.600125705,0,negative
-3.920040821,0,negative
4.301593793,1,neutral
2.451385195,1,neutral
5.892030373,1,neutral
-1.069952692,0,negative
-10.70003095,0,negative
-2.620859281,0,negative
2.593774121,1,neutral
5.356016645,1,neutral
6.441052157,1,neutral
-4.103245481,0,negative
-4.613137988,0,negative
-1.128415827,0,negative
5.989789638,1,neutral
0.04384274388,1,neutral
3.811166914,1,neutral
-7.519774991,0,negative
1.110345192,0,negative
-5.859483263,0,negative
1.849484165,1,neutral
6.094049671,1,neutral
4.325379226,1,neutral
-3.321037892,0,negative
-4.08083001,0,negative
-6.061540169,0,negative
2.535624669,1,neutral
9.267991491,1,neutral
1.659791911,1,neutral
-7.867206333,0,negative
0.52016228,0,negative
-11.17022319,0,negative
2.56629243,1,neutral
7.107772033,1,neutral
8.843202778,1,neutral
-0.2368182896,0,negative
-7.588329167,0,negative
-8.471030412,0,negative
5.990045055,1,neutral
4.33736612,1,neutral
5.968766694,1,neutral
-1.776099513,0,negative
-0.6284250722,0,negative
-12.97952919,0,negative
5.987161411,1,neutral
4.829809708,1,neutral
4.567082653,1,neutral
-6.447325898,0,negative
-14.35156585,0,negative
-9.329936357,0,negative
10.70164257,1,neutral
10.85605123,1,neutral
8.571134314,1,neutral
-8.517637621,0,negative
-14.447407,0,negative
1.686502918,0,negative
6.622722807,1,neutral
7.376210028,1,neutral
7.279608865,1,neutral
-10.86738277,0,negative
1.624003126,0,negative
-12.64353463,0,negative
3.956268864,1,neutral
10.75124437,1,neutral
7.179401039,1,neutral
-2.587865719,0,negative
-2.222729847,0,negative
-13.53957232,0,negative
3.4304984,1,neutral
7.0984871,1,neutral
7.821182388,1,neutral
-11.30106074,0,negative
-4.933330422,0,negative
-8.4784532,0,negative
9.207540649,1,neutral
7.218821292,1,neutral
8.286482424,1,neutral
-8.748056928,0,negative
4.126389954,1,neutral
4.621666974,1,neutral
-3.380324558,0,negative
-2.098312334,0,negative
-6.302964518,0,negative
0.2831605243,1,neutral
7.372284619,1,neutral
4.126156267,1,neutral
2.481752177,0,negative
-8.71883533,0,negative
7.07616987,0,negative
5.101601051,1,neutral
-3.001134433,1,neutral
-2.939553335,1,neutral
2.058628646,0,negative
-3.263334279,0,negative
-5.085043166,0,negative
5.111134165,1,neutral
-1.949293766,1,neutral
3.127908399,1,neutral
-3.39881485,0,negative
-3.789435739,0,negative
-12.64213013,0,negative
5.399603062,1,neutral
7.389612711,1,neutral
7.041164946,1,neutral
-8.963860538,0,negative
-14.41240642,0,negative
2.683865639,0,negative
10.51742473,1,neutral
8.127032902,1,neutral
2.047943685,1,neutral
2.155499987,0,negative
-8.731308297,0,negative
-0.5504356046,0,negative
-3.940494333,1,neutral
7.823322733,1,neutral
3.243415515,1,neutral
0.8963754074,0,negative
-4.928365399,0,negative
-2.22154969,0,negative
2.849704306,1,neutral
-0.4563095787,1,neutral
3.860144955,1,neutral
-8.876217278,0,negative
0.9549392996,0,negative
-12.45771721,0,negative
-1.433010167,1,neutral
6.863315736,1,neutral
14.94868962,1,neutral
1.053719378,0,negative
-10.85106683,0,negative
-0.04326110006,0,negative
3.563471432,1,neutral
3.695325761,1,neutral
2.581811363,1,neutral
-2.335997035,0,negative
-7.25898667,0,negative
-3.667126952,0,negative
2.177790496,1,neutral
5.998210802,1,neutral
5.086109359,1,neutral
-5.261160787,0,negative
-2.798682929,0,negative
-9.922757122,0,negative
7.834763829,1,neutral
8.476604489,1,neutral
1.671232519,1,neutral
