projection,y,level
6.042936411,0,negative
14.10379199,1,neutral
9.635975751,0,negative
15.62444877,1,neutral
6.747087695,0,negative
14.94547057,1,neutral
1.477856236,0,negative
16.43879253,1,neutral
2.871199754,0,negative
20.79962008,1,neutral
3.83991891,0,negative
0.537183449,0,negative
14.20545631,1,neutral
1.305882654,0,negative
11.23953074,1,neutral
2.1609555,0,negative
13.19095106,1,neutral
-6.144647277,0,negative
14.1915786,1,neutral
0.04144744734,0,negative
17.54907348,1,neutral
6.568708086,0,negative
14.51068772,1,neutral
2.613265694,0,negative
18.44235023,1,neutral
6.17614784,0,negative
13.99993939,1,neutral
5.122536023,0,negative
16.84117231,1,neutral
11.06905595,0,negative
17.40496716,1,neutral
2.899873599,0,negative
12.68995806,1,neutral
7.918242992,0,negative
20.87397325,1,neutral
17.54011298,1,neutral
1.744043506,0,negative
16.18772475,1,neutral
4.5603174,0,negative
18.46678974,1,neutral
13.21310786,1,neutral
7.05105423,0,negative
16.53419409,1,neutral
4.64326534,0,negative
10.90061988,1,neutral
10.20168765,0,negative
16.70424652,1,neutral
10.36626812,0,negative
17.84028738,1,neutral
7.481753845,0,negative
15.87361861,1,neutral
-2.241619636,0,negative
17.97735395,1,neutral
3.785135926,0,negative
23.75505809,1,neutral
-8.908209258,0,negative
20.54631447,1,neutral
-0.2883426522,0,negative
16.25876215,1,neutral
0.07991091382,0,negative
18.90222219,1,neutral
2.531338983,0,negative
20.11510614,1,neutral
-5.919156953,0,negative
16.35647213,1,neutral
2.480773257,0,negative
15.60923069,1,neutral
-3.317388715,0,negative
17.74741848,1,neutral
-2.536474754,0,negative
16.19551312,1,neutral
0.2292510946,0,negative
16.52001348,1,neutral
-0.5027674628,0,negative
17.20396262,1,neutral
-3.626531515,0,negative
20.51940094,1,neutral
-3.274090941,0,negative
21.4274106,1,neutral
-1.549431867,0,negative
20.82814623,1,neutral
-1.824698686,0,negative
19.15573713,1,neutral
3.158463335,0,negative
18.67930486,1,neutral
-4.747177835,0,negative
15.56885651,1,neutral
-5.646564359,0,negative
12.42345843,1,neutral
1.638748175,0,negative
12.8915854,1,neutral
-4.092979613,0,negative
13.95837129,1,neutral
3.623968722,0,negative
6.204240755,1,neutral
8.126420295,0,negative
4.104256342,1,neutral
5.034556283,0,negative
12.82027207,1,neutral
-5.906034563,0,negative
15.70723479,1,neutral
-3.857473871,0,negative
16.31669595,1,neutral
-3.316537327,0,negative
14.5264709,1,neutral
9.650699892,0,negative
19.45061367,1,neutral
3.277838973,0,negative
14.32734345,1,neutral
-1.916702947,0,negative
16.71420352,1,neutral
2.163452356,0,negative
18.03236322,1,neutral
12.41302241,0,negative
18.71979992,1,neutral
4.33388598,0,negative
17.00206919,1,neutral
9.938385359,0,negative
17.03757286,1,neutral
8.714091475,0,negative
15.60311291,1,neutral
9.313668877,0,negative
14.22844257,1,neutral
14.77428989,0,negative
15.65188742,1,neutral
8.30648759,0,negative
13.76841201,1,neutral
3.54477746,0,negative
14.02571528,1,neutral
9.961516385,0,negative
17.8746283,1,neutral
4.445427713,0,negative
18.21414259,1,neutral
4.850061141,0,negative
16.10439423,1,neutral
0.4379462157,0,negative
16.60899987,1,neutral
-4.158379155,0,negative
14.76803364,1,neutral
-0.6247674332,0,negative
18.314164,1,neutral
6.582777409,0,negative
17.46245426,1,neutral
7.553852658,0,negative
19.14135437,1,neutral
-5.035643533,0,negative
19.29466881,1,neutral
9.989162707,0,negative
15.01292765,1,neutral
6.803157916,0,negative
12.98079805,1,neutral
-1.744093947,0,negative
13.36368899,1,neutral
8.331079824,0,negative
16.31756711,1,neutral
11.18039623,0,negative
11.18008077,1,neutral
-1.149621408,0,negative
9.611633812,1,neutral
-7.070705828,0,negative
14.30256519,1,neutral
-6.837226932,0,negative
11.36184963,1,neutral
