row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.05696120354
MeanDiff,LogReg,0.7593787497
MeanDiff,PCA,0.08946708981
MeanDiff,Random,0.04868093678
KMeans,MeanDiff,0.05696120354
KMeans,KMeans,1
KMeans,LogReg,0.02606623275
KMeans,PCA,0.986795764
KMeans,Random,0.02696575372
LogReg,MeanDiff,0.7593787497
LogReg,KMeans,0.02606623275
LogReg,LogReg,1
LogReg,PCA,0.03809140375
LogReg,Random,0.01886980679
PCA,MeanDiff,0.08946708981
PCA,KMeans,0.986795764
PCA,LogReg,0.03809140375
PCA,PCA,1
PCA,Random,0.03363448761
Random,MeanDiff,0.04868093678
Random,KMeans,0.02696575372
Random,LogReg,0.01886980679
Random,PCA,0.03363448761
Random,Random,1
