projection,y,level
-5.440178129,0,negative
-2.591262404,0,negative
-3.708477504,0,negative
5.383416288,1,positive
2.495565063,1,positive
3.860936687,1,positive
-8.85837879,0,negative
-5.307109577,0,negative
-4.941763669,0,negative
7.865440079,1,positive
6.320353049,1,positive
4.921458908,1,positive
-4.142431383,0,negative
-3.90062505,0,negative
-5.058303112,0,negative
1.724067823,1,positive
8.588835043,1,positive
2.78845668,1,positive
-5.252257382,0,negative
-8.291863583,0,negative
-3.339554532,0,negative
6.882198145,1,positive
6.077849904,1,positive
3.923627448,1,positive
-5.484344047,0,negative
-2.077167445,0,negative
-3.617051063,0,negative
7.03163597,1,positive
1.237324483,1,positive
2.909602102,1,positive
-1.333396316,0,negative
-9.27362437,0,negative
-4.615746017,0,negative
5.309075378,1,positive
5.293329437,1,positive
4.620361887,1,positive
-9.424612185,0,negative
-5.171705912,0,negative
2.209448193,1,positive
5.055812771,1,positive
7.331057134,1,positive
-4.213949912,0,negative
-5.821373627,0,negative
4.260140452,1,positive
3.620561895,1,positive
2.154621192,1,positive
-3.753141941,0,negative
-3.999732276,0,negative
-6.547497844,0,negative
6.318603808,1,positive
3.571609247,1,positive
4.410159006,1,positive
-3.536145497,0,negative
-5.878185073,0,negative
-8.218175372,0,negative
9.786267231,1,positive
7.846238711,1,positive
-8.47525064,0,negative
-9.17760732,0,negative
-5.120805468,0,negative
8.306543311,1,positive
9.977407782,1,positive
4.489712334,1,positive
-5.200126762,0,negative
-7.067430464,0,negative
-3.521636106,0,negative
5.096262292,1,positive
4.731409109,1,positive
5.961521932,1,positive
-7.404801619,0,negative
-5.00906604,0,negative
-5.116289446,0,negative
5.601010743,1,positive
6.894607735,1,positive
5.034538627,1,positive
-5.755677522,0,negative
-5.85025039,0,negative
-4.522620331,0,negative
5.675023471,1,positive
10.45352477,1,positive
-6.653159863,0,negative
-3.670687246,0,negative
-9.099446728,0,negative
4.569086781,1,positive
6.414983189,1,positive
8.439223867,1,positive
-8.44021284,0,negative
-3.674701853,0,negative
-8.558386687,0,negative
7.110703906,1,positive
6.567362311,1,positive
6.995235162,1,positive
-4.724600617,0,negative
-0.3337805272,0,negative
-3.463249582,0,negative
6.533519628,1,positive
2.005777945,1,positive
-0.0176668469,1,positive
-8.437115398,0,negative
-6.148353294,0,negative
-5.942199586,0,negative
7.117188933,1,positive
5.838980666,1,positive
7.571498679,1,positive
-2.371131114,0,negative
-5.742907169,0,negative
-6.163528888,0,negative
8.892491554,1,positive
5.385075617,1,positive
-9.820777843,0,negative
-2.140665731,0,negative
-1.266768205,0,negative
5.863786431,1,positive
4.487890371,1,positive
2.876534977,1,positive
-5.203119231,0,negative
-4.827879407,0,negative
-5.037554425,0,negative
5.453803154,1,positive
4.372251287,1,positive
5.242498621,1,positive
2.902441477,0,negative
-3.264979419,0,negative
-7.854487689,0,negative
2.530483504,1,positive
2.976351472,1,positive
2.710190655,1,positive
-4.845708382,0,negative
-7.922245424,0,negative
-6.87201757,0,negative
5.102940748,1,positive
6.145561123,1,positive
8.391469507,1,positive
-4.00286967,0,negative
-7.020990362,0,negative
-3.982208749,0,negative
6.661321218,1,positive
2.067943822,1,positive
6.276803742,1,positive
-5.264849556,0,negative
-3.776163014,0,negative
-8.345366761,0,negative
5.083695351,1,positive
7.595119403,1,positive
4.707564577,1,positive
-0.4237272463,0,negative
-3.430004408,0,negative
-3.137608687,0,negative
1.762851563,1,positive
2.681769159,1,positive
2.54671962,1,positive
-3.275592713,0,negative
-0.06644901189,0,negative
-3.401041504,0,negative
2.260198796,1,positive
1.500604494,1,positive
2.982279939,1,positive
-7.040844543,0,negative
-7.257795414,0,negative
2.646709111,0,negative
4.068522121,1,positive
7.583408725,1,positive
-2.38562819,0,negative
-2.421335775,0,negative
-1.107783513,0,negative
-1.142634829,1,positive
4.184525644,1,positive
2.872856663,1,positive
-3.192617249,0,negative
-2.77842095,0,negative
-6.62648261,0,negative
5.243089591,1,positive
4.367440821,1,positive
2.986990396,1,positive
-7.204308426,0,negative
-0.9933738953,0,negative
-3.434685118,0,negative
7.576490721,1,positive
1.649480548,1,positive
2.40639617,1,positive
-5.88681628,0,negative
-5.018476017,0,negative
-6.511604997,0,negative
7.367447899,1,positive
2.662463766,1,positive
7.386985629,1,positive
-5.167862513,0,negative
0.8012400923,0,negative
-1.025793499,0,negative
5.39241592,1,positive
-1.134645825,0,negative
-5.884408078,0,negative
-6.386693594,0,negative
5.325382257,1,positive
6.854332259,1,positive
1.22603298,1,positive
-2.412056007,0,negative
-3.687094853,0,negative
-7.226245111,0,negative
8.278823877,1,positive
2.882088327,1,positive
2.164483768,1,positive
-3.942407299,0,negative
-1.576011011,0,negative
-3.066262923,0,negative
2.751195295,1,positive
1.920119659,1,positive
3.913366279,1,positive
-3.909515073,0,negative
-3.773576387,0,negative
-4.144263562,0,negative
2.014979715,1,positive
4.099178064,1,positive
5.713197243,1,positive
-8.199913227,0,negative
-3.025004484,0,negative
-5.358985349,0,negative
7.993316282,1,positive
6.652629018,1,positive
1.93795776,1,positive
-4.011684208,0,negative
-7.47907499,0,negative
-1.463825945,0,negative
4.970662136,1,positive
2.896792802,1,positive
5.087130205,1,positive
-4.603579168,0,negative
-5.313225645,0,negative
-3.537499541,0,negative
1.896206272,1,positive
6.757994912,1,positive
4.800103171,1,positive
-2.775048859,0,negative
-2.165648322,0,negative
-1.837753085,0,negative
3.267936345,1,positive
3.867141435,1,positive
-0.3566275141,1,positive
2.346270121,0,negative
-2.962550095,0,negative
-3.288343724,0,negative
3.904623698,1,positive
-4.709028463,0,negative
-5.876008213,0,negative
-5.507589641,0,negative
6.109529618,1,positive
6.114743219,1,positive
3.86835348,1,positive
0.1517732296,0,negative
-3.336533189,0,negative
-8.200009445,0,negative
5.095243494,1,positive
6.28952591,1,positive
-7.012067947,0,negative
1.245749472,0,negative
0.8668766606,0,negative
2.271947184,1,positive
-0.4293893625,1,positive
3.056883992,1,positive
-1.639629245,0,negative
-0.7017908501,0,negative
-1.322827932,0,negative
4.367775215,1,positive
-0.9462036224,1,positive
0.2426764346,1,positive
-5.253044182,0,negative
-4.227978691,0,negative
-1.352721523,0,negative
0.3426503089,1,positive
3.869100761,1,positive
6.621993325,1,positive
-3.073239259,0,negative
-5.689104896,0,negative
-3.910243441,0,negative
4.757418598,1,positive
6.495474315,1,positive
1.419694683,1,positive
-3.795977616,0,negative
-5.733641413,0,negative
-6.909138453,0,negative
5.49230382,1,positive
4.658159925,1,positive
6.288293736,1,positive
-6.362986959,0,negative
-8.321604539,0,negative
-4.809626218,0,negative
3.965344813,1,positive
6.22638713,1,positive
9.302485773,1,positive
-6.57237491,0,negative
0.001538105993,0,negative
-6.306841138,0,negative
4.724894597,1,positive
1.707968844,1,positive
6.444814501,1,positive
-5.17399227,0,negative
-6.735007777,0,negative
-8.965855338,0,negative
7.868520937,1,positive
7.003335607,1,positive
6.002998842,1,positive
-4.887857914,0,negative
-4.476863856,0,negative
-7.059945094,0,negative
9.934183643,1,positive
0.03934810616,1,positive
6.451135114,1,positive
-0.123133962,0,negative
-6.147456799,0,negative
-7.326582084,0,negative
6.248899638,1,positive
2.201133254,1,positive
5.147139953,1,positive
-1.771276729,0,negative
-2.452322443,0,negative
-5.505756747,0,negative
4.125817775,1,positive
3.949655366,1,positive
1.653882777,1,positive
-8.705985953,0,negative
-8.309146021,0,negative
-3.826975091,0,negative
7.586408659,1,positive
6.776153582,1,positive
6.479544825,1,positive
-4.746927728,0,negative
-10.32685869,0,negative
-2.433551705,0,negative
9.481292842,1,positive
5.669705206,1,positive
2.356340071,1,positive
-6.146530248,0,negative
-1.174430412,0,negative
-7.942774254,0,negative
4.872660814,1,positive
3.872430645,1,positive
6.518643455,1,positive
-5.164870576,0,negative
2.350442393,0,negative
-7.280090564,0,negative
4.263403929,1,positive
3.403729955,1,positive
2.427384862,1,positive
-4.93665849,0,negative
-1.245589187,0,negative
-4.016760985,0,negative
1.926979292,1,positive
5.259053923,1,positive
3.012975446,1,positive
-11.25800499,0,negative
1.446956756,1,positive
2.643983173,1,positive
7.167065065,1,positive
-4.745496761,0,negative
-4.295600818,0,negative
-6.695921927,0,negative
6.497807468,1,positive
6.618382716,1,positive
2.620829323,1,positive
-5.348241917,0,negative
-4.996573201,0,negative
-0.66741041,0,negative
4.167060995,1,positive
1.538189144,1,positive
5.306975389,1,positive
-2.038606739,0,negative
-6.4566558,0,negative
-7.544247499,0,negative
5.505390995,1,positive
4.892182999,1,positive
5.641936044,1,positive
-4.466963195,0,negative
-4.187983756,0,negative
-8.336599287,0,negative
5.857667725,1,positive
6.034374978,1,positive
5.099503535,1,positive
-6.387791867,0,negative
-8.625885465,0,negative
-1.041586027,0,negative
6.470776378,1,positive
6.014155407,1,positive
3.570331574,1,positive
-3.165456802,0,negative
-4.479804644,0,negative
-5.662522452,0,negative
4.48329873,1,positive
1.829055589,1,positive
6.995429578,1,positive
1.041108317,0,negative
-5.397711855,0,negative
-1.6294836,0,negative
-0.1478860503,1,positive
3.388097706,1,positive
2.745875483,1,positive
-7.776777681,0,negative
2.374060444,0,negative
-9.635187218,0,negative
3.330098351,1,positive
5.277699255,1,positive
6.43010685,1,positive
-0.7488136131,0,negative
-4.404026972,0,negative
-1.12193055,0,negative
-0.01436485309,1,positive
1.813286611,1,positive
4.475849378,1,positive
-5.129057995,0,negative
-4.354278596,0,negative
-7.117356213,0,negative
6.869677328,1,positive
4.388633755,1,positive
5.342381721,1,positive
-8.50787886,0,negative
-5.521586406,0,negative
-3.898678256,0,negative
6.00726926,1,positive
7.411385478,1,positive
4.509488785,1,positive
