row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9080317926,0,3
MeanDiff,LogReg,0.2560546914,0,3
MeanDiff,PCA,0.9086625077,0,3
MeanDiff,Random,0.01075071482,0.0112381746,3
KMeans,MeanDiff,0.9080317926,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.001393665682,2.655742101e-19,3
KMeans,PCA,0.9999777534,0,3
KMeans,Random,0.001400921127,0.0283051966,3
LogReg,MeanDiff,0.2560546914,0,3
LogReg,KMeans,0.001393665682,2.655742101e-19,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.001442325203,0,3
LogReg,Random,0.01213995306,0.01782525141,3
PCA,MeanDiff,0.9086625077,0,3
PCA,KMeans,0.9999777534,0,3
PCA,LogReg,0.001442325203,0,3
PCA,PCA,1,0,3
PCA,Random,0.001443040457,0.02820750631,3
Random,MeanDiff,0.01075071482,0.0112381746,3
Random,KMeans,0.001400921127,0.0283051966,3
Random,LogReg,0.01213995306,0.01782525141,3
Random,PCA,0.001443040457,0.02820750631,3
Random,Random,1,0,3
