row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.2658124167,0,3
MeanDiff,LogReg,0.8185073836,0,3
MeanDiff,PCA,0.26364432,0,3
MeanDiff,Random,0.02171427695,0.01371173323,3
KMeans,MeanDiff,0.2658124167,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.005438493955,1.06229684e-18,3
KMeans,PCA,0.9998823965,0,3
KMeans,Random,0.00195274031,0.02769914278,3
LogReg,MeanDiff,0.8185073836,0,3
LogReg,KMeans,0.005438493955,1.06229684e-18,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.004819498516,0,3
LogReg,Random,0.0009591371422,0.009358884215,3
PCA,MeanDiff,0.26364432,0,3
PCA,KMeans,0.9998823965,0,3
PCA,LogReg,0.004819498516,0,3
PCA,PCA,1,0,3
PCA,Random,0.002099553533,0.02745587061,3
Random,MeanDiff,0.02171427695,0.01371173323,3
Random,KMeans,0.00195274031,0.02769914278,3
Random,LogReg,0.0009591371422,0.009358884215,3
Random,PCA,0.002099553533,0.02745587061,3
Random,Random,1,0,3
