row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.03313305773,0,3
MeanDiff,LogReg,0.7377360035,1.359739956e-16,3
MeanDiff,PCA,0.03329879332,0,3
MeanDiff,Random,0.02331505801,0.02106266414,3
KMeans,MeanDiff,0.03313305773,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.0003466447589,0,3
KMeans,PCA,0.9999787827,0,3
KMeans,Random,-0.00143562515,0.02829832872,3
LogReg,MeanDiff,0.7377360035,1.359739956e-16,3
LogReg,KMeans,0.0003466447589,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.0004647622758,6.639355252e-20,3
LogReg,Random,0.01454087342,0.002557575327,3
PCA,MeanDiff,0.03329879332,0,3
PCA,KMeans,0.9999787827,0,3
PCA,LogReg,0.0004647622758,6.639355252e-20,3
PCA,PCA,1,0,3
PCA,Random,-0.001513700217,0.0282003295,3
Random,MeanDiff,0.02331505801,0.02106266414,3
Random,KMeans,-0.00143562515,0.02829832872,3
Random,LogReg,0.01454087342,0.002557575327,3
Random,PCA,-0.001513700217,0.0282003295,3
Random,Random,1,0,3
