projection,y,level
-21.98639841,0,negative
-20.34958996,1,positive
-23.37530356,0,negative
-18.00291929,1,positive
-21.47939859,0,negative
-13.83641224,1,positive
-16.89386944,0,negative
-9.283297639,1,positive
-17.75797341,0,negative
-9.615643065,1,positive
-15.85602105,0,negative
-10.71183206,1,positive
-26.26015397,0,negative
-16.18439905,1,positive
-24.57113215,0,negative
-19.37959563,1,positive
-25.6997224,0,negative
-15.57840434,1,positive
-26.86564702,0,negative
-11.35761345,1,positive
-23.7990669,0,negative
-16.50383356,1,positive
-21.95067746,0,negative
-19.22990374,1,positive
-19.6142619,0,negative
-12.06875154,1,positive
-18.27021727,0,negative
-11.46679428,1,positive
-19.73590439,0,negative
-14.45023835,1,positive
-18.29970612,0,negative
-13.13255891,1,positive
-22.17551306,0,negative
-16.58673833,1,positive
-20.33722502,0,negative
-14.78834131,1,positive
-13.51862095,1,positive
-24.38960434,0,negative
-14.66495049,1,positive
-24.19824912,0,negative
-10.84505271,1,positive
-10.92323563,1,positive
-16.76880521,0,negative
-11.83633772,1,positive
-20.04378838,0,negative
-16.41547558,1,positive
-15.62846973,0,negative
-8.610825483,1,positive
-17.95952543,0,negative
-14.40044559,1,positive
-17.81290532,0,negative
-12.89181575,1,positive
-24.71427868,0,negative
-17.25379782,1,positive
-25.73512365,0,negative
-16.27408166,1,positive
-24.17814623,0,negative
-17.63769263,0,negative
-6.902601888,1,positive
-16.75968954,0,negative
-6.256175294,1,positive
-13.29465634,0,negative
-5.921373399,1,positive
-20.34000739,0,negative
-13.19510864,1,positive
-21.89198639,0,negative
-10.97005864,1,positive
-19.73499625,0,negative
-9.399464117,1,positive
-23.92189509,0,negative
-14.4242894,1,positive
-24.89511619,0,negative
-12.29248665,1,positive
-25.37286863,0,negative
-13.07921628,1,positive
-23.07348435,0,negative
-12.32734313,1,positive
-28.15971068,0,negative
-20.00274591,1,positive
-24.83960959,0,negative
-18.58653303,0,negative
-6.286442022,1,positive
-16.37402129,0,negative
-8.652604627,1,positive
-21.30367905,0,negative
-4.670564608,1,positive
-19.60814527,0,negative
-7.766720063,1,positive
-16.5330195,0,negative
-7.135306873,1,positive
-19.63438963,0,negative
-7.686689036,1,positive
-20.8989591,0,negative
-7.719083805,1,positive
-19.91728256,0,negative
-10.10981275,1,positive
-20.61581342,0,negative
-12.15288914,1,positive
-25.03314745,0,negative
-15.56702495,1,positive
-23.7509257,0,negative
-12.50600604,1,positive
-20.69566893,0,negative
-8.379129034,1,positive
-15.91671811,0,negative
-3.486438555,1,positive
-14.8725998,0,negative
-5.420611636,1,positive
-18.86644964,0,negative
-17.20328283,0,negative
-13.42531787,1,positive
-17.47655815,0,negative
-12.46295493,1,positive
-19.79215597,0,negative
-14.75265247,1,positive
-17.70055124,0,negative
-9.555779314,1,positive
-22.80533223,0,negative
-11.98819121,1,positive
-21.79932564,0,negative
-10.12035027,1,positive
-17.11570757,0,negative
-13.14631504,1,positive
-18.33994642,0,negative
-13.94859,1,positive
-20.19931002,0,negative
-14.47003383,1,positive
-14.84364522,0,negative
-5.173227894,1,positive
-15.87145225,0,negative
-7.131406252,1,positive
-15.40346482,0,negative
-7.158679836,1,positive
-19.54138378,0,negative
-12.11741902,1,positive
-19.09422864,0,negative
-10.46422128,1,positive
-18.96354467,0,negative
-10.60157634,1,positive
-14.81083105,0,negative
-3.342578421,1,positive
-15.47105794,0,negative
-5.153675255,1,positive
-16.83691611,0,negative
-9.144050027,1,positive
-35.15354543,0,negative
-23.39927552,1,positive
-33.74840145,0,negative
-23.33580288,1,positive
-34.45905015,0,negative
-21.99188681,1,positive
-30.01594507,0,negative
-16.41518041,1,positive
-26.76871961,0,negative
-21.27268375,1,positive
-24.27816969,0,negative
-16.3163671,1,positive
-20.01936705,0,negative
-21.92664868,0,negative
-16.24472401,1,positive
-19.3585946,0,negative
-8.3468196,1,positive
-16.3169088,0,negative
-14.72872071,1,positive
-22.60039688,0,negative
-12.40274557,1,positive
-20.99483647,0,negative
-16.68354023,1,positive
-16.07811777,0,negative
-8.596886921,1,positive
-17.23129448,0,negative
-8.96853805,1,positive
-18.13048228,0,negative
-11.95659546,1,positive
-14.16546334,0,negative
-5.754217683,1,positive
-11.15118709,0,negative
-6.173513525,1,positive
-10.80718365,0,negative
-5.343843406,1,positive
-25.76469508,0,negative
-15.4286433,1,positive
-26.23990312,0,negative
-20.64198226,1,positive
-27.48516077,0,negative
-17.57017298,1,positive
-29.85674727,0,negative
-34.84663487,0,negative
-24.54237093,1,positive
-28.37481975,0,negative
-13.35469533,0,negative
-10.21486629,1,positive
-16.46627231,0,negative
-6.579973334,1,positive
-16.22124106,0,negative
-10.76137376,1,positive
-20.47243936,0,negative
-9.348645948,1,positive
-23.53775284,0,negative
-14.57893723,1,positive
-21.02641242,0,negative
-12.61700411,1,positive
-21.10285388,0,negative
-12.97381884,1,positive
-21.64913692,0,negative
-18.60541741,1,positive
-23.93193343,0,negative
-16.91846902,1,positive
-24.14349911,0,negative
-11.91697796,1,positive
-23.13875626,0,negative
-12.3363828,1,positive
-23.32477347,0,negative
-11.45740157,1,positive
-32.96006531,0,negative
-19.00824494,1,positive
-32.70157187,0,negative
-16.03457779,1,positive
-34.50675907,0,negative
-21.94339085,1,positive
-16.81582351,0,negative
-9.835745213,1,positive
-19.09411084,0,negative
-12.81728709,1,positive
-15.54070694,0,negative
-9.21346949,1,positive
-14.49289323,0,negative
-6.438321149,1,positive
-15.99143175,0,negative
-4.98392271,1,positive
-16.17700009,0,negative
-7.222766061,1,positive
-23.3138067,0,negative
-17.4026548,1,positive
-28.07913579,0,negative
-17.34270652,1,positive
-29.69397604,0,negative
-18.63049441,1,positive
-27.59362522,0,negative
-20.181353,1,positive
-27.79718845,0,negative
-30.73465571,0,negative
-21.11303772,0,negative
-15.88171089,1,positive
-21.65960945,0,negative
-17.42768739,1,positive
-22.09499723,0,negative
-19.32894653,1,positive
-13.21559992,0,negative
-8.518373,1,positive
-21.57503461,0,negative
-8.599008683,1,positive
-19.69817945,0,negative
-15.79998695,0,negative
-5.295398001,1,positive
-12.47622793,0,negative
-4.383235095,1,positive
-13.93159962,0,negative
-6.533866719,1,positive
-22.72025709,0,negative
