row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9546606234,0,3
MeanDiff,LogReg,0.151450536,0,3
MeanDiff,PCA,0.9551417005,0,3
MeanDiff,Random,0.01409139194,0.008817845484,3
KMeans,MeanDiff,0.9546606234,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.0007724259019,1.32787105e-19,3
KMeans,PCA,0.9999754263,1.359739956e-16,3
KMeans,Random,0.02151480651,0.01122525057,3
LogReg,MeanDiff,0.151450536,0,3
LogReg,KMeans,0.0007724259019,1.32787105e-19,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.001132938538,0,3
LogReg,Random,-0.001743480388,0.005423436759,3
PCA,MeanDiff,0.9551417005,0,3
PCA,KMeans,0.9999754263,1.359739956e-16,3
PCA,LogReg,0.001132938538,0,3
PCA,PCA,1,0,3
PCA,Random,0.02136537834,0.01118900504,3
Random,MeanDiff,0.01409139194,0.008817845484,3
Random,KMeans,0.02151480651,0.01122525057,3
Random,LogReg,-0.001743480388,0.005423436759,3
Random,PCA,0.02136537834,0.01118900504,3
Random,Random,1,0,3
