projection,y,level
80.29597317,0,neutral
-46.90523003,0,neutral
-22.95250903,0,neutral
-114.8277974,1,positive
51.74580294,1,positive
52.64376032,1,positive
49.82887427,0,neutral
-15.54671774,0,neutral
2.905110749,1,positive
-0.8235943384,1,positive
-36.36367293,1,positive
-21.32340597,0,neutral
12.84938538,0,neutral
12.06161338,0,neutral
14.35796854,1,positive
-1.684258377,1,positive
-16.26130295,1,positive
-94.10941463,0,neutral
42.56974317,0,neutral
73.08605594,0,neutral
42.63353806,1,positive
-31.94056699,1,positive
-32.23935556,1,positive
22.44673989,0,neutral
-32.56842031,0,neutral
-76.87625095,0,neutral
43.98355282,1,positive
52.57685481,1,positive
-9.562476253,1,positive
18.0341155,0,neutral
43.19051868,0,neutral
-61.054466,0,neutral
22.15468728,1,positive
-11.32371557,1,positive
-11.00113988,1,positive
-21.28589609,0,neutral
36.97672369,0,neutral
-56.43632265,0,neutral
11.63595536,1,positive
-12.06544941,1,positive
41.1749891,1,positive
-49.58726755,0,neutral
23.68712492,0,neutral
22.08174411,0,neutral
41.3021014,1,positive
60.65907276,1,positive
-98.14277563,1,positive
-46.57584645,0,neutral
10.46581074,0,neutral
4.606855634,0,neutral
70.98012177,1,positive
-23.13845175,1,positive
-16.33848995,1,positive
-6.272687685,0,neutral
-84.72728433,0,neutral
2.357716392,0,neutral
28.26267265,1,positive
60.37958297,1,positive
-7.400874485,0,neutral
-10.48350291,0,neutral
-19.21671183,0,neutral
5.787319214,1,positive
15.75452697,1,positive
15.55924304,1,positive
-14.40176025,0,neutral
45.15330398,0,neutral
-21.67180636,0,neutral
-52.26695165,1,positive
5.903186436,1,positive
37.28402784,1,positive
-37.31025763,0,neutral
5.988747468,0,neutral
6.587410266,0,neutral
-18.05231993,1,positive
22.22497898,1,positive
20.56144085,1,positive
35.37549834,0,neutral
-20.17743665,0,neutral
-60.34120005,0,neutral
101.9149826,1,positive
-56.77184426,1,positive
-21.07534939,0,neutral
-6.614737449,0,neutral
-54.84389524,0,neutral
59.63397043,1,positive
11.1665235,1,positive
11.73348815,1,positive
-26.63797723,0,neutral
28.45498809,0,neutral
-2.470178442,0,neutral
-23.20158969,1,positive
45.05393091,1,positive
-21.19917363,1,positive
-20.85175621,0,neutral
23.97568207,0,neutral
-50.22317549,0,neutral
18.89800105,1,positive
31.42174412,1,positive
-3.220495553,1,positive
-4.08947658,0,neutral
-4.753039002,0,neutral
-52.7761395,0,neutral
24.88746034,1,positive
-0.8732406561,1,positive
37.6044354,1,positive
2.118656343,0,neutral
-18.71645074,0,neutral
-18.71694857,0,neutral
40.82116565,1,positive
-5.50642268,1,positive
-8.763844351,0,neutral
28.64481979,0,neutral
-16.15081254,0,neutral
4.526315227,1,positive
40.69734224,1,positive
-48.95382037,1,positive
60.16176401,0,neutral
-10.90001839,0,neutral
-34.05928837,0,neutral
58.76428906,1,positive
-43.47913878,1,positive
-30.48760754,1,positive
27.58962413,0,neutral
12.41687643,0,neutral
-4.710778027,0,neutral
-23.28653435,1,positive
-22.77139429,1,positive
10.76220611,1,positive
36.8944307,0,neutral
17.826123,0,neutral
-20.08641905,0,neutral
5.363166951,1,positive
-19.86736255,1,positive
-20.12993905,1,positive
-27.99785148,0,neutral
-7.883085604,0,neutral
24.51544186,0,neutral
-27.29751633,1,positive
13.74881141,1,positive
24.91420014,1,positive
5.909400253,0,neutral
22.68821403,0,neutral
-29.33497853,0,neutral
3.812468061,1,positive
14.66729807,1,positive
-17.74240189,1,positive
-3.271608903,0,neutral
-13.29927466,0,neutral
-5.570624299,0,neutral
-35.04138363,1,positive
40.22527202,1,positive
16.95761947,1,positive
-56.67458972,0,neutral
-27.63026274,0,neutral
10.52959171,0,neutral
0.748508813,1,positive
12.62403647,1,positive
60.40271546,1,positive
30.54414025,0,neutral
-23.18887556,0,neutral
-3.673236799,0,neutral
-18.11190837,1,positive
14.42988048,1,positive
33.96893959,0,neutral
33.77844106,0,neutral
-34.67409556,0,neutral
18.15297065,1,positive
12.51965715,1,positive
-63.74591289,1,positive
-3.418348579,0,neutral
0.3054766015,0,neutral
-12.18051322,0,neutral
26.69320364,1,positive
14.83922321,1,positive
-26.23904166,1,positive
17.30662263,0,neutral
-52.77574716,0,neutral
-0.8266849231,0,neutral
12.9308125,1,positive
-2.906948918,1,positive
26.27194586,1,positive
-43.30967658,0,neutral
37.34563901,0,neutral
-1.089590339,0,neutral
-25.93220633,1,positive
-4.874721731,1,positive
37.86055597,1,positive
-7.559398901,0,neutral
-21.51202299,0,neutral
-7.379964778,0,neutral
36.45138667,1,positive
23.45327854,0,neutral
-3.888036022,0,neutral
-36.13912164,0,neutral
10.47948069,1,positive
12.12051463,1,positive
-6.026116199,1,positive
24.8656108,0,neutral
12.59779127,0,neutral
-7.083927584,0,neutral
26.37316229,1,positive
-29.39078413,1,positive
-27.36185265,1,positive
38.76759331,0,neutral
-15.97274113,0,neutral
-84.05082185,0,neutral
74.91959342,1,positive
-21.789207,1,positive
8.125583244,1,positive
27.36920791,0,neutral
4.648806774,0,neutral
-21.86046651,0,neutral
29.50014105,1,positive
-19.59642407,1,positive
-20.06126515,1,positive
-13.91795019,0,neutral
-70.83872032,0,neutral
40.78222905,0,neutral
39.93826063,1,positive
-9.410791491,1,positive
13.44697232,1,positive
0.5535751148,0,neutral
0.7400697672,0,neutral
1.660324012,0,neutral
1.432571314,1,positive
-37.61248833,1,positive
33.22594813,1,positive
-21.42279123,0,neutral
-8.391308356,0,neutral
3.202123633,0,neutral
26.96920215,1,positive
5.007973655,1,positive
-5.365199847,1,positive
6.961281335,0,neutral
6.78986495,0,neutral
-30.47446012,0,neutral
-5.596467104,1,positive
-5.016556261,1,positive
27.3363372,1,positive
32.84003217,0,neutral
-12.21582078,0,neutral
-10.41427577,0,neutral
-10.20993562,1,positive
-4.688219329,0,neutral
45.40914293,0,neutral
9.052834931,0,neutral
-19.64021653,1,positive
-0.05007515667,1,positive
-30.08346685,1,positive
8.310907032,0,neutral
6.019122872,0,neutral
-14.2794249,0,neutral
10.75616562,1,positive
-10.80677063,1,positive
-41.20641185,0,neutral
0.6625398084,0,neutral
-40.28769297,0,neutral
16.82721865,1,positive
48.67679799,1,positive
15.32754836,1,positive
-8.435425809,0,neutral
12.44029563,0,neutral
-5.89620884,0,neutral
-58.31432365,1,positive
15.66578885,1,positive
44.53987382,1,positive
-0.7184087101,0,neutral
-32.90764633,0,neutral
-32.50922897,0,neutral
64.03637134,1,positive
0.3620291934,1,positive
1.736883479,1,positive
12.34769035,0,neutral
-21.95345544,0,neutral
-58.56477027,0,neutral
39.21445012,1,positive
12.63023371,1,positive
16.32585152,1,positive
2.917839203,0,neutral
-43.78030091,0,neutral
1.95155355,0,neutral
12.53635765,1,positive
12.8015125,1,positive
13.57303801,1,positive
-44.47450326,0,neutral
40.65397423,0,neutral
-12.62268555,0,neutral
-43.73968723,1,positive
16.94301479,1,positive
43.23988702,1,positive
56.20254484,0,neutral
-18.82897748,0,neutral
-19.17919222,0,neutral
-42.93624797,1,positive
43.26473497,1,positive
-18.52286214,1,positive
6.637519118,0,neutral
6.690018991,0,neutral
-23.63902746,0,neutral
43.99448383,1,positive
6.820148386,1,positive
-40.50314287,1,positive
24.47565004,0,neutral
8.615197883,0,neutral
-101.3029336,0,neutral
-14.98741236,1,positive
18.84793089,1,positive
64.35156719,1,positive
-20.82576222,0,neutral
19.50162051,0,neutral
