row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.2658124167
MeanDiff,LogReg,0.8185073836
MeanDiff,PCA,0.26364432
MeanDiff,Random,0.03594911798
KMeans,MeanDiff,0.2658124167
KMeans,KMeans,1
KMeans,LogReg,0.005438493955
KMeans,PCA,0.9998823965
KMeans,Random,-0.01565221717
LogReg,MeanDiff,0.8185073836
LogReg,KMeans,0.005438493955
LogReg,LogReg,1
LogReg,PCA,0.004819498516
LogReg,Random,0.0108103943
PCA,MeanDiff,0.26364432
PCA,KMeans,0.9998823965
PCA,LogReg,0.004819498516
PCA,PCA,1
PCA,Random,-0.01494039531
Random,MeanDiff,0.03594911798
Random,KMeans,-0.01565221717
Random,LogReg,0.0108103943
Random,PCA,-0.01494039531
Random,Random,1
