projection,y,level
-38.4461075,0,negative
-8.256234444,0,negative
-28.73159228,0,negative
56.71228238,1,positive
7.267355112,1,positive
11.45429673,1,positive
-18.7896705,0,negative
-3.707912975,0,negative
-16.02240151,0,negative
8.893318234,1,positive
9.772559836,1,positive
19.85410691,1,positive
-6.425886109,0,negative
-14.46334775,0,negative
-21.68715695,0,negative
10.05309609,1,positive
11.87386097,1,positive
20.64943374,1,positive
-3.138440206,0,negative
-9.503339006,0,negative
4.556825544,0,negative
-8.717831404,1,positive
9.765877725,1,positive
7.036907346,1,positive
-9.556637538,0,negative
1.352191978,0,negative
5.128103921,0,negative
-3.309586655,1,positive
-5.302463934,1,positive
11.68839223,1,positive
-7.10453447,0,negative
-19.51409647,0,negative
-8.536445006,0,negative
6.397633849,1,positive
13.57618364,1,positive
15.18125846,1,positive
-31.18083,0,negative
-0.3441497036,0,negative
10.90400873,1,positive
16.45425431,1,positive
4.166716659,1,positive
-11.57991267,0,negative
-2.175226267,0,negative
-5.795761581,1,positive
-12.80846493,1,positive
32.35936545,1,positive
-10.42457845,0,negative
5.012898884,0,negative
-3.459883229,0,negative
-12.72704014,1,positive
11.10559526,1,positive
10.49300767,1,positive
-11.06884901,0,negative
3.829732792,0,negative
-18.8387683,0,negative
17.59914781,1,positive
8.478736706,1,positive
-6.680594251,0,negative
-1.535713879,0,negative
-17.39602069,0,negative
10.02281054,1,positive
7.620705515,1,positive
7.968812766,1,positive
-9.436184256,0,negative
-8.091372377,0,negative
2.287045227,0,negative
18.50368188,1,positive
2.653799988,1,positive
-5.91697046,1,positive
-24.93960833,0,negative
-12.60870714,0,negative
-19.36143059,0,negative
25.94322336,1,positive
15.70313866,1,positive
15.26338404,1,positive
-16.81397416,0,negative
4.120592664,0,negative
-3.514045806,0,negative
-12.88137691,1,positive
29.08880421,1,positive
-4.558274961,0,negative
-7.096369612,0,negative
9.019182005,0,negative
-8.899371405,1,positive
3.634113313,1,positive
7.900720661,1,positive
-8.056103088,0,negative
5.137591903,0,negative
-12.94919771,0,negative
12.40724643,1,positive
-8.273152383,1,positive
11.73361485,1,positive
0.04469592807,0,negative
5.446579588,0,negative
5.419547967,0,negative
-2.405456165,1,positive
-8.690297074,1,positive
0.1849297562,1,positive
-0.4930251449,0,negative
-2.57617253,0,negative
16.36949192,0,negative
-9.251233088,1,positive
2.08372369,1,positive
-6.13278485,1,positive
1.166323097,0,negative
-7.823293139,0,negative
4.557914816,0,negative
-5.249566816,1,positive
7.348622041,1,positive
-20.78327589,0,negative
-10.48945655,0,negative
9.875548584,0,negative
5.226825418,1,positive
-5.052770803,1,positive
21.22312924,1,positive
-20.32726515,0,negative
11.18018115,0,negative
4.719908353,0,negative
-17.66417989,1,positive
11.8986678,1,positive
10.19268773,1,positive
-10.35647075,0,negative
-3.255715787,0,negative
0.9510563344,0,negative
8.599674282,1,positive
7.574919907,1,positive
-3.513463982,1,positive
-12.81809935,0,negative
-2.151443345,0,negative
-15.86071819,0,negative
6.181982107,1,positive
12.30027368,1,positive
12.34800509,1,positive
3.26404189,0,negative
-12.39141602,0,negative
3.891741327,0,negative
10.45019881,1,positive
-0.7038830463,1,positive
-4.51068296,1,positive
-9.176232243,0,negative
-3.785842788,0,negative
4.987040988,0,negative
4.271261047,1,positive
-1.230690498,1,positive
4.934463494,1,positive
