row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9546606234
MeanDiff,LogReg,0.151450536
MeanDiff,PCA,0.9551417005
MeanDiff,Random,0.008161026665
KMeans,MeanDiff,0.9546606234
KMeans,KMeans,1
KMeans,LogReg,0.0007724259019
KMeans,PCA,0.9999754263
KMeans,Random,0.01530027461
LogReg,MeanDiff,0.151450536
LogReg,KMeans,0.0007724259019
LogReg,LogReg,1
LogReg,PCA,0.001132938538
LogReg,Random,-0.005016203849
PCA,MeanDiff,0.9551417005
PCA,KMeans,0.9999754263
PCA,LogReg,0.001132938538
PCA,PCA,1
PCA,Random,0.01502421913
Random,MeanDiff,0.008161026665
Random,KMeans,0.01530027461
Random,LogReg,-0.005016203849
Random,PCA,0.01502421913
Random,Random,1
