projection,y,level
529.6706815,0,negative
631.7646454,1,neutral
628.7925442,0,negative
757.6902894,1,neutral
558.9738606,0,negative
731.9835455,1,neutral
359.3154109,0,negative
381.8756984,1,neutral
409.1140357,0,negative
446.4833249,1,neutral
365.8446261,0,negative
531.5323017,0,negative
590.2144851,1,neutral
501.4219862,0,negative
557.7168421,1,neutral
482.8076762,0,negative
557.9590969,1,neutral
649.9143019,0,negative
721.5264048,1,neutral
620.9755714,0,negative
589.5184303,1,neutral
660.3017924,0,negative
558.9956433,1,neutral
389.3438501,0,negative
411.4214898,1,neutral
421.0884385,0,negative
464.8088044,1,neutral
437.1063893,0,negative
507.8581083,1,neutral
531.1923675,0,negative
560.6704146,1,neutral
501.5877282,0,negative
532.9987694,1,neutral
532.1893364,0,negative
635.365845,1,neutral
589.2897776,1,neutral
454.7989669,0,negative
532.5677459,1,neutral
551.0470717,0,negative
624.5201272,1,neutral
531.4263069,1,neutral
442.4037371,0,negative
462.8451394,1,neutral
480.2052383,0,negative
462.8264369,1,neutral
380.0821121,0,negative
466.024918,1,neutral
434.0237586,0,negative
411.6749894,1,neutral
407.6527126,0,negative
415.4360969,1,neutral
541.0922567,0,negative
645.8580341,1,neutral
591.1091203,0,negative
721.9220605,1,neutral
513.263495,0,negative
637.6069144,1,neutral
310.7231693,0,negative
347.3351897,1,neutral
324.5018817,0,negative
348.4161083,1,neutral
265.2573429,0,negative
359.7965731,1,neutral
413.7212324,0,negative
445.8401078,1,neutral
422.6139348,0,negative
385.4214851,1,neutral
449.3961351,0,negative
450.9745985,1,neutral
527.8462414,0,negative
672.6372118,1,neutral
569.919232,0,negative
631.4621881,1,neutral
549.5232402,0,negative
631.7180889,1,neutral
523.3555464,0,negative
568.2040004,1,neutral
602.3159347,0,negative
625.7708507,1,neutral
570.1877795,0,negative
664.7163939,1,neutral
381.9876015,0,negative
412.5711091,1,neutral
369.068702,0,negative
398.2698984,1,neutral
430.5828516,0,negative
446.7195006,1,neutral
401.997943,0,negative
433.8133803,1,neutral
436.1151277,0,negative
382.5528222,1,neutral
386.6004845,0,negative
411.2400998,1,neutral
387.3979585,0,negative
379.1351254,1,neutral
401.6858031,0,negative
336.0372918,1,neutral
402.9431216,0,negative
409.1423319,1,neutral
487.1782281,0,negative
461.628131,1,neutral
478.7744713,0,negative
464.6816929,1,neutral
528.9090264,0,negative
507.8600062,1,neutral
345.1105653,0,negative
327.2693858,1,neutral
312.9240387,0,negative
347.6075345,1,neutral
362.4510013,0,negative
347.3263868,1,neutral
332.4275198,0,negative
418.6893899,1,neutral
366.875011,0,negative
381.1158001,1,neutral
435.8956707,0,negative
424.8414896,1,neutral
409.6154843,0,negative
392.2127337,1,neutral
522.8664951,0,negative
462.6974377,1,neutral
499.5270143,0,negative
482.3598136,1,neutral
396.098989,0,negative
391.6537113,1,neutral
420.7421839,0,negative
406.9812411,1,neutral
439.9899354,0,negative
424.0203934,1,neutral
323.4200592,0,negative
322.7595753,1,neutral
359.4130682,0,negative
339.6191239,1,neutral
314.6264954,0,negative
377.98148,1,neutral
456.4092679,0,negative
459.981892,1,neutral
405.7392563,0,negative
440.711021,1,neutral
457.2805601,0,negative
408.9771648,1,neutral
315.0028854,0,negative
319.8594976,1,neutral
333.3637802,0,negative
302.7147068,1,neutral
364.3189803,0,negative
353.7689273,1,neutral
838.602299,0,negative
720.2978657,1,neutral
731.0916611,0,negative
728.677009,1,neutral
776.9733315,0,negative
720.4541143,1,neutral
683.7514442,0,negative
673.7555427,1,neutral
643.6315217,0,negative
645.4078152,1,neutral
576.7988066,0,negative
607.495859,1,neutral
362.1091912,0,negative
407.5975758,1,neutral
466.847924,0,negative
460.905608,1,neutral
422.2400453,0,negative
439.6463822,1,neutral
446.7664371,0,negative
447.8004739,1,neutral
570.4042611,0,negative
448.0877306,1,neutral
513.6782599,0,negative
514.2146608,1,neutral
337.4791523,0,negative
369.4320621,1,neutral
360.3706183,0,negative
364.1480585,1,neutral
371.5664666,0,negative
376.8731525,1,neutral
333.5014425,0,negative
309.7593286,1,neutral
358.3948822,0,negative
378.4873359,1,neutral
314.8674744,0,negative
329.0402604,1,neutral
600.8464206,0,negative
674.0758239,1,neutral
579.9150534,0,negative
594.104514,1,neutral
601.8080034,0,negative
633.201947,1,neutral
717.2205663,0,negative
774.1218593,1,neutral
862.419415,0,negative
790.0852566,1,neutral
730.9816119,0,negative
774.4210929,1,neutral
376.4443947,0,negative
370.2744564,1,neutral
363.563906,0,negative
397.0031788,1,neutral
373.7280341,0,negative
425.7161869,1,neutral
490.4980057,0,negative
431.5015272,1,neutral
573.8821089,0,negative
441.8317654,1,neutral
514.3116595,0,negative
461.5525328,1,neutral
490.7358566,0,negative
517.3272128,1,neutral
540.1866177,0,negative
570.8579004,1,neutral
566.0923623,0,negative
637.0631141,1,neutral
547.4978673,0,negative
482.2949445,1,neutral
549.1188544,0,negative
506.0852911,1,neutral
521.8458246,0,negative
530.6302711,1,neutral
680.8368541,0,negative
757.254232,1,neutral
746.8127526,0,negative
813.0490976,1,neutral
741.4048384,0,negative
702.9248966,1,neutral
404.7684604,0,negative
436.847625,1,neutral
454.5248795,0,negative
436.7098653,1,neutral
420.423911,0,negative
436.1489217,1,neutral
317.7623226,0,negative
369.3804914,1,neutral
363.8226084,0,negative
357.4054149,1,neutral
