layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.7345100957,0.2815435084,0,3
2,0.8036032822,0.2578438007,0,3
3,0.8058700181,-0.07419448877,4.725816017e-11,3
4,0.8061743069,0.2545227265,1.527525055e-10,3
5,0.8201430806,0.2803325621,5.77350317e-11,3
6,0.8036430978,0.2589061456,0,3
7,0.8682020574,0.2715403171,0,3
8,0.8828394941,0.2714645457,1.732050951e-10,3
9,0.8827152286,0.2780785174,4.041451669e-10,3
10,0.9167094042,0.2782511794,2.165640793e-09,3
11,0.9190458081,0.280855929,3.326158927e-09,3
12,0.9143921285,0.2852610278,5.575242884e-09,3
13,0.9167177099,0.2837334597,7.086842267e-09,3
14,0.8976374391,0.2963991697,2.176633485e-08,3
15,0.9096114823,0.291303089,1.535219853e-08,3
16,0.904857699,0.2716951547,5.750072485e-09,3
17,0.9072332309,0.2837110496,1.268949696e-08,3
18,0.8952013183,0.2832332312,5.450076449e-09,3
19,0.8925431427,0.14820819,5.007797252e-08,3
20,0.887725867,0.4505453207,0.01334195845,3
21,0.8800785138,0.5894776317,0.03626888445,3
22,0.8678723668,0.5272520192,3.716005923e-08,3
23,0.8581876806,0.5173482005,0.0001282922528,3
24,0.8634592993,0.541191515,2.003272322e-08,3
25,0.8514434271,0.5123925735,7.365686201e-09,3
26,0.8418426015,0.482774028,1.509966872e-09,3
27,0.8035497774,0.2755049463,0,3
