row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9109040869,0.006826049414,3
MeanDiff,LogReg,0.5999502991,0,3
MeanDiff,PCA,0.8908846272,3.999999776e-10,3
MeanDiff,Random,0.05130866551,0.003942724991,3
KMeans,MeanDiff,0.9109040869,0.006826049414,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.3878367876,0.007091797334,3
KMeans,PCA,0.9924726201,0.00117383511,3
KMeans,Random,0.04120338296,0.008645797704,3
LogReg,MeanDiff,0.5999502991,0,3
LogReg,KMeans,0.3878367876,0.007091797334,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.3675585526,1.053565378e-09,3
LogReg,Random,0.04113904305,0.01329539302,3
PCA,MeanDiff,0.8908846272,3.999999776e-10,3
PCA,KMeans,0.9924726201,0.00117383511,3
PCA,LogReg,0.3675585526,1.053565378e-09,3
PCA,PCA,1,0,3
PCA,Random,0.0391477487,0.008405083268,3
Random,MeanDiff,0.05130866551,0.003942724991,3
Random,KMeans,0.04120338296,0.008645797704,3
Random,LogReg,0.04113904305,0.01329539302,3
Random,PCA,0.0391477487,0.008405083268,3
Random,Random,1,0,3
