row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.6238821395,0,3
MeanDiff,LogReg,0.4928212005,6.798699778e-17,3
MeanDiff,PCA,0.7822329187,3.559499033e-08,3
MeanDiff,Random,0.05092542784,0.004207244091,3
KMeans,MeanDiff,0.6238821395,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.1334558516,0,3
KMeans,PCA,0.9596659607,3.722006604e-09,3
KMeans,Random,0.02317752437,0.01344142153,3
LogReg,MeanDiff,0.4928212005,6.798699778e-17,3
LogReg,KMeans,0.1334558516,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.2152662351,7.91505738e-08,3
LogReg,Random,0.03118646303,0.006091492966,3
PCA,MeanDiff,0.7822329187,3.559499033e-08,3
PCA,KMeans,0.9596659607,3.722006604e-09,3
PCA,LogReg,0.2152662351,7.91505738e-08,3
PCA,PCA,1,0,3
PCA,Random,0.03389823012,0.008725979173,3
Random,MeanDiff,0.05092542784,0.004207244091,3
Random,KMeans,0.02317752437,0.01344142153,3
Random,LogReg,0.03118646303,0.006091492966,3
Random,PCA,0.03389823012,0.008725979173,3
Random,Random,1,0,3
