projection,y,level
6.031946846,0,negative
14.08823049,1,neutral
9.580525438,0,negative
15.61853717,1,neutral
6.745870086,0,negative
14.99388161,1,neutral
1.445005228,0,negative
16.38388538,1,neutral
2.863825949,0,negative
20.72770957,1,neutral
3.783592973,0,negative
0.6367187603,0,negative
14.08834578,1,neutral
1.159627649,0,negative
11.207456,1,neutral
2.092272589,0,negative
13.14312147,1,neutral
-6.184014895,0,negative
14.15269782,1,neutral
0.001439277299,0,negative
17.5410226,1,neutral
6.603509786,0,negative
14.39955094,1,neutral
2.596946837,0,negative
18.36211557,1,neutral
6.138126866,0,negative
14.03271292,1,neutral
5.210273719,0,negative
16.82835354,1,neutral
11.02371088,0,negative
17.38865607,1,neutral
2.958786166,0,negative
12.73082976,1,neutral
7.90751342,0,negative
20.81141655,1,neutral
17.59874148,1,neutral
1.640196103,0,negative
16.14511979,1,neutral
4.560243575,0,negative
18.43001066,1,neutral
13.30715902,1,neutral
6.970513939,0,negative
16.50990739,1,neutral
4.570051527,0,negative
10.94604936,1,neutral
10.16626447,0,negative
16.71895481,1,neutral
10.34249619,0,negative
17.79347336,1,neutral
7.482809451,0,negative
15.92138187,1,neutral
-2.197937451,0,negative
18.00575596,1,neutral
3.816040037,0,negative
23.82655758,1,neutral
-8.897998897,0,negative
20.55209715,1,neutral
-0.2437616582,0,negative
16.30058171,1,neutral
0.006086438129,0,negative
18.92043031,1,neutral
2.448978261,0,negative
20.02424656,1,neutral
-5.967822843,0,negative
16.26787693,1,neutral
2.440680288,0,negative
15.61920331,1,neutral
-3.433676712,0,negative
17.71647387,1,neutral
-2.510034463,0,negative
16.00382026,1,neutral
0.1790846374,0,negative
16.54896095,1,neutral
-0.5722726764,0,negative
17.15696065,1,neutral
-3.617516228,0,negative
20.50020753,1,neutral
-3.291034601,0,negative
21.38334218,1,neutral
-1.52082243,0,negative
20.74316391,1,neutral
-1.701502358,0,negative
19.12518011,1,neutral
3.13585655,0,negative
18.57571647,1,neutral
-4.756683617,0,negative
15.49089849,1,neutral
-5.704777276,0,negative
12.44904951,1,neutral
1.57586452,0,negative
12.81446948,1,neutral
-4.097572648,0,negative
13.88325623,1,neutral
3.558261392,0,negative
6.150758567,1,neutral
8.129586517,0,negative
4.086217177,1,neutral
4.901345182,0,negative
12.81281838,1,neutral
-5.936574499,0,negative
15.72021337,1,neutral
-3.869674948,0,negative
16.22457072,1,neutral
-3.451291172,0,negative
14.5557423,1,neutral
9.670893544,0,negative
19.3790081,1,neutral
3.243677907,0,negative
14.27465802,1,neutral
-2.000537159,0,negative
16.60507288,1,neutral
2.151478591,0,negative
17.98292929,1,neutral
12.3906797,0,negative
18.66452383,1,neutral
4.383845869,0,negative
16.99262237,1,neutral
9.864752845,0,negative
17.02915908,1,neutral
8.600654206,0,negative
15.56112186,1,neutral
9.26379129,0,negative
14.25934817,1,neutral
14.84183808,0,negative
15.65674284,1,neutral
8.253046381,0,negative
13.79856773,1,neutral
3.470873792,0,negative
14.04766334,1,neutral
9.898678987,0,negative
17.92783984,1,neutral
4.416113218,0,negative
18.22074378,1,neutral
4.972766656,0,negative
16.07984742,1,neutral
0.5171226502,0,negative
16.54728773,1,neutral
-4.217855529,0,negative
14.72666032,1,neutral
-0.6966572577,0,negative
18.27976228,1,neutral
6.557474777,0,negative
17.42320741,1,neutral
7.590322126,0,negative
19.21816523,1,neutral
-4.982429825,0,negative
19.2970771,1,neutral
10.0124046,0,negative
15.02251912,1,neutral
6.75740646,0,negative
12.93741011,1,neutral
-1.838109634,0,negative
13.26371288,1,neutral
8.240975646,0,negative
16.2515101,1,neutral
11.10615156,0,negative
11.27129206,1,neutral
-1.135654136,0,negative
9.585776339,1,neutral
-7.061684358,0,negative
14.32571092,1,neutral
-6.779350773,0,negative
11.35086562,1,neutral
12.48685547,0,negative
12.16829861,1,neutral
12.91707101,0,negative
17.47812367,1,neutral
13.58374065,0,negative
15.66060361,1,neutral
13.69936318,0,negative
16.7958034,1,neutral
0.698309714,0,negative
18.30745984,1,neutral
-0.7617072142,0,negative
19.10547747,1,neutral
-3.880009025,0,negative
15.98747896,1,neutral
8.313414795,0,negative
16.67187442,1,neutral
15.46163287,0,negative
15.92248595,1,neutral
12.26911805,0,negative
16.37637815,1,neutral
-4.27941987,0,negative
15.45441063,1,neutral
4.590508836,0,negative
16.90228312,1,neutral
-3.192961507,0,negative
16.78853076,1,neutral
4.512381118,0,negative
15.39114727,1,neutral
9.647794541,0,negative
18.41555705,1,neutral
-0.6076252108,0,negative
16.26028068,1,neutral
8.937025819,0,negative
18.10186232,1,neutral
5.804024126,0,negative
20.2845931,1,neutral
5.417981434,0,negative
18.64994992,1,neutral
10.70241214,0,negative
18.56654151,1,neutral
9.726791847,0,negative
18.5811804,1,neutral
-1.181963257,0,negative
18.29451596,1,neutral
10.14923327,0,negative
22.25373245,1,neutral
12.7435275,0,negative
15.35335166,1,neutral
10.21552882,0,negative
13.30152074,1,neutral
7.218535124,0,negative
14.11425957,1,neutral
8.764728628,0,negative
10.82108014,1,neutral
7.914536931,0,negative
11.44578586,1,neutral
6.473126132,0,negative
13.97439954,1,neutral
3.484880462,0,negative
14.64084234,1,neutral
-0.3931840196,0,negative
11.1086844,1,neutral
12.18745997,0,negative
13.95822533,1,neutral
8.8176384,0,negative
14.20849371,1,neutral
14.78290732,0,negative
15.28998693,1,neutral
4.810089791,0,negative
17.21072341,1,neutral
-1.467547466,0,negative
16.99940907,1,neutral
-1.163439711,0,negative
15.90093344,1,neutral
3.773052798,0,negative
10.64896928,1,neutral
6.256588032,0,negative
10.47119241,1,neutral
6.724530017,0,negative
10.05536336,1,neutral
12.79315714,0,negative
7.333856872,1,neutral
7.856440363,0,negative
12.89316011,1,neutral
7.153095996,0,negative
9.781000004,1,neutral
5.140962705,0,negative
14.33387151,1,neutral
5.080861754,0,negative
15.55949387,1,neutral
-1.825778553,0,negative
6.352473376,1,neutral
12.42666906,0,negative
13.79186276,1,neutral
11.34485068,0,negative
19.07006675,1,neutral
-1.731735892,0,negative
18.33583874,1,neutral
9.093461243,0,negative
16.76915442,1,neutral
14.90104879,0,negative
17.1548566,1,neutral
13.28181753,0,negative
16.13187991,1,neutral
6.476365657,0,negative
13.74551007,1,neutral
2.235887501,0,negative
9.488723884,1,neutral
0.9743958027,0,negative
7.390069288,1,neutral
-5.327278938,0,negative
14.71779183,1,neutral
3.337532186,0,negative
13.22737499,1,neutral
6.782365029,0,negative
13.37068276,1,neutral
9.937765407,0,negative
18.35392988,1,neutral
9.485060013,0,negative
16.5615487,1,neutral
10.07807497,0,negative
19.9179548,1,neutral
5.733324143,0,negative
9.309734379,1,neutral
-4.016008131,0,negative
12.08604445,1,neutral
4.17552283,0,negative
13.07734744,1,neutral
4.348869411,0,negative
14.42854989,1,neutral
3.862900026,0,negative
8.569809953,1,neutral
7.347593894,0,negative
12.42469018,1,neutral
1.415410348,0,negative
10.77857454,1,neutral
10.04983053,0,negative
15.08016219,1,neutral
3.10377466,0,negative
13.15017626,1,neutral
4.862970347,0,negative
10.76022164,1,neutral
4.054445224,0,negative
17.44491847,1,neutral
2.164160873,0,negative
9.884461901,1,neutral
-3.728291488,0,negative
6.554690544,1,neutral
4.524056357,0,negative
11.12249912,1,neutral
-7.037250786,0,negative
12.89479094,1,neutral
12.65099594,0,negative
18.90386462,1,neutral
5.430405314,0,negative
17.35828676,1,neutral
4.425791633,0,negative
18.90372834,1,neutral
10.97130025,0,negative
18.7522034,1,neutral
12.13302371,0,negative
17.48699954,1,neutral
-0.208485769,0,negative
17.31217773,1,neutral
2.0107492,0,negative
19.19593615,1,neutral
-5.86943727,0,negative
19.28425946,1,neutral
-0.9348561245,0,negative
17.09990464,1,neutral
2.449907777,0,negative
17.62746431,1,neutral
-3.338586324,0,negative
18.35632498,1,neutral
12.88575454,0,negative
18.30353909,1,neutral
0.6037498848,0,negative
15.38187047,1,neutral
13.17266704,0,negative
22.16459926,1,neutral
-1.157250131,0,negative
18.68723887,1,neutral
8.388891977,0,negative
14.17264899,1,neutral
8.56338899,0,negative
17.96224918,1,neutral
-2.75741288,0,negative
18.81441972,1,neutral
-2.048402315,0,negative
18.49848988,1,neutral
4.356252177,0,negative
16.50745988,1,neutral
0.8630901359,0,negative
17.52431375,1,neutral
5.260632658,0,negative
17.98999746,1,neutral
18.55120902,1,neutral
9.919669739,0,negative
13.47717805,1,neutral
11.23228338,0,negative
20.59288803,1,neutral
7.016004847,0,negative
17.41002086,1,neutral
5.818768694,0,negative
8.378808838,1,neutral
-5.433696316,0,negative
0.2503148422,1,neutral
10.28385382,0,negative
0.2893424143,1,neutral
15.35366596,0,negative
18.43298839,1,neutral
10.12366704,0,negative
11.32681786,1,neutral
8.250974273,0,negative
16.47814155,1,neutral
7.544556568,0,negative
16.35839716,1,neutral
7.190501671,0,negative
18.35464825,1,neutral
-1.674166609,0,negative
17.92811186,1,neutral
-1.418595686,0,negative
18.05686251,1,neutral
-6.794191272,0,negative
15.73762201,1,neutral
10.3486817,0,negative
9.518493605,1,neutral
11.73400181,0,negative
5.626995338,1,neutral
0.7634939314,0,negative
17.45465217,1,neutral
9.060038462,0,negative
12.75750151,1,neutral
7.420723834,0,negative
9.398563791,1,neutral
1.576705449,0,negative
6.086403215,1,neutral
4.182372513,0,negative
10.41179488,1,neutral
-2.162952489,0,negative
5.247202641,1,neutral
7.512988708,0,negative
13.51248002,1,neutral
-5.883569148,0,negative
21.58226351,1,neutral
15.91773719,0,negative
18.41251921,1,neutral
3.94436576,0,negative
18.44215298,1,neutral
14.73394323,0,negative
17.42164975,1,neutral
3.979297748,0,negative
8.545189501,1,neutral
-1.052846541,0,negative
12.4106429,1,neutral
2.703927246,0,negative
11.38601942,1,neutral
5.275621826,0,negative
18.4287741,1,neutral
7.935075482,0,negative
19.06453183,1,neutral
0.6112204295,0,negative
12.29283525,1,neutral
