projection,y,level
3.473282359,0,negative
14.27051118,1,positive
6.470569734,0,negative
11.64571656,1,positive
5.237100885,0,negative
12.61227428,1,positive
-3.704137041,0,negative
13.00681141,1,positive
-0.1643420239,0,negative
11.45241337,1,positive
0.2156593311,0,negative
10.13451434,1,positive
-1.961050998,0,negative
3.992023019,1,positive
-1.942210345,0,negative
10.70172468,1,positive
-2.945160906,0,negative
4.953468015,1,positive
0.3228778424,0,negative
12.77104528,1,positive
-2.521344433,0,negative
12.14631951,1,positive
2.664836492,0,negative
9.837622519,1,positive
-1.405289628,0,negative
10.99666522,1,positive
1.869805977,0,negative
5.072963418,1,positive
0.4209876949,0,negative
6.797452101,1,positive
7.657990692,0,negative
14.12723132,1,positive
-0.3859138948,0,negative
14.13462291,1,positive
4.316747647,0,negative
13.46171116,1,positive
9.378185725,1,positive
-2.485879606,0,negative
12.23519277,1,positive
1.759928903,0,negative
14.44406038,1,positive
10.18150118,1,positive
1.500727573,0,negative
9.563314313,1,positive
-0.1923646467,0,negative
7.853979194,1,positive
2.977762295,0,negative
12.92657838,1,positive
2.718100565,0,negative
10.12081845,1,positive
0.2003993274,0,negative
10.91720188,1,positive
0.7684859606,0,negative
13.92218896,1,positive
-1.492305418,0,negative
11.92452482,1,positive
-4.211420067,0,negative
-3.957052152,0,negative
12.80202175,1,positive
-4.648856307,0,negative
14.44177205,1,positive
-0.6800833059,0,negative
9.068151099,1,positive
-1.611116618,0,negative
8.836200335,1,positive
-3.428074467,0,negative
8.310879303,1,positive
0.1333021317,0,negative
9.622992999,1,positive
-0.01141433222,0,negative
12.94003028,1,positive
2.394471919,0,negative
14.00016946,1,positive
2.284283041,0,negative
12.24094406,1,positive
-1.532981197,0,negative
9.823823266,1,positive
-1.800871088,0,negative
14.59166097,1,positive
-0.3307304696,0,negative
0.4363641228,0,negative
11.45158075,1,positive
3.422317173,0,negative
13.51913482,1,positive
-2.240030806,0,negative
15.47504223,1,positive
-2.391838766,0,negative
13.32264785,1,positive
2.452449726,0,negative
12.64542234,1,positive
-2.530149463,0,negative
13.15245273,1,positive
-0.9930781464,0,negative
9.90919725,1,positive
3.46345728,0,negative
5.440514556,1,positive
0.09549292771,0,negative
3.351549127,1,positive
-5.694968052,0,negative
9.728264561,1,positive
-3.415084139,0,negative
8.545094997,1,positive
-3.44673388,0,negative
10.20747546,1,positive
3.290434836,0,negative
14.51010575,1,positive
-0.2545545375,0,negative
10.89360249,1,positive
-0.8305534379,0,negative
-2.043740285,0,negative
13.4022104,1,positive
5.604165795,0,negative
12.1646778,1,positive
6.328261549,0,negative
10.52486416,1,positive
3.12677847,0,negative
13.38403819,1,positive
3.305861502,0,negative
12.14117572,1,positive
3.209933657,0,negative
13.17380779,1,positive
10.4940418,0,negative
10.0256823,1,positive
4.079188155,0,negative
10.34092454,1,positive
-0.3917113942,0,negative
10.175951,1,positive
2.564192373,0,negative
12.7389843,1,positive
-0.4704185984,0,negative
13.82062051,1,positive
0.7980028892,0,negative
15.89688404,1,positive
2.725629161,0,negative
13.2975526,1,positive
-0.4921981196,0,negative
8.703155792,1,positive
2.590317493,0,negative
13.11813498,1,positive
1.853878711,0,negative
12.15528187,1,positive
3.450009716,0,negative
14.62611095,1,positive
-1.107314224,0,negative
11.60315417,1,positive
3.901820943,0,negative
6.00095933,1,positive
0.7987059233,0,negative
6.899286672,1,positive
0.8547558487,0,negative
6.833140689,1,positive
2.411871276,0,negative
7.844873179,1,positive
5.544642107,0,negative
7.035586478,1,positive
2.244545666,0,negative
8.533687621,1,positive
-3.363078564,0,negative
