row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.8229282567,0,3
MeanDiff,LogReg,0.4948595263,0,3
MeanDiff,PCA,0.8307531356,6.507175518e-09,3
MeanDiff,Random,0.02399144648,0.006799195417,3
KMeans,MeanDiff,0.8229282567,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.1382355773,0,3
KMeans,PCA,0.9958497239,9.451631408e-10,3
KMeans,Random,0.01600191739,0.007307281336,3
LogReg,MeanDiff,0.4948595263,0,3
LogReg,KMeans,0.1382355773,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.1516612941,9.037145575e-09,3
LogReg,Random,0.01646646352,0.03873826645,3
PCA,MeanDiff,0.8307531356,6.507175518e-09,3
PCA,KMeans,0.9958497239,9.451631408e-10,3
PCA,LogReg,0.1516612941,9.037145575e-09,3
PCA,PCA,1,0,3
PCA,Random,0.01468306378,0.007018792131,3
Random,MeanDiff,0.02399144648,0.006799195417,3
Random,KMeans,0.01600191739,0.007307281336,3
Random,LogReg,0.01646646352,0.03873826645,3
Random,PCA,0.01468306378,0.007018792131,3
Random,Random,1,0,3
