row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.7551772542,0,3
MeanDiff,LogReg,0.4053368308,0,3
MeanDiff,PCA,0.7165658444,1.562401993e-08,3
MeanDiff,Random,0.02400586107,0.005630752664,3
KMeans,MeanDiff,0.7551772542,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.07860599121,0,3
KMeans,PCA,0.9799717554,1.285145908e-08,3
KMeans,Random,0.01675921024,0.01279401347,3
LogReg,MeanDiff,0.4053368308,0,3
LogReg,KMeans,0.07860599121,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.06703007785,5.686566036e-09,3
LogReg,Random,0.0195409633,0.02213692039,3
PCA,MeanDiff,0.7165658444,1.562401993e-08,3
PCA,KMeans,0.9799717554,1.285145908e-08,3
PCA,LogReg,0.06703007785,5.686566036e-09,3
PCA,PCA,1,0,3
PCA,Random,0.01129923687,0.01662991114,3
Random,MeanDiff,0.02400586107,0.005630752664,3
Random,KMeans,0.01675921024,0.01279401347,3
Random,LogReg,0.0195409633,0.02213692039,3
Random,PCA,0.01129923687,0.01662991114,3
Random,Random,1,0,3
