projection,y,level
-6.014109441,0,neutral
-6.730075487,1,positive
-10.5413269,0,neutral
-9.504619878,1,positive
-9.342967753,0,neutral
-3.329211016,1,positive
-11.35368162,0,neutral
-11.22438288,1,positive
-15.60562602,0,neutral
-10.79976579,1,positive
-10.54903652,1,positive
-10.22067462,0,neutral
5.158900578,1,positive
-9.667346504,0,neutral
4.095340618,1,positive
-9.239404576,0,neutral
6.024681484,1,positive
-6.916115679,0,neutral
-6.912485585,1,positive
-9.431198685,0,neutral
-8.511174082,1,positive
-11.47206933,0,neutral
-8.487563979,1,positive
-10.15704419,0,neutral
-6.785826737,1,positive
-11.80381387,0,neutral
2.805286775,1,positive
-11.21339732,0,neutral
3.801729575,1,positive
-12.57364247,0,neutral
-7.622060474,1,positive
-11.43640282,0,neutral
-7.987283012,1,positive
-14.01872043,0,neutral
-7.773622786,1,positive
-13.73177636,0,neutral
-7.685516789,1,positive
-13.20408201,0,neutral
-9.120178645,1,positive
-12.44244423,0,neutral
-7.005998015,1,positive
-12.91874395,0,neutral
-12.30587501,1,positive
-11.70073759,0,neutral
-10.86935518,1,positive
-9.398910091,0,neutral
-6.811629107,1,positive
-14.48420352,0,neutral
-8.79488028,1,positive
-12.40652198,0,neutral
-10.61144493,1,positive
-13.18307364,0,neutral
-6.327626622,1,positive
-10.52372991,0,neutral
-9.720303366,1,positive
-15.84531841,0,neutral
3.796270854,1,positive
-13.88510171,0,neutral
-9.266114059,0,neutral
-7.282323513,1,positive
-13.33849906,0,neutral
-8.752960322,1,positive
-12.14726324,0,neutral
-6.686230333,1,positive
-11.23153328,0,neutral
-7.72787688,1,positive
-12.46664215,0,neutral
-6.740884574,1,positive
-12.66800892,0,neutral
-6.649353485,1,positive
-14.85245559,0,neutral
3.831686237,1,positive
-16.25528734,0,neutral
5.946462112,1,positive
-16.46037736,0,neutral
5.958437603,1,positive
-14.58025387,0,neutral
-9.697342527,1,positive
-14.0387151,0,neutral
0.02532709945,1,positive
-14.32758709,0,neutral
-13.32078556,0,neutral
-6.608234925,1,positive
-13.03238869,0,neutral
-9.04696113,1,positive
-2.830305738,0,neutral
3.030821388,1,positive
-2.199350687,0,neutral
3.608743099,1,positive
-10.37871333,0,neutral
4.068080297,1,positive
-13.17770651,0,neutral
4.281686751,1,positive
2.984608758,0,neutral
4.270299285,1,positive
2.587952712,0,neutral
9.426929194,1,positive
-11.80764464,0,neutral
10.44857604,1,positive
-11.10792534,0,neutral
4.536145657,1,positive
-11.33335756,0,neutral
3.893772507,1,positive
-13.58217363,0,neutral
2.675611637,1,positive
-12.8311703,0,neutral
2.572479737,1,positive
-0.8037217292,0,neutral
7.134019216,1,positive
-10.22728403,0,neutral
-11.49729631,0,neutral
0.1690147229,1,positive
-12.5032268,0,neutral
-9.884278801,1,positive
-13.70584619,0,neutral
-7.202070638,1,positive
-11.53788283,0,neutral
3.401462069,1,positive
-9.95416447,0,neutral
7.39931934,1,positive
-9.204293705,0,neutral
2.911685077,1,positive
-9.726442413,0,neutral
-9.046038591,1,positive
-12.35855853,0,neutral
-9.290998524,1,positive
-12.77004583,0,neutral
-5.485505229,1,positive
-8.667611024,0,neutral
-7.880721047,1,positive
-11.77213463,0,neutral
-7.231934515,1,positive
-8.123833398,0,neutral
-6.52090078,1,positive
-10.64367928,0,neutral
-8.086515792,1,positive
-8.66816338,0,neutral
-8.475057232,1,positive
-12.33313746,0,neutral
-8.382360365,1,positive
-10.10440537,0,neutral
-5.150732311,1,positive
-16.36840503,0,neutral
-5.386000584,1,positive
-12.2068793,0,neutral
-9.569824176,1,positive
-11.51243575,0,neutral
-9.01616508,1,positive
-12.74662604,0,neutral
-8.106109655,1,positive
-12.18508329,0,neutral
-9.405720877,1,positive
-11.10578645,0,neutral
9.013947869,1,positive
-8.906175705,0,neutral
8.917838014,1,positive
-8.873135899,0,neutral
7.721123693,1,positive
-5.588142194,0,neutral
-8.664779954,0,neutral
0.9292569678,1,positive
-9.153450403,0,neutral
7.669854486,1,positive
-11.20835972,0,neutral
-9.557066334,1,positive
-8.888074109,0,neutral
5.471219794,1,positive
-11.45256775,0,neutral
-10.40039321,1,positive
-11.60606814,0,neutral
-9.469581141,1,positive
-12.49779094,0,neutral
-9.14828121,1,positive
-12.43140204,0,neutral
-8.072475319,1,positive
-10.91630037,0,neutral
-6.908645182,1,positive
-9.015355182,0,neutral
-6.372269944,1,positive
-8.180035581,0,neutral
-5.817109036,1,positive
-12.49454302,0,neutral
-8.316938229,1,positive
-14.36172528,0,neutral
-6.855704188,1,positive
-11.1457571,0,neutral
-10.93316732,1,positive
-9.985362257,0,neutral
-10.95989572,0,neutral
-9.248186174,1,positive
-10.90639338,0,neutral
-15.96348212,0,neutral
-10.22399454,1,positive
-17.17468179,0,neutral
-8.972564016,1,positive
-17.92727931,0,neutral
6.569985232,1,positive
-14.9644044,0,neutral
-9.521109183,1,positive
-16.40097669,0,neutral
-12.62773024,1,positive
-13.57361721,0,neutral
-7.31686671,1,positive
-12.91066617,0,neutral
-9.018155205,1,positive
-11.35894079,0,neutral
-9.777650775,1,positive
-10.34015274,0,neutral
-10.73518475,1,positive
-7.550836826,0,neutral
-5.148676111,1,positive
-6.207805388,0,neutral
9.264371692,1,positive
-6.613870172,0,neutral
6.145824482,1,positive
-8.164219993,0,neutral
-8.63408347,1,positive
-10.43493278,0,neutral
-8.014028153,1,positive
-8.205328369,0,neutral
7.914953343,1,positive
-9.628628245,0,neutral
-6.670105114,1,positive
-7.98281527,0,neutral
4.998739642,1,positive
-7.787148357,0,neutral
4.09599154,1,positive
-12.17204928,0,neutral
-5.323177605,1,positive
-10.10150013,0,neutral
-7.511413285,1,positive
-9.918138211,0,neutral
5.082373282,1,positive
-9.816997328,0,neutral
-6.68798552,1,positive
-7.53464884,0,neutral
-6.858445463,1,positive
-8.373535441,0,neutral
-5.608234586,1,positive
-3.768125739,0,neutral
-6.943499656,1,positive
-8.267175793,0,neutral
-4.611306941,0,neutral
-9.650231887,0,neutral
0.7946291126,1,positive
-12.05134634,0,neutral
-5.994849625,1,positive
-9.294233569,0,neutral
-8.289768101,1,positive
-0.8336622302,0,neutral
4.272651454,1,positive
-11.51357915,0,neutral
3.46808442,1,positive
-11.19874672,0,neutral
-8.620540466,0,neutral
-4.608955772,1,positive
-12.22673588,0,neutral
-3.98708873,1,positive
-9.261113981,0,neutral
1.749296408,1,positive
-6.53050213,0,neutral
-6.418486595,1,positive
0.05214693385,0,neutral
-4.873090801,1,positive
-3.389683738,0,neutral
-4.738162032,1,positive
-14.02882455,0,neutral
-7.949733448,1,positive
-13.20952413,0,neutral
-12.9888875,1,positive
-14.46670032,0,neutral
-12.95686816,1,positive
-13.54862683,0,neutral
-11.34138908,1,positive
