row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.62431967
MeanDiff,LogReg,0.4943698226
MeanDiff,PCA,0.7834621654
MeanDiff,Random,0.05216142832
KMeans,MeanDiff,0.62431967
KMeans,KMeans,1
KMeans,LogReg,0.1339387544
KMeans,PCA,0.9594375616
KMeans,Random,0.01253619699
LogReg,MeanDiff,0.4943698226
LogReg,KMeans,0.1339387544
LogReg,LogReg,1
LogReg,PCA,0.2164387418
LogReg,Random,0.03744562562
PCA,MeanDiff,0.7834621654
PCA,KMeans,0.9594375616
PCA,LogReg,0.2164387418
PCA,PCA,1
PCA,Random,0.0271048983
Random,MeanDiff,0.05216142832
Random,KMeans,0.01253619699
Random,LogReg,0.03744562562
Random,PCA,0.0271048983
Random,Random,1
