row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.05558818939
MeanDiff,LogReg,0.7593787497
MeanDiff,PCA,0.08946708976
MeanDiff,Random,0.03880291495
KMeans,MeanDiff,0.05558818939
KMeans,KMeans,1
KMeans,LogReg,0.02406144144
KMeans,PCA,0.9861561502
KMeans,Random,0.007686172866
LogReg,MeanDiff,0.7593787497
LogReg,KMeans,0.02406144144
LogReg,LogReg,1
LogReg,PCA,0.038091404
LogReg,Random,0.02537584903
PCA,MeanDiff,0.08946708976
PCA,KMeans,0.9861561502
PCA,LogReg,0.038091404
PCA,PCA,1
PCA,Random,0.006112164634
Random,MeanDiff,0.03880291495
Random,KMeans,0.007686172866
Random,LogReg,0.02537584903
Random,PCA,0.006112164634
Random,Random,1
