row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.04192548372
MeanDiff,LogReg,0.6520601525
MeanDiff,PCA,0.07437427688
MeanDiff,Random,0.03943978657
KMeans,MeanDiff,0.04192548372
KMeans,KMeans,1
KMeans,LogReg,-0.002857019999
KMeans,PCA,0.9933197553
KMeans,Random,0.001610128053
LogReg,MeanDiff,0.6520601525
LogReg,KMeans,-0.002857019999
LogReg,LogReg,1
LogReg,PCA,0.01957229489
LogReg,Random,0.005083122551
PCA,MeanDiff,0.07437427688
PCA,KMeans,0.9933197553
PCA,LogReg,0.01957229489
PCA,PCA,1
PCA,Random,0.002300966916
Random,MeanDiff,0.03943978657
Random,KMeans,0.001610128053
Random,LogReg,0.005083122551
Random,PCA,0.002300966916
Random,Random,1
