layer,accuracy_mean,agreement_mean
1,0.7345100957,0.2815435084
2,0.8036032822,0.2578438007
3,0.8058700181,-0.07419448879
4,0.8061743069,0.2545227265
5,0.8201430806,0.2803325621
6,0.8036430978,0.2589061456
7,0.8682020574,0.2715403171
8,0.8828394941,0.2714645458
9,0.8827152286,0.2780785173
10,0.9167094042,0.2782511791
11,0.9190458081,0.2808559302
12,0.9143921285,0.2852610256
13,0.9167177099,0.2837334605
14,0.8976374391,0.296399157
15,0.9096114823,0.2913030953
16,0.904857699,0.2716951559
17,0.9072332309,0.283711053
18,0.8952013183,0.2832332266
19,0.8925431427,0.148208245
20,0.887725867,0.4656565494
21,0.8800785138,0.568537808
22,0.8678723668,0.5272520399
23,0.8581876806,0.5172741289
24,0.8634592993,0.5411915255
25,0.8514434271,0.5123925724
26,0.8418426015,0.4827740296
27,0.8035497774,0.2755049463
