row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9110603999
MeanDiff,LogReg,0.5984941868
MeanDiff,PCA,0.891622595
MeanDiff,Random,0.05455682217
KMeans,MeanDiff,0.9110603999
KMeans,KMeans,1
KMeans,LogReg,0.3859956325
KMeans,PCA,0.9922474963
KMeans,Random,0.05005165904
LogReg,MeanDiff,0.5984941868
LogReg,KMeans,0.3859956325
LogReg,LogReg,1
LogReg,PCA,0.3665883031
LogReg,Random,0.02646564403
PCA,MeanDiff,0.891622595
PCA,KMeans,0.9922474963
PCA,LogReg,0.3665883031
PCA,PCA,1
PCA,Random,0.0485497794
Random,MeanDiff,0.05455682217
Random,KMeans,0.05005165904
Random,LogReg,0.02646564403
Random,PCA,0.0485497794
Random,Random,1
