row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.8229282567
MeanDiff,LogReg,0.4948595263
MeanDiff,PCA,0.8307531384
MeanDiff,Random,0.02247806873
KMeans,MeanDiff,0.8229282567
KMeans,KMeans,1
KMeans,LogReg,0.1382355773
KMeans,PCA,0.9958497236
KMeans,Random,0.02438189648
LogReg,MeanDiff,0.4948595263
LogReg,KMeans,0.1382355773
LogReg,LogReg,1
LogReg,PCA,0.1516612978
LogReg,Random,-0.02792583497
PCA,MeanDiff,0.8307531384
PCA,KMeans,0.9958497236
PCA,LogReg,0.1516612978
PCA,PCA,1
PCA,Random,0.02276989957
Random,MeanDiff,0.02247806873
Random,KMeans,0.02438189648
Random,LogReg,-0.02792583497
Random,PCA,0.02276989957
Random,Random,1
