projection,y,level
1.573808241,0,neutral
-3.068531029,0,neutral
-1.840254504,0,neutral
0.9723772397,1,positive
-1.971891761,1,positive
4.334491813,1,positive
0.5680644335,0,neutral
-3.724238462,0,neutral
0.5983080016,1,positive
1.113079724,1,positive
1.444786303,1,positive
-8.071215996,0,neutral
-7.334735811,0,neutral
-7.079785483,0,neutral
7.519983327,1,positive
6.502421946,1,positive
8.463332018,1,positive
1.805978477,0,neutral
-0.6731019045,0,neutral
-3.011727183,0,neutral
1.726673261,1,positive
0.07783266628,1,positive
0.07434468398,1,positive
-4.792052242,0,neutral
-6.208930088,0,neutral
-5.745245995,0,neutral
-1.177572584,1,positive
8.469809313,1,positive
9.453991597,1,positive
-2.485842279,0,neutral
-1.198468549,0,neutral
-3.97378255,0,neutral
2.744362963,1,positive
2.383939102,1,positive
2.529791312,1,positive
-3.185833738,0,neutral
-2.67551646,0,neutral
-1.851988006,0,neutral
2.913754169,1,positive
1.324379502,1,positive
3.475204533,1,positive
-2.121159698,0,neutral
-1.03591734,0,neutral
1.413780759,0,neutral
-1.715188451,1,positive
-0.3551997483,1,positive
3.813684478,1,positive
-3.461151025,0,neutral
-1.472160919,0,neutral
-2.17515977,0,neutral
1.93238201,1,positive
0.3919693302,1,positive
4.784120374,1,positive
-1.30208693,0,neutral
-6.504940158,0,neutral
-4.654421025,0,neutral
-0.4537753983,1,positive
12.91522351,1,positive
0.4475082644,0,neutral
-3.729807333,0,neutral
-2.689856429,0,neutral
2.359190644,1,positive
0.712467334,1,positive
2.900497519,1,positive
-1.59690851,0,neutral
-2.897944394,0,neutral
-3.118958545,0,neutral
1.840674659,1,positive
2.841500657,1,positive
2.931636133,1,positive
-9.766354621,0,neutral
-11.00649814,0,neutral
-11.26878029,0,neutral
9.240745718,1,positive
11.4106354,1,positive
11.39025195,1,positive
-4.092240009,0,neutral
-3.457707092,0,neutral
-3.827915975,0,neutral
0.8118634212,1,positive
10.56599966,1,positive
-6.369100004,0,neutral
-6.112340679,0,neutral
4.142091533,0,neutral
0.4919716815,1,positive
-2.190982749,1,positive
10.03836022,1,positive
-0.0565662393,0,neutral
-8.196724449,0,neutral
-10.89108514,0,neutral
5.904652237,1,positive
6.477686723,1,positive
6.762036864,1,positive
-0.2180345123,0,neutral
-0.421137848,0,neutral
-14.78507629,0,neutral
1.382125716,1,positive
6.487769306,1,positive
7.554353626,1,positive
-6.987478418,0,neutral
-7.162657778,0,neutral
-9.283466348,0,neutral
8.713882209,1,positive
7.924431826,1,positive
6.79528851,1,positive
-10.07154231,0,neutral
2.065294669,0,neutral
-7.431588659,0,neutral
5.396831059,1,positive
10.04100524,1,positive
-2.465475156,0,neutral
-3.421080275,0,neutral
-4.560208994,0,neutral
9.274997232,1,positive
-0.8093932004,1,positive
1.981160394,1,positive
-8.811863411,0,neutral
-7.142524606,0,neutral
-6.318264908,0,neutral
6.109642381,1,positive
10.33072327,1,positive
5.832287271,1,positive
-0.05758787268,0,neutral
-2.582247225,0,neutral
-2.937008437,0,neutral
0.6639252844,1,positive
0.5090478125,1,positive
4.403870438,1,positive
-0.1475008954,0,neutral
-3.549798415,0,neutral
0.307343232,0,neutral
0.4408265469,1,positive
1.128425739,1,positive
1.820703792,1,positive
-1.345195386,0,neutral
0.7483688048,0,neutral
-2.888777275,0,neutral
1.367644306,1,positive
1.074076453,1,positive
1.043883098,1,positive
-0.3951682914,0,neutral
-6.572770668,0,neutral
-2.396980679,0,neutral
4.719339518,1,positive
4.25092984,1,positive
0.3946502796,1,positive
-0.9284535833,0,neutral
-2.344848004,0,neutral
-1.670541777,0,neutral
1.440595641,1,positive
2.314199319,1,positive
1.189048404,1,positive
-10.63073311,0,neutral
-8.258516586,0,neutral
-8.282193981,0,neutral
9.527808427,1,positive
9.530417373,1,positive
8.11321788,1,positive
-2.593616664,0,neutral
-5.551040281,0,neutral
-6.130935697,0,neutral
3.596739515,1,positive
10.67885313,1,positive
-3.693504603,0,neutral
-1.185924357,0,neutral
-3.923989366,0,neutral
-1.9113747,1,positive
13.23562442,1,positive
