layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.8636580189,0.4592612271,8.406188436e-05,3
2,0.5269666604,0.494571207,6.798699778e-17,3
3,0.5317341698,0.4835655262,0,3
4,0.5363954164,0.470742206,0,3
5,0.541056663,0.4698064896,0,3
6,0.5484163223,0.4548043417,0,3
7,0.5506966165,0.4539233166,0,3
8,0.5602784981,0.4474465822,0,3
9,0.5650404028,0.4407146989,0,3
10,0.5890423295,0.430636285,0,3
11,0.6294443544,0.408785395,0,3
12,0.6366479846,0.405224203,0,3
13,0.6342089602,0.4080086985,0,3
14,0.6511079149,0.3985313803,6.798699778e-17,3
15,0.6511079149,0.4016261017,0,3
16,0.6559278917,0.399237436,0,3
17,0.6559278917,0.3965402028,0,3
18,0.6923506559,0.383377152,0,3
19,0.6921919257,0.3835978864,0,3
20,0.682371949,0.3866417459,0,3
21,0.682371949,0.3870939986,0.0004395557548,3
22,0.7089747364,0.3723124098,0.0001268428149,3
23,0.6970699745,0.3818994915,0,3
24,0.7330248539,0.3677400202,0,3
25,0.7138554862,0.3812451741,0,3
26,0.7161810676,0.3864845281,0,3
27,0.7497253959,0.3736314491,6.798699778e-17,3
28,0.8304709685,0.3596685533,0.0002376820577,3
29,0.8549544878,0.3594361283,0,3
30,0.9218618606,0.316331013,0,3
31,0.9125662651,0.3505931703,0,3
32,0.8959818671,0.3592597002,5.773499965e-11,3
33,0.891449752,0.3757730839,1.527525055e-10,3
34,0.9126216361,0.3523131637,0.0009517073014,3
35,0.8551451125,0.3594002428,0.0005851665237,3
