row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.8521805919,0,3
MeanDiff,LogReg,0.3444710032,0,3
MeanDiff,PCA,0.8516695864,0,3
MeanDiff,Random,0.02413429058,0.01071986359,3
KMeans,MeanDiff,0.8521805919,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.01569985507,0,3
KMeans,PCA,0.9997498718,1.359739956e-16,3
KMeans,Random,0.008159328069,0.01022817265,3
LogReg,MeanDiff,0.3444710032,0,3
LogReg,KMeans,0.01569985507,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.01461122725,2.12459368e-18,3
LogReg,Random,0.04016820556,0.0186744789,3
PCA,MeanDiff,0.8516695864,0,3
PCA,KMeans,0.9997498718,1.359739956e-16,3
PCA,LogReg,0.01461122725,2.12459368e-18,3
PCA,PCA,1,0,3
PCA,Random,0.008508849205,0.009960814628,3
Random,MeanDiff,0.02413429058,0.01071986359,3
Random,KMeans,0.008159328069,0.01022817265,3
Random,LogReg,0.04016820556,0.0186744789,3
Random,PCA,0.008508849205,0.009960814628,3
Random,Random,1,0,3
