projection,y,level
-22.83299759,0,negative
18.06350063,0,negative
-10.4760458,0,negative
-25.74718126,1,neutral
31.46799711,1,neutral
9.52472692,1,neutral
-9.986075859,0,negative
-4.903005893,0,negative
-18.65874756,0,negative
3.221556888,1,neutral
30.32627242,1,neutral
-13.71184064,0,negative
-8.945336954,0,negative
-27.54912725,0,negative
24.89772352,1,neutral
13.8785288,1,neutral
11.43005253,1,neutral
-7.98324126,0,negative
-14.33265253,0,negative
16.8370714,0,negative
19.53372528,1,neutral
-2.999098277,1,neutral
-11.05580462,1,neutral
-33.49501512,0,negative
8.545915844,0,negative
13.74362047,0,negative
-12.60132124,1,neutral
4.387429204,1,neutral
19.41937084,1,neutral
3.347537233,0,negative
-14.30882858,0,negative
3.117720558,0,negative
-13.04419538,1,neutral
6.125121449,1,neutral
14.76264472,1,neutral
-32.00052621,0,negative
-16.59494459,0,negative
16.52109884,1,neutral
0.2997039658,1,neutral
31.77466799,1,neutral
-18.07440143,0,negative
2.300875883,0,negative
19.94614196,1,neutral
-1.008946311,1,neutral
-3.163670105,1,neutral
-17.09535963,0,negative
-1.71437059,0,negative
-9.194649729,0,negative
7.095430766,1,neutral
1.140943877,1,neutral
19.7680053,1,neutral
-24.66179075,0,negative
34.57532165,0,negative
-49.07494736,0,negative
3.65514701,1,neutral
29.67548618,1,neutral
5.830783265,1,neutral
-16.88432943,0,negative
-13.71975503,0,negative
-27.86888619,0,negative
12.87432071,1,neutral
26.01335312,1,neutral
19.58529683,1,neutral
-16.10494112,0,negative
-11.99494479,0,negative
-9.789861253,0,negative
9.73732385,1,neutral
1.819595804,1,neutral
26.33282751,1,neutral
-44.74554734,0,negative
-11.00665895,0,negative
-44.42034961,0,negative
43.65861858,1,neutral
29.04274275,1,neutral
27.47119458,1,neutral
-35.96913674,0,negative
-12.13530198,0,negative
5.322003934,0,negative
-1.928038971,1,neutral
16.03544858,1,neutral
28.67502518,1,neutral
-2.203419592,0,negative
-4.365047833,0,negative
-14.38061874,0,negative
5.913335761,1,neutral
0.1678933134,1,neutral
14.86785709,1,neutral
-8.476878009,0,negative
-0.2821493692,0,negative
-14.24080547,0,negative
14.81332699,1,neutral
-1.558714278,1,neutral
9.745220138,1,neutral
-2.555791156,0,negative
-0.6645407609,0,negative
