projection,y,level
202.60683,0,negative
199.6447358,1,neutral
243.5711116,0,negative
256.9868779,1,neutral
214.9830477,0,negative
234.9974188,1,neutral
123.7593828,0,negative
136.9317053,1,neutral
128.8504239,0,negative
164.0775397,1,neutral
115.06744,0,negative
161.5975972,0,negative
200.2427006,1,neutral
166.3802179,0,negative
189.1986627,1,neutral
147.732171,0,negative
186.7535493,1,neutral
194.7201979,0,negative
222.2597354,1,neutral
188.3444028,0,negative
199.6606091,1,neutral
219.5691488,0,negative
191.575668,1,neutral
126.5014555,0,negative
147.4010285,1,neutral
168.6274056,0,negative
164.4274567,1,neutral
173.8627113,0,negative
179.4999639,1,neutral
213.3726757,0,negative
196.9251627,1,neutral
195.7243264,0,negative
216.1411944,1,neutral
213.1452413,0,negative
224.7708045,1,neutral
202.4390926,1,neutral
153.8564202,0,negative
186.1662941,1,neutral
169.2822794,0,negative
217.7094231,1,neutral
182.7015117,1,neutral
144.6080389,0,negative
161.7023774,1,neutral
165.027405,0,negative
159.5491293,1,neutral
128.7874381,0,negative
152.9768782,1,neutral
144.2033037,0,negative
146.9984844,1,neutral
136.711848,0,negative
165.6910258,1,neutral
175.2345486,0,negative
203.5312385,1,neutral
234.6198358,0,negative
229.6452499,1,neutral
150.7738416,0,negative
205.7619113,1,neutral
100.5734119,0,negative
130.3172792,1,neutral
103.7456458,0,negative
143.474598,1,neutral
89.56380464,0,negative
137.0187492,1,neutral
134.9064216,0,negative
160.7021911,1,neutral
139.0235814,0,negative
152.7785241,1,neutral
141.2201465,0,negative
177.3319809,1,neutral
178.0219837,0,negative
266.5926876,1,neutral
211.8411863,0,negative
251.9423773,1,neutral
178.341457,0,negative
250.3668128,1,neutral
168.6641081,0,negative
202.6991991,1,neutral
192.5621178,0,negative
220.7042009,1,neutral
210.0527862,0,negative
233.3616996,1,neutral
145.3269573,0,negative
153.3755902,1,neutral
143.1363914,0,negative
147.6112948,1,neutral
133.1282201,0,negative
162.3454403,1,neutral
133.320032,0,negative
156.6052435,1,neutral
141.5155763,0,negative
140.1853099,1,neutral
127.552688,0,negative
151.5133817,1,neutral
124.7132859,0,negative
122.9587419,1,neutral
126.6046228,0,negative
113.1882765,1,neutral
131.4794605,0,negative
144.5939732,1,neutral
177.0572968,0,negative
187.8787425,1,neutral
157.3801074,0,negative
164.4929919,1,neutral
180.2552998,0,negative
205.4030366,1,neutral
134.3817072,0,negative
125.5255,1,neutral
100.872146,0,negative
132.1920664,1,neutral
113.6041851,0,negative
130.4794595,1,neutral
117.7969973,0,negative
150.2862395,1,neutral
123.4127775,0,negative
131.0860192,1,neutral
145.2794752,0,negative
144.2845789,1,neutral
129.9162038,0,negative
165.6449315,1,neutral
171.211968,0,negative
163.0566018,1,neutral
164.0395982,0,negative
196.8722839,1,neutral
124.6693281,0,negative
160.7636474,1,neutral
139.0377298,0,negative
163.8881264,1,neutral
144.456301,0,negative
171.9776043,1,neutral
103.649029,0,negative
115.2578312,1,neutral
127.2118683,0,negative
141.5779002,1,neutral
106.2129812,0,negative
127.0787097,1,neutral
149.0570345,0,negative
154.3897312,1,neutral
130.1621106,0,negative
147.696545,1,neutral
150.2992602,0,negative
138.1703867,1,neutral
106.3098022,0,negative
138.0044946,1,neutral
110.8888717,0,negative
131.996851,1,neutral
117.7064863,0,negative
151.060941,1,neutral
262.8802629,0,negative
283.7311779,1,neutral
215.7442307,0,negative
230.3802696,1,neutral
240.7804991,0,negative
281.9174,1,neutral
216.6022648,0,negative
267.7214652,1,neutral
205.3084223,0,negative
207.5066474,1,neutral
184.6787005,0,negative
194.4371161,1,neutral
115.1335981,0,negative
135.8164284,1,neutral
143.8642651,0,negative
160.2888551,1,neutral
137.466164,0,negative
144.7143957,1,neutral
171.0136393,0,negative
171.3637273,1,neutral
213.4226427,0,negative
172.2510388,1,neutral
192.4914063,0,negative
195.3340158,1,neutral
115.5544647,0,negative
130.7612916,1,neutral
119.6216569,0,negative
154.120477,1,neutral
125.6127702,0,negative
157.6339466,1,neutral
131.0042001,0,negative
131.7200608,1,neutral
143.4887445,0,negative
159.5111053,1,neutral
126.7005812,0,negative
140.5154978,1,neutral
201.3758933,0,negative
268.6747754,1,neutral
180.7231697,0,negative
236.9663516,1,neutral
202.2578993,0,negative
251.1046727,1,neutral
229.1403727,0,negative
307.5939876,1,neutral
260.702384,0,negative
292.8310294,1,neutral
265.4395171,0,negative
306.6188842,1,neutral
124.0544824,0,negative
138.6667943,1,neutral
120.0166614,0,negative
149.0027698,1,neutral
122.7076223,0,negative
151.7381421,1,neutral
158.3755882,0,negative
169.5088673,1,neutral
188.0371176,0,negative
183.8233925,1,neutral
172.4864889,0,negative
190.8840194,1,neutral
159.9568968,0,negative
185.9463807,1,neutral
176.1697545,0,negative
188.9067911,1,neutral
181.3324236,0,negative
207.3326733,1,neutral
175.8281717,0,negative
167.5627455,1,neutral
175.9266931,0,negative
176.9700906,1,neutral
166.8354993,0,negative
183.3279113,1,neutral
216.4807576,0,negative
258.0812632,1,neutral
228.1729533,0,negative
276.0929831,1,neutral
236.9523551,0,negative
238.5487081,1,neutral
134.8282818,0,negative
148.5870834,1,neutral
149.1727525,0,negative
147.321197,1,neutral
142.1946577,0,negative
147.1622633,1,neutral
115.8411501,0,negative
137.9767821,1,neutral
118.0009289,0,negative
132.7227796,1,neutral
116.6843289,0,negative
128.297939,1,neutral
172.0712686,0,negative
194.1606445,1,neutral
179.6233468,0,negative
194.1981088,1,neutral
200.9115952,0,negative
206.992151,1,neutral
205.6770104,0,negative
223.8674728,1,neutral
218.6204186,0,negative
240.2632731,1,neutral
214.5639587,0,negative
237.2718336,1,neutral
139.0231768,0,negative
195.0657967,1,neutral
142.8240232,0,negative
183.1445831,1,neutral
162.5036218,0,negative
182.8647926,1,neutral
149.2473326,0,negative
166.8630218,1,neutral
169.0575062,0,negative
167.7569206,1,neutral
169.7861793,0,negative
177.1447489,1,neutral
142.4674916,0,negative
148.5736004,1,neutral
126.6460434,0,negative
136.2192669,1,neutral
144.0229338,0,negative
146.7980716,1,neutral
159.0435548,0,negative
180.5283163,1,neutral
196.6592701,0,negative
194.3085795,1,neutral
176.3320117,0,negative
175.9592741,1,neutral
167.2282933,0,negative
192.6293534,1,neutral
170.6205681,0,negative
203.1812264,1,neutral
191.2804378,0,negative
203.6829183,1,neutral
163.2677926,0,negative
190.8862704,1,neutral
171.3037423,0,negative
204.4418537,1,neutral
190.0066452,0,negative
220.4704752,1,neutral
157.4718778,0,negative
193.1201697,1,neutral
179.8920111,0,negative
196.9264266,1,neutral
169.2647835,0,negative
198.0054708,1,neutral
198.2035866,0,negative
206.1730012,1,neutral
180.7537702,0,negative
180.3258759,1,neutral
173.3570025,0,negative
195.2617121,1,neutral
192.9523937,0,negative
199.5461307,1,neutral
217.4205141,0,negative
228.7072116,1,neutral
220.9163228,0,negative
227.480433,1,neutral
113.0611376,0,negative
158.0944454,1,neutral
131.0344521,0,negative
156.9927447,1,neutral
150.0831524,0,negative
134.1799698,1,neutral
202.7163028,0,negative
202.6090924,1,neutral
200.7869792,0,negative
222.0342318,1,neutral
221.0450859,0,negative
246.8786202,1,neutral
172.786621,0,negative
192.2739211,1,neutral
143.9450045,0,negative
167.4305552,1,neutral
181.1719503,0,negative
191.4050495,1,neutral
166.1142063,0,negative
142.314057,1,neutral
151.348898,0,negative
155.7208941,1,neutral
165.0199056,0,negative
158.8068585,1,neutral
154.7763126,0,negative
192.9584118,1,neutral
178.469296,0,negative
200.168129,1,neutral
180.9530733,0,negative
215.6097167,1,neutral
163.0620147,0,negative
245.0036877,1,neutral
190.0599949,0,negative
221.3875864,1,neutral
232.2826308,0,negative
204.9232008,1,neutral
174.7090413,0,negative
191.9430237,1,neutral
175.6549166,0,negative
209.8243725,1,neutral
164.7875501,0,negative
216.7633752,1,neutral
213.4549395,0,negative
213.8631685,1,neutral
218.0585632,0,negative
212.7261484,1,neutral
198.0173753,0,negative
219.7129657,1,neutral
208.8055759,0,negative
236.6095827,1,neutral
245.0723569,0,negative
308.6415903,1,neutral
211.9808011,0,negative
239.2313809,1,neutral
185.6983344,0,negative
202.9102764,1,neutral
171.2319318,1,neutral
158.0399493,0,negative
192.6613297,1,neutral
173.3151688,0,negative
227.6585338,1,neutral
156.8549046,0,negative
176.263044,1,neutral
190.3137512,0,negative
281.4174991,1,neutral
190.6804639,0,negative
261.1876409,1,neutral
180.9783979,0,negative
260.4835832,1,neutral
194.3409367,0,negative
183.5087203,1,neutral
167.3919509,0,negative
173.4583182,1,neutral
163.9000598,0,negative
179.8427909,1,neutral
124.8150288,0,negative
143.4380372,1,neutral
126.723606,0,negative
142.2025714,1,neutral
156.2698001,0,negative
144.6988657,1,neutral
136.7876051,0,negative
172.5362019,1,neutral
164.3120712,0,negative
170.6142651,1,neutral
175.7417254,0,negative
172.2418619,1,neutral
284.1338454,0,negative
352.027982,1,neutral
286.3659153,0,negative
315.4238608,1,neutral
324.154253,0,negative
358.035538,1,neutral
253.7166055,0,negative
267.716256,1,neutral
266.8651573,0,negative
275.1330999,1,neutral
273.0455425,0,negative
