layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.6654082597,0.2790063763,0,3
2,0.7498797594,0.2774057384,0,3
3,0.8321433523,0.2905552916,0,3
4,0.8343516643,0.2893261411,0,3
5,0.8313655926,0.2859556247,0,3
6,0.8388570843,0.2882660988,5.77350317e-11,3
7,0.8718357733,0.2757724884,1.527525055e-10,3
8,0.8624099209,0.2747678064,4.509249859e-10,3
9,0.8551056325,0.2795096908,2.364318101e-09,3
10,0.8834257759,0.2834099741,1.178982594e-09,3
11,0.9093095958,0.2689013903,6.069596352e-09,3
12,0.9071326608,0.2693093996,2.881475317e-08,3
13,0.8976061502,-0.06548538214,1.483902625e-08,3
14,0.8973736596,-0.0630179526,9.535129781e-09,3
15,0.8997517084,0.2773016126,1.619753068e-08,3
16,0.9070716852,0.2790919203,6.370504931e-09,3
17,0.9167459192,0.2959469418,1.289043573e-08,3
18,0.921568597,0.3197688128,1.796440926e-08,3
19,0.9168492784,0.3021012201,4.403740834e-08,3
20,0.9478835229,0.3242523409,7.059150092e-08,3
21,0.93378634,0.2909579443,3.5534631e-08,3
22,0.9266773582,0.3152754249,3.386596129e-08,3
23,0.9242412374,0.2866070345,2.374749109e-08,3
24,0.9332859529,0.2817788216,4.144844187e-08,3
25,0.9189210761,0.1920023588,0.003596451313,3
26,0.9308442275,0.1753746598,0.02131269284,3
27,0.9233498321,0.4569755657,0.003281158602,3
28,0.9207944611,0.486019121,1.907657464e-07,3
29,0.9156911019,0.5147872272,7.580019788e-08,3
30,0.9080776589,0.5276982245,2.683287784e-08,3
31,0.8871355644,0.549517118,0.004894639745,3
32,0.8896752469,0.5184220832,1.743454422e-08,3
33,0.8850720723,0.5042083319,9.208872539e-09,3
34,0.8582313922,0.4993135989,7.211102532e-10,3
35,0.7776360416,0.3775699985,0,3
