row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9888446803,0.000971969912,3
MeanDiff,LogReg,0.6741881009,0,3
MeanDiff,PCA,0.9572088667,1.167618696e-09,3
MeanDiff,Random,0.02917453574,0.01162233955,3
KMeans,MeanDiff,0.9888446803,0.000971969912,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.6036996726,0.002486758721,3
KMeans,PCA,0.9815454991,0.001673286162,3
KMeans,Random,0.02682681895,0.009701897127,3
LogReg,MeanDiff,0.6741881009,0,3
LogReg,KMeans,0.6036996726,0.002486758721,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.5306050049,5.17815927e-09,3
LogReg,Random,0.01630033854,0.01087437743,3
PCA,MeanDiff,0.9572088667,1.167618696e-09,3
PCA,KMeans,0.9815454991,0.001673286162,3
PCA,LogReg,0.5306050049,5.17815927e-09,3
PCA,PCA,1,0,3
PCA,Random,0.02520860675,0.006754889516,3
Random,MeanDiff,0.02917453574,0.01162233955,3
Random,KMeans,0.02682681895,0.009701897127,3
Random,LogReg,0.01630033854,0.01087437743,3
Random,PCA,0.02520860675,0.006754889516,3
Random,Random,1,0,3
