row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.5749122276,0,3
MeanDiff,LogReg,0.5618829594,0,3
MeanDiff,PCA,0.8876809072,4.251706285e-07,3
MeanDiff,Random,0.02907015446,0.01146883297,3
KMeans,MeanDiff,0.5749122276,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.1820654611,0,3
KMeans,PCA,0.8064426209,2.715001533e-08,3
KMeans,Random,0.01458391623,0.01222896872,3
LogReg,MeanDiff,0.5618829594,0,3
LogReg,KMeans,0.1820654611,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.3432751941,7.846202648e-07,3
LogReg,Random,0.01614649502,0.002921224794,3
PCA,MeanDiff,0.8876809072,4.251706285e-07,3
PCA,KMeans,0.8064426209,2.715001533e-08,3
PCA,LogReg,0.3432751941,7.846202648e-07,3
PCA,PCA,1,0,3
PCA,Random,0.02466421781,0.007531479021,3
Random,MeanDiff,0.02907015446,0.01146883297,3
Random,KMeans,0.01458391623,0.01222896872,3
Random,LogReg,0.01614649502,0.002921224794,3
Random,PCA,0.02466421781,0.007531479021,3
Random,Random,1,0,3
