projection,y,level
-5.637759367,0,negative
7.373582216,1,neutral
-0.692480652,0,negative
8.06167249,1,neutral
-2.440459392,0,negative
9.985931046,1,neutral
-9.132103185,0,negative
10.42762747,1,neutral
-3.880023468,0,negative
16.25004953,1,neutral
-2.980283186,0,negative
-9.527180596,0,negative
8.034227176,1,neutral
-5.606428094,0,negative
5.059491952,1,neutral
-8.362719712,0,negative
2.719053204,1,neutral
-10.80833265,0,negative
12.40995351,1,neutral
-12.81816,0,negative
10.23764054,1,neutral
-0.5230996786,0,negative
7.03967357,1,neutral
-7.520533428,0,negative
13.47375881,1,neutral
3.987916646,0,negative
10.41245061,1,neutral
-5.494816307,0,negative
15.34929727,1,neutral
7.543353151,0,negative
11.12433247,1,neutral
-8.709957219,0,negative
9.339917939,1,neutral
2.367881531,0,negative
15.10397426,1,neutral
11.79293262,1,neutral
-7.623949074,0,negative
12.30933387,1,neutral
-7.065189763,0,negative
18.46031915,1,neutral
6.148846215,1,neutral
-1.394583744,0,negative
13.05732466,1,neutral
-3.353350366,0,negative
6.589267908,1,neutral
6.253176462,0,negative
11.16511603,1,neutral
3.264806626,0,negative
15.26462893,1,neutral
1.737213981,0,negative
8.84256902,1,neutral
-7.267034752,0,negative
16.70452848,1,neutral
-3.855193234,0,negative
16.47569443,1,neutral
-14.5395224,0,negative
14.38138862,1,neutral
-7.401742924,0,negative
15.1932808,1,neutral
-9.38028875,0,negative
17.8505686,1,neutral
-6.370414456,0,negative
20.83653194,1,neutral
-14.14539379,0,negative
13.32961766,1,neutral
-9.055787283,0,negative
9.27972684,1,neutral
-13.57101122,0,negative
13.49423282,1,neutral
-12.88341034,0,negative
12.79404387,1,neutral
-7.806149843,0,negative
11.72003842,1,neutral
-6.554543637,0,negative
13.44204878,1,neutral
-12.27826538,0,negative
14.96123333,1,neutral
-13.34186768,0,negative
16.94939732,1,neutral
-12.91363864,0,negative
16.79853681,1,neutral
-13.38676713,0,negative
18.41982735,1,neutral
-7.112400665,0,negative
16.58749606,1,neutral
-13.2144456,0,negative
14.55884942,1,neutral
-10.01488619,0,negative
11.15099906,1,neutral
-0.3918623744,0,negative
7.418451575,1,neutral
-10.65531774,0,negative
9.760706091,1,neutral
-6.486468719,0,negative
1.926000454,1,neutral
-1.466016323,0,negative
1.211621384,1,neutral
-5.445386619,0,negative
6.383904868,1,neutral
-14.47952645,0,negative
10.01912326,1,neutral
-13.96081006,0,negative
11.13726623,1,neutral
-12.582431,0,negative
8.727362715,1,neutral
2.076308748,0,negative
18.55439505,1,neutral
-5.766856567,0,negative
16.38250947,1,neutral
-14.94134288,0,negative
17.19787291,1,neutral
-5.603911417,0,negative
14.14752744,1,neutral
4.723308609,0,negative
16.22530932,1,neutral
-5.888780447,0,negative
10.19123617,1,neutral
3.864389835,0,negative
17.59094468,1,neutral
2.285423292,0,negative
14.03491033,1,neutral
7.527926273,0,negative
14.68614938,1,neutral
7.686818992,0,negative
14.40785206,1,neutral
-0.61730797,0,negative
9.45725671,1,neutral
-2.422621347,0,negative
9.187984803,1,neutral
6.046952502,0,negative
14.4399966,1,neutral
-2.755274515,0,negative
12.20695387,1,neutral
-2.473505773,0,negative
13.66414191,1,neutral
-6.222894957,0,negative
15.533544,1,neutral
-13.88636713,0,negative
15.18742986,1,neutral
-4.248368885,0,negative
17.05622595,1,neutral
-4.745029029,0,negative
14.1663345,1,neutral
-3.901491354,0,negative
15.37986966,1,neutral
-14.67157215,0,negative
19.17339548,1,neutral
1.355117548,0,negative
8.341254925,1,neutral
0.1181095128,0,negative
4.790654724,1,neutral
-12.74283126,0,negative
7.888795197,1,neutral
2.430353698,0,negative
15.69496572,1,neutral
2.920780327,0,negative
3.185527469,1,neutral
-6.027854145,0,negative
4.500936053,1,neutral
-17.54883932,0,negative
10.87836355,1,neutral
-14.25285568,0,negative
5.341737869,1,neutral
0.8554626712,0,negative
7.01239236,1,neutral
7.62945482,0,negative
14.52801823,1,neutral
5.50245422,0,negative
12.6171083,1,neutral
7.620615203,0,negative
11.85833193,1,neutral
-4.990847613,0,negative
12.37276407,1,neutral
-8.149419343,0,negative
17.4141319,1,neutral
-12.74407588,0,negative
11.19956039,1,neutral
2.580836359,0,negative
13.51680891,1,neutral
11.12678115,0,negative
15.8956666,1,neutral
5.501382694,0,negative
14.53666114,1,neutral
-11.15718041,0,negative
13.08057923,1,neutral
-1.800847348,0,negative
10.82560377,1,neutral
-9.017735893,0,negative
13.62672877,1,neutral
-4.289265562,0,negative
12.39135475,1,neutral
3.143680586,0,negative
12.96296885,1,neutral
-8.106670802,0,negative
11.23290188,1,neutral
5.95853475,0,negative
14.64478432,1,neutral
-5.495656055,0,negative
17.32327453,1,neutral
1.567030224,0,negative
14.3183959,1,neutral
2.676475941,0,negative
16.26646172,1,neutral
6.193222274,0,negative
14.31516562,1,neutral
-6.586036422,0,negative
15.38564056,1,neutral
-0.4487601058,0,negative
22.22279831,1,neutral
5.765010458,0,negative
