row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9967985563,0.0002413876649,3
MeanDiff,LogReg,0.7883160883,1.359739956e-16,3
MeanDiff,PCA,0.4990828624,1.686772065e-08,3
MeanDiff,Random,0.03994788492,0.01967473036,3
KMeans,MeanDiff,0.9967985563,0.0002413876649,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.7499435933,0.0004078435211,3
KMeans,PCA,0.5171625196,0.01039093341,3
KMeans,Random,0.03999348228,0.01983254858,3
LogReg,MeanDiff,0.7883160883,1.359739956e-16,3
LogReg,KMeans,0.7499435933,0.0004078435211,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.3436409182,6.733520624e-08,3
LogReg,Random,0.03208811388,0.01802657392,3
PCA,MeanDiff,0.4990828624,1.686772065e-08,3
PCA,KMeans,0.5171625196,0.01039093341,3
PCA,LogReg,0.3436409182,6.733520624e-08,3
PCA,PCA,1,0,3
PCA,Random,0.01479373172,0.02380710514,3
Random,MeanDiff,0.03994788492,0.01967473036,3
Random,KMeans,0.03999348228,0.01983254858,3
Random,LogReg,0.03208811388,0.01802657392,3
Random,PCA,0.01479373172,0.02380710514,3
Random,Random,1,0,3
