row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.03136562192,0,3
MeanDiff,LogReg,0.6777949563,0,3
MeanDiff,PCA,0.1517546921,4.597024401e-08,3
MeanDiff,Random,0.03944601338,0.01922777046,3
KMeans,MeanDiff,0.03136562192,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.01125591655,0,3
KMeans,PCA,0.974219232,9.308777268e-09,3
KMeans,Random,-0.004145294694,0.01602823818,3
LogReg,MeanDiff,0.6777949563,0,3
LogReg,KMeans,0.01125591655,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.072222458,7.103611359e-08,3
LogReg,Random,0.03845200497,0.0192590304,3
PCA,MeanDiff,0.1517546921,4.597024401e-08,3
PCA,KMeans,0.974219232,9.308777268e-09,3
PCA,LogReg,0.072222458,7.103611359e-08,3
PCA,PCA,1,0,3
PCA,Random,5.233999333e-06,0.01803730893,3
Random,MeanDiff,0.03944601338,0.01922777046,3
Random,KMeans,-0.004145294694,0.01602823818,3
Random,LogReg,0.03845200497,0.0192590304,3
Random,PCA,5.233999333e-06,0.01803730893,3
Random,Random,1,0,3
