projection,y,level
-9.492917006,0,negative
-5.179748642,0,negative
-3.565538399,0,negative
6.619170304,1,positive
5.051690647,1,positive
6.567343097,1,positive
-10.50713261,0,negative
-4.846738073,0,negative
-4.360561929,0,negative
8.3886848,1,positive
5.79652188,1,positive
5.529225937,1,positive
-6.177364512,0,negative
-2.213487226,0,negative
-8.15431627,0,negative
1.121599705,1,positive
13.82798288,1,positive
1.595585428,1,positive
-2.564945862,0,negative
-12.73417594,0,negative
-4.070720058,0,negative
7.267246224,1,positive
7.89136597,1,positive
4.211229663,1,positive
-9.009874451,0,negative
0.4307545427,0,negative
-8.256539634,0,negative
9.514121763,1,positive
3.38128025,1,positive
3.94025753,1,positive
3.499434029,0,negative
-13.31944652,0,negative
-2.556065668,0,negative
5.675618317,1,positive
1.497529184,1,positive
5.202930654,1,positive
-11.11465956,0,negative
-9.892314224,0,negative
5.767742246,1,positive
6.608666236,1,positive
8.630565303,1,positive
-3.514550776,0,negative
-7.17551882,0,negative
2.578093646,1,positive
3.898891567,1,positive
4.213084383,1,positive
-4.722650777,0,negative
-4.827924189,0,negative
-8.739152836,0,negative
8.670216405,1,positive
4.143685032,1,positive
5.475826365,1,positive
-3.996000788,0,negative
-7.652826658,0,negative
-8.712453219,0,negative
9.528282395,1,positive
10.83299827,1,positive
-10.25305868,0,negative
-11.94418989,0,negative
-7.301857647,0,negative
11.10539783,1,positive
11.83315579,1,positive
6.560552601,1,positive
-5.606511826,0,negative
-10.23889435,0,negative
-5.751397229,0,negative
4.66001737,1,positive
9.192652863,1,positive
7.744133171,1,positive
-12.54716885,0,negative
-7.950417226,0,negative
-8.026635837,0,negative
8.19233542,1,positive
12.8980825,1,positive
7.433803986,1,positive
-6.944324954,0,negative
-8.66657618,0,negative
-8.381314787,0,negative
8.945318156,1,positive
15.04689776,1,positive
-10.05049952,0,negative
-5.835323069,0,negative
-11.99999023,0,negative
6.052939971,1,positive
8.930754113,1,positive
12.90211874,1,positive
-9.422091585,0,negative
-2.847449269,0,negative
-11.34517427,0,negative
8.366201921,1,positive
9.283261634,1,positive
5.965251566,1,positive
-10.268228,0,negative
-4.93252049,0,negative
-7.34252582,0,negative
9.611533654,1,positive
6.003750817,1,positive
6.927989841,1,positive
-11.89171761,0,negative
-7.651967282,0,negative
-7.086615103,0,negative
9.164765314,1,positive
7.820689928,1,positive
9.644844755,1,positive
-4.20072659,0,negative
-6.095782768,0,negative
-13.13363227,0,negative
13.5884002,1,positive
9.841741423,1,positive
-11.89513628,0,negative
-5.251755195,0,negative
-5.504231033,0,negative
9.265807391,1,positive
6.438422761,1,positive
6.946892359,1,positive
-10.24020171,0,negative
-9.464546542,0,negative
-3.854930985,0,negative
7.956067511,1,positive
7.93091216,1,positive
7.672699568,1,positive
-0.007961975391,0,negative
-4.864290314,0,negative
-8.549615827,0,negative
4.812018304,1,positive
4.619344953,1,positive
3.990504859,1,positive
-3.868672286,0,negative
-11.86704057,0,negative
-8.753538078,0,negative
7.699628246,1,positive
7.525090454,1,positive
9.264532236,1,positive
-6.077069453,0,negative
-12.01040964,0,negative
-4.425805777,0,negative
8.832805246,1,positive
3.862370625,1,positive
9.818109001,1,positive
-9.031648781,0,negative
-8.62926519,0,negative
-12.89287879,0,negative
9.979577596,1,positive
13.78481397,1,positive
6.789401192,1,positive
-2.413219474,0,negative
-3.032421667,0,negative
-6.531903234,0,negative
4.096304439,1,positive
3.817122244,1,positive
4.064117691,1,positive
-6.022872288,0,negative
-4.504067296,0,negative
-5.24723614,0,negative
5.016440688,1,positive
4.594849684,1,positive
6.162885352,1,positive
-12.35669589,0,negative
-7.802808325,0,negative
-1.873886556,0,negative
8.733053413,1,positive
13.30033736,1,positive
-3.582959717,0,negative
-5.591503829,0,negative
-3.249778746,0,negative
1.679733594,1,positive
7.583150768,1,positive
3.16135793,1,positive
-4.475804296,0,negative
-5.716642358,0,negative
-9.91539326,0,negative
8.394263286,1,positive
6.394908883,1,positive
5.318667745,1,positive
-9.375590839,0,negative
-4.007424849,0,negative
-6.666558926,0,negative
8.227785914,1,positive
3.702633762,1,positive
8.119154938,1,positive
-7.077030807,0,negative
-7.800655621,0,negative
-6.166340823,0,negative
9.269172209,1,positive
4.334368507,1,positive
7.440486535,1,positive
-7.780028834,0,negative
0.2552210936,0,negative
-1.065165623,0,negative
8.589973363,1,positive
-0.1617736277,0,negative
-12.12078566,0,negative
-8.915643085,0,negative
7.32265031,1,positive
6.49131058,1,positive
7.384241486,1,positive
-8.413593191,0,negative
-4.495184988,0,negative
-9.614084094,0,negative
11.57923136,1,positive
6.291517381,1,positive
4.652113536,1,positive
-8.348771339,0,negative
-4.239743449,0,negative
-3.129030166,0,negative
5.990725007,1,positive
4.346997931,1,positive
5.379822016,1,positive
-7.43141985,0,negative
-8.142760745,0,negative
-9.852038499,0,negative
2.514870132,1,positive
11.51536805,1,positive
11.39598091,1,positive
-13.67538643,0,negative
-6.224212817,0,negative
-5.772389919,0,negative
6.734581876,1,positive
10.20200841,1,positive
8.735398884,1,positive
-8.937340626,0,negative
-9.201854327,0,negative
-5.362855905,0,negative
7.876177239,1,positive
7.857210508,1,positive
7.768663111,1,positive
