projection,y,level
-5.120737569,0,negative
11.1103568,1,positive
-0.6927411467,0,negative
9.503277974,1,positive
0.7895333343,0,negative
10.9515963,1,positive
-10.97478979,0,negative
7.868125138,1,positive
-5.151504851,0,negative
5.360819334,1,positive
-4.731134487,0,negative
5.074389974,1,positive
-8.877980602,0,negative
-1.410822956,1,positive
-4.90645217,0,negative
11.12104582,1,positive
-10.76830715,0,negative
-1.044494745,1,positive
-0.5260850071,0,negative
9.648269422,1,positive
-10.49522081,0,negative
10.28877581,1,positive
-1.684140419,0,negative
6.60089186,1,positive
-6.458615049,0,negative
11.91520871,1,positive
2.862073817,0,negative
5.611566431,1,positive
-5.765170765,0,negative
6.163216784,1,positive
8.767296101,0,negative
10.82788405,1,positive
-7.962008217,0,negative
6.811596322,1,positive
2.69097443,0,negative
10.51338652,1,positive
10.585987,1,positive
-6.504212736,0,negative
11.23862271,1,positive
-5.314094781,0,negative
13.2412219,1,positive
3.884223792,1,positive
-2.228827922,0,negative
5.267203204,1,positive
-5.939795867,0,negative
5.485689747,1,positive
-0.6213469294,0,negative
12.87565444,1,positive
-0.7660562793,0,negative
8.06421193,1,positive
-4.569530381,0,negative
9.618256295,1,positive
-3.46017202,0,negative
9.758699397,1,positive
-7.09490422,0,negative
11.00689141,1,positive
-8.378606157,0,negative
-8.944168674,0,negative
12.2436884,1,positive
-10.62347088,0,negative
12.98286064,1,positive
-5.967542613,0,negative
7.837088916,1,positive
-6.915041996,0,negative
3.394360038,1,positive
-11.55111798,0,negative
7.874192335,1,positive
-7.028207145,0,negative
6.447346889,1,positive
-5.596030407,0,negative
15.06605751,1,positive
-1.038666237,0,negative
19.66268593,1,positive
-0.9856060508,0,negative
14.37395787,1,positive
-7.082666233,0,negative
8.888704149,1,positive
-8.786533268,0,negative
14.84555882,1,positive
-8.499059076,0,negative
-7.172978562,0,negative
8.893200236,1,positive
-2.884782942,0,negative
12.0560344,1,positive
-9.15035301,0,negative
15.84505171,1,positive
-2.774400356,0,negative
15.09864592,1,positive
3.848732649,0,negative
15.98995271,1,positive
-4.714162815,0,negative
12.65511314,1,positive
-9.152061309,0,negative
10.48762008,1,positive
-3.770297853,0,negative
6.965630928,1,positive
-6.348738885,0,negative
7.789391635,1,positive
-12.56788326,0,negative
8.331537607,1,positive
-8.495225675,0,negative
7.130804966,1,positive
