row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.8305166301,0.001313166906,3
MeanDiff,LogReg,0.5520070163,0,3
MeanDiff,PCA,0.8563359538,2.417298799e-09,3
MeanDiff,Random,0.0138015955,0.01171777376,3
KMeans,MeanDiff,0.8305166301,0.001313166906,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.205780383,0.00106420481,3
KMeans,PCA,0.9927098296,0.0005853426444,3
KMeans,Random,0.002376890238,0.0157262763,3
LogReg,MeanDiff,0.5520070163,0,3
LogReg,KMeans,0.205780383,0.00106420481,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.2320383283,5.695612351e-09,3
LogReg,Random,0.01477969377,0.0157371919,3
PCA,MeanDiff,0.8563359538,2.417298799e-09,3
PCA,KMeans,0.9927098296,0.0005853426444,3
PCA,LogReg,0.2320383283,5.695612351e-09,3
PCA,PCA,1,0,3
PCA,Random,0.003784959522,0.0143567964,3
Random,MeanDiff,0.0138015955,0.01171777376,3
Random,KMeans,0.002376890238,0.0157262763,3
Random,LogReg,0.01477969377,0.0157371919,3
Random,PCA,0.003784959522,0.0143567964,3
Random,Random,1,0,3
