projection,y,level
1.875438078,0,neutral
0.8484796882,1,positive
-2.492191563,0,neutral
2.623191223,1,positive
-0.7389981661,0,neutral
5.321871352,1,positive
-5.875180048,0,neutral
-6.345118828,1,positive
-12.14835488,0,neutral
-4.626254063,1,positive
-5.89081017,1,positive
-4.771799798,0,neutral
10.94158034,1,positive
-3.725989384,0,neutral
12.47398178,1,positive
-1.160661027,0,neutral
14.0731479,1,positive
-2.689469714,0,neutral
-0.4337403975,1,positive
-5.243317018,0,neutral
-1.749170178,1,positive
-5.152516484,0,neutral
-0.3826449689,1,positive
-5.387749088,0,neutral
0.1312884133,1,positive
-5.807486542,0,neutral
10.04101349,1,positive
-5.851783909,0,neutral
11.37279861,1,positive
-8.316915259,0,neutral
0.6615739508,1,positive
-6.409952861,0,neutral
-0.9954873396,1,positive
-9.1864,0,neutral
0.577843095,1,positive
-8.564775703,0,neutral
-1.527018251,1,positive
-7.8268975,0,neutral
-3.702023934,1,positive
-7.142556762,0,neutral
-3.130657656,1,positive
-6.714879694,0,neutral
-2.925195694,1,positive
-7.512746622,0,neutral
-7.20726042,1,positive
-2.412382493,0,neutral
-3.640495568,1,positive
-11.51186812,0,neutral
-3.84878258,1,positive
-8.894794931,0,neutral
-5.287325127,1,positive
-8.29401389,0,neutral
0.3343158654,1,positive
-5.436034819,0,neutral
-3.27907054,1,positive
-10.29906326,0,neutral
14.55348959,1,positive
-7.809018931,0,neutral
-2.93742854,0,neutral
-1.085109899,1,positive
-9.003928311,0,neutral
-2.458267654,1,positive
-5.962163358,0,neutral
-2.061385723,1,positive
-7.959217465,0,neutral
-1.490189037,1,positive
-9.686405185,0,neutral
1.479746942,1,positive
-9.187872066,0,neutral
0.4582549093,1,positive
-12.68683176,0,neutral
16.34686679,1,positive
-13.42349654,0,neutral
19.59483106,1,positive
-12.52112199,0,neutral
16.49848338,1,positive
-8.606410083,0,neutral
-2.717465077,1,positive
-8.268637298,0,neutral
7.912931208,1,positive
-8.156186113,0,neutral
-8.777929521,0,neutral
1.478942158,1,positive
-7.489622849,0,neutral
0.5548303407,1,positive
3.08727625,0,neutral
11.25765193,1,positive
4.131092226,0,neutral
17.08646386,1,positive
-4.048627162,0,neutral
11.62567267,1,positive
-8.292102286,0,neutral
10.88182557,1,positive
9.128431592,0,neutral
14.42366777,1,positive
9.451393381,0,neutral
19.48705151,1,positive
-3.935053526,0,neutral
23.08923467,1,positive
-5.827133406,0,neutral
12.35593642,1,positive
-2.763167436,0,neutral
8.245438788,1,positive
-7.253927132,0,neutral
9.532444102,1,positive
-9.639542791,0,neutral
10.58640207,1,positive
2.40947279,0,neutral
12.05826933,1,positive
-5.785285317,0,neutral
-7.153866661,0,neutral
3.3206954,1,positive
-9.953242356,0,neutral
-3.717896487,1,positive
-7.905632435,0,neutral
-0.2270580521,1,positive
-8.573525449,0,neutral
10.00418185,1,positive
-5.719334356,0,neutral
15.07636653,1,positive
-5.91449285,0,neutral
9.694756378,1,positive
-6.589810925,0,neutral
-3.905109335,1,positive
-9.802340494,0,neutral
0.2892834617,1,positive
-9.82837218,0,neutral
2.054565646,1,positive
-2.63554985,0,neutral
4.332473125,1,positive
-3.834251653,0,neutral
1.700341845,1,positive
-4.059747243,0,neutral
-0.07300321067,1,positive
-4.689759205,0,neutral
-2.475305633,1,positive
-2.03060301,0,neutral
-0.7927077646,1,positive
-5.084700832,0,neutral
-2.290639905,1,positive
-4.850636109,0,neutral
6.153211169,1,positive
-11.92212578,0,neutral
7.293823022,1,positive
-9.533769194,0,neutral
1.829476616,1,positive
-6.555003212,0,neutral
-0.320519021,1,positive
-4.916415008,0,neutral
-1.365362337,1,positive
-8.363372121,0,neutral
-2.346126547,1,positive
-7.211050623,0,neutral
18.42827802,1,positive
-1.159842608,0,neutral
16.85527892,1,positive
-0.4163090578,0,neutral
15.84011465,1,positive
-0.4082375392,0,neutral
0.8876696191,0,neutral
15.32436146,1,positive
-0.6817033564,0,neutral
23.25276683,1,positive
-3.579344478,0,neutral
-0.822301497,1,positive
-3.748427587,0,neutral
14.58187805,1,positive
-4.849637985,0,neutral
-2.042817638,1,positive
-1.038368508,0,neutral
2.014559884,1,positive
-6.551543361,0,neutral
3.392091064,1,positive
-7.051899588,0,neutral
2.889147011,1,positive
-4.961064354,0,neutral
0.4576950019,1,positive
-4.198158366,0,neutral
3.071098622,1,positive
-2.430345284,0,neutral
1.658040144,1,positive
-5.928906993,0,neutral
1.047394431,1,positive
-6.038361023,0,neutral
3.108268787,1,positive
-5.528828359,0,neutral
-1.572816836,1,positive
-5.725734498,0,neutral
-7.167390271,0,neutral
1.108798404,1,positive
-9.637214027,0,neutral
-10.5885155,0,neutral
-2.906447297,1,positive
-12.7790967,0,neutral
1.962963593,1,positive
-12.62919573,0,neutral
16.53687741,1,positive
-10.00261615,0,neutral
-1.486947071,1,positive
-12.79513179,0,neutral
-7.559810581,1,positive
-11.07184346,0,neutral
0.2428574396,1,positive
-5.50759936,0,neutral
0.4463189123,1,positive
-5.638500606,0,neutral
-1.894618955,1,positive
-4.575555623,0,neutral
-1.237103759,1,positive
2.427994695,0,neutral
6.635139058,1,positive
3.252226465,0,neutral
26.97001516,1,positive
2.653707772,0,neutral
23.212558,1,positive
1.694605111,0,neutral
1.116979108,1,positive
-1.374113629,0,neutral
7.385035587,1,positive
-0.4206394788,0,neutral
20.57134153,1,positive
-3.986394124,0,neutral
1.756642365,1,positive
-0.1769839809,0,neutral
13.88389385,1,positive
0.8526037299,0,neutral
10.95614432,1,positive
-5.936424528,0,neutral
2.926329321,1,positive
-6.044929976,0,neutral
0.6974469207,1,positive
-3.897074152,0,neutral
13.22921364,1,positive
-1.683250695,0,neutral
3.018803286,1,positive
0.8157788307,0,neutral
3.956795221,1,positive
-1.106033003,0,neutral
0.4083853977,1,positive
6.445256955,0,neutral
1.151653516,1,positive
-0.4680231376,0,neutral
4.994671279,0,neutral
-4.429211868,0,neutral
6.108472385,1,positive
-7.495279196,0,neutral
0.3909050129,1,positive
-6.535424096,0,neutral
-2.615791732,1,positive
3.92968036,0,neutral
12.00192223,1,positive
-7.03398757,0,neutral
11.16931003,1,positive
-6.673439997,0,neutral
-4.039824009,0,neutral
3.665836106,1,positive
-7.690622716,0,neutral
5.773316708,1,positive
-3.943588394,0,neutral
7.303928218,1,positive
1.229534917,0,neutral
2.361431741,1,positive
5.282467845,0,neutral
0.8002312293,1,positive
4.488263855,0,neutral
0.6700254523,1,positive
-8.265742781,0,neutral
0.6168145397,1,positive
-6.8625684,0,neutral
-7.777438724,1,positive
-9.736584981,0,neutral
-6.021075476,1,positive
-8.958316462,0,neutral
-7.132164237,1,positive
-8.540263825,0,neutral
17.27061134,1,positive
-10.93693619,0,neutral
17.84157682,1,positive
-3.867683961,0,neutral
1.87521402,1,positive
-12.62218308,0,neutral
-3.08088525,1,positive
-5.634151779,0,neutral
5.228643913,1,positive
-9.278087545,0,neutral
6.477207449,1,positive
-0.7390724576,0,neutral
-3.249781331,1,positive
-2.243651242,0,neutral
-3.342526487,1,positive
-7.904403358,0,neutral
22.77522742,1,positive
-6.245651454,0,neutral
18.42764707,1,positive
-10.67991754,0,neutral
-3.606316891,1,positive
4.705000071,0,neutral
4.926067149,1,positive
-3.594744564,0,neutral
2.204499079,1,positive
-0.5037458777,0,neutral
4.230364357,1,positive
-1.650413406,0,neutral
14.87439066,1,positive
-1.210320191,0,neutral
3.760644689,1,positive
-7.793036346,0,neutral
6.164965149,1,positive
-11.36961879,0,neutral
-5.040562845,1,positive
-10.05454708,0,neutral
-3.608981581,1,positive
-12.00011153,0,neutral
-0.5051985687,1,positive
-9.503433322,0,neutral
17.85283073,1,positive
-8.271972502,0,neutral
0.6923200336,1,positive
-9.910127431,0,neutral
14.46352919,1,positive
-7.788989304,0,neutral
13.34918258,1,positive
-6.953551768,0,neutral
16.43820658,1,positive
-8.07945161,0,neutral
16.00347549,1,positive
-6.00319176,0,neutral
8.588980379,1,positive
-6.670159544,0,neutral
0.1515393671,1,positive
-4.335034607,0,neutral
14.71718672,1,positive
-5.924839337,0,neutral
0.9454879109,1,positive
-2.223782858,0,neutral
4.552012141,1,positive
-7.705141575,0,neutral
5.437242791,1,positive
-9.650914531,0,neutral
10.62736834,1,positive
-6.331552033,0,neutral
10.35347354,1,positive
-8.956381661,0,neutral
2.9655539,1,positive
-4.602706931,0,neutral
11.71450681,1,positive
-7.129498914,0,neutral
-1.026955954,1,positive
-4.987646234,0,neutral
3.920709173,1,positive
16.45146132,1,positive
-5.76991886,0,neutral
6.149850233,1,positive
-3.307208891,0,neutral
10.5017169,1,positive
5.36325326,0,neutral
2.570940007,1,positive
-6.353186365,0,neutral
3.907818808,1,positive
-4.20474178,0,neutral
0.7285764658,1,positive
2.589695982,0,neutral
-2.387020613,1,positive
6.573076221,0,neutral
16.45926897,1,positive
7.143324556,0,neutral
5.083807616,1,positive
-4.735277596,0,neutral
3.335792063,1,positive
11.08299432,0,neutral
1.898287437,1,positive
-5.688486377,0,neutral
0.2587639882,1,positive
2.825685915,0,neutral
5.403020952,1,positive
-6.658729639,0,neutral
5.568211842,1,positive
-4.463394987,0,neutral
4.742258915,1,positive
-4.030906263,0,neutral
0.2927892014,1,positive
-7.647997114,0,neutral
3.95941616,1,positive
5.969344747,0,neutral
5.808881649,1,positive
14.97458469,0,neutral
6.158189804,1,positive
-3.718730815,0,neutral
8.107254584,1,positive
7.494380219,0,neutral
11.11483803,1,positive
13.30757724,0,neutral
6.17622696,1,positive
14.70563409,0,neutral
10.7658495,1,positive
8.927997273,0,neutral
6.700001715,1,positive
7.646963953,0,neutral
-0.8809962231,1,positive
4.555225809,0,neutral
-3.614390104,1,positive
-8.135628803,0,neutral
-4.671231844,1,positive
-6.308118926,0,neutral
-1.302762567,1,positive
-5.876330155,0,neutral
-3.5458248,1,positive
-7.436185749,0,neutral
7.075885942,1,positive
0.8561655566,0,neutral
15.97323424,1,positive
-4.406483731,0,neutral
2.083525909,1,positive
-8.108746527,0,neutral
16.5200491,1,positive
-7.739128308,0,neutral
17.19214505,1,positive
-3.943473381,0,neutral
14.1537141,1,positive
