row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.8751517621,1.359739956e-16,3
MeanDiff,LogReg,0.3683410048,0,3
MeanDiff,PCA,0.8791009475,0,3
MeanDiff,Random,0.009852059636,0.004420931686,3
KMeans,MeanDiff,0.8751517621,1.359739956e-16,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.00645721773,0,3
KMeans,PCA,0.9998340717,0,3
KMeans,Random,0.004121826271,0.003270481841,3
LogReg,MeanDiff,0.3683410048,0,3
LogReg,KMeans,0.00645721773,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.008694507459,0,3
LogReg,Random,-0.001453797072,0.02356933315,3
PCA,MeanDiff,0.8791009475,0,3
PCA,KMeans,0.9998340717,0,3
PCA,LogReg,0.008694507459,0,3
PCA,PCA,1,0,3
PCA,Random,0.004337702827,0.003087946454,3
Random,MeanDiff,0.009852059636,0.004420931686,3
Random,KMeans,0.004121826271,0.003270481841,3
Random,LogReg,-0.001453797072,0.02356933315,3
Random,PCA,0.004337702827,0.003087946454,3
Random,Random,1,0,3
