row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.4672330307,6.798699778e-17,3
MeanDiff,LogReg,0.6410430026,0,3
MeanDiff,PCA,0.4687432653,6.798699778e-17,3
MeanDiff,Random,0.002135797278,0.002367898054,3
KMeans,MeanDiff,0.4672330307,6.798699778e-17,3
KMeans,KMeans,1,0,3
KMeans,LogReg,-0.0008853341347,0,3
KMeans,PCA,0.9999609136,0,3
KMeans,Random,0.004663754896,0.003257119282,3
LogReg,MeanDiff,0.6410430026,0,3
LogReg,KMeans,-0.0008853341347,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.000235155626,0,3
LogReg,Random,-0.001741419973,0.0181849916,3
PCA,MeanDiff,0.4687432653,6.798699778e-17,3
PCA,KMeans,0.9999609136,0,3
PCA,LogReg,0.000235155626,0,3
PCA,PCA,1,0,3
PCA,Random,0.004690836222,0.00324684312,3
Random,MeanDiff,0.002135797278,0.002367898054,3
Random,KMeans,0.004663754896,0.003257119282,3
Random,LogReg,-0.001741419973,0.0181849916,3
Random,PCA,0.004690836222,0.00324684312,3
Random,Random,1,0,3
