projection,y,level
366.0487672,0,negative
518.0767392,1,positive
438.5045464,0,negative
437.9214875,1,positive
389.3008522,0,negative
438.9400992,1,positive
254.6903336,0,negative
284.8035403,1,positive
268.8903242,0,negative
276.3429227,1,positive
236.2536763,0,negative
297.1835822,1,positive
355.5450089,0,negative
367.3931355,1,positive
353.8026622,0,negative
374.9327958,1,positive
319.1190627,0,negative
387.6008271,1,positive
418.6877868,0,negative
392.544907,1,positive
402.9760234,0,negative
435.5757175,1,positive
433.8430796,0,negative
435.0696054,1,positive
259.1358968,0,negative
260.1714862,1,positive
271.5696551,0,negative
253.0248872,1,positive
282.7180475,0,negative
291.2927411,1,positive
381.5402642,0,negative
370.9101687,1,positive
342.1940773,0,negative
390.542293,1,positive
364.6801311,0,negative
390.1195366,1,positive
370.8611934,1,positive
319.704138,0,negative
368.3797009,1,positive
362.1504318,0,negative
353.1084888,1,positive
294.128685,1,positive
286.0702434,0,negative
280.3738454,1,positive
313.3488331,0,negative
365.2358095,1,positive
246.8091708,0,negative
239.987072,1,positive
277.1571754,0,negative
291.5991557,1,positive
266.1982502,0,negative
294.0144012,1,positive
344.4462856,0,negative
399.9714791,1,positive
381.0606657,0,negative
382.8736347,1,positive
330.8191637,0,negative
205.6793634,0,negative
226.7414694,1,positive
212.7773111,0,negative
218.1359895,1,positive
176.2245478,0,negative
218.7591121,1,positive
269.0276602,0,negative
319.3657861,1,positive
282.3934774,0,negative
283.2713514,1,positive
290.9633621,0,negative
263.6361439,1,positive
363.8126904,0,negative
440.1459801,1,positive
151.4978208,0,negative
415.7065033,1,positive
375.1141633,0,negative
414.4765187,1,positive
333.2465867,0,negative
338.8960475,1,positive
390.0707258,0,negative
434.9346832,1,positive
151.407624,0,negative
101.4448661,0,negative
228.71431,1,positive
290.9445986,0,negative
257.3018201,1,positive
266.8429443,0,negative
260.0636668,1,positive
275.1881926,0,negative
309.9233834,1,positive
275.0600125,0,negative
247.6728592,1,positive
262.1741371,0,negative
296.6868121,1,positive
250.1185937,0,negative
229.163014,1,positive
248.1822161,0,negative
218.7741774,1,positive
272.1140832,0,negative
240.7366856,1,positive
126.6484289,0,negative
286.3995841,1,positive
304.2710189,0,negative
