row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.8616481479,0,3
MeanDiff,LogReg,0.3517552946,0,3
MeanDiff,PCA,0.8533557063,0,3
MeanDiff,Random,0.01275275126,0.006057834589,3
KMeans,MeanDiff,0.8616481479,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.01292426099,0,3
KMeans,PCA,0.9995924096,0,3
KMeans,Random,0.004751760041,0.002660863656,3
LogReg,MeanDiff,0.3517552946,0,3
LogReg,KMeans,0.01292426099,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.005702071936,0,3
LogReg,Random,0.008222313444,0.01192423858,3
PCA,MeanDiff,0.8533557063,0,3
PCA,KMeans,0.9995924096,0,3
PCA,LogReg,0.005702071936,0,3
PCA,PCA,1,0,3
PCA,Random,0.004541000793,0.002713766866,3
Random,MeanDiff,0.01275275126,0.006057834589,3
Random,KMeans,0.004751760041,0.002660863656,3
Random,LogReg,0.008222313444,0.01192423858,3
Random,PCA,0.004541000793,0.002713766866,3
Random,Random,1,0,3
