projection,y,level
96.63418734,0,neutral
-65.10369602,0,neutral
-51.53184509,0,neutral
-87.92953896,1,positive
49.89879161,1,positive
58.03210111,1,positive
45.88588076,0,neutral
-31.35422159,0,neutral
-2.133546749,1,positive
13.19526275,1,positive
-25.59337517,1,positive
-27.28156567,0,neutral
16.03391271,0,neutral
12.39832768,0,neutral
16.94977398,1,positive
-1.911603396,1,positive
-16.18884531,1,positive
-75.16658383,0,neutral
39.52822228,0,neutral
80.416254,0,neutral
44.13301483,1,positive
-42.59013985,1,positive
-46.32076743,1,positive
24.23499841,0,neutral
-39.00285096,0,neutral
-89.29374159,0,neutral
51.28265179,1,positive
61.51181038,1,positive
-8.732868042,1,positive
32.93331981,0,neutral
22.14036455,0,neutral
-109.5782194,0,neutral
43.04594786,1,positive
3.492663172,1,positive
7.965924021,1,positive
-32.58222494,0,neutral
37.43791357,0,neutral
-73.026152,0,neutral
10.86229808,1,positive
12.77948203,1,positive
44.52868326,1,positive
-64.54513846,0,neutral
23.01788622,0,neutral
14.92207369,0,neutral
45.5994797,1,positive
65.42501495,1,positive
-84.4193161,1,positive
-80.93608993,0,neutral
-33.85912937,0,neutral
228.7296882,0,neutral
30.71004741,1,positive
-69.47271529,1,positive
-75.17180103,1,positive
11.0512997,0,neutral
-97.46233709,0,neutral
1.560520829,0,neutral
26.2215562,1,positive
58.62896036,1,positive
-48.34345238,0,neutral
173.715619,0,neutral
-63.15429965,0,neutral
-30.04964831,1,positive
-17.08654297,1,positive
-15.08167565,1,positive
-110.1094136,0,neutral
211.3649237,0,neutral
181.942701,0,neutral
-149.1763207,1,positive
-86.08526912,1,positive
-47.93662122,1,positive
-31.99347797,0,neutral
16.12111442,0,neutral
16.48649786,0,neutral
-32.37719047,1,positive
17.01181448,1,positive
14.75124167,1,positive
2.411603076,0,neutral
-14.51003254,0,neutral
-62.60041517,0,neutral
128.4300997,1,positive
-53.73125505,1,positive
-26.05526213,0,neutral
-10.13263333,0,neutral
-63.57836957,0,neutral
70.00959203,1,positive
13.23112093,1,positive
16.52555207,1,positive
-56.85176399,0,neutral
39.95552816,0,neutral
1.580247648,0,neutral
-39.5206981,1,positive
72.42554064,1,positive
-17.58885436,1,positive
-24.43733662,0,neutral
18.91043739,0,neutral
-61.75286258,0,neutral
25.67156626,1,positive
41.99834271,1,positive
-0.3901471613,1,positive
-28.02429092,0,neutral
6.55137858,0,neutral
-95.25070609,0,neutral
44.83496423,1,positive
13.77219132,1,positive
58.11646289,1,positive
0.3749816905,0,neutral
-20.98251817,0,neutral
-24.12057029,0,neutral
50.81206888,1,positive
-6.083962105,1,positive
-16.48779525,0,neutral
28.04920156,0,neutral
-23.16813494,0,neutral
15.92667343,1,positive
54.08426729,1,positive
-58.40421209,1,positive
75.54794222,0,neutral
-7.080635395,0,neutral
-28.92434184,0,neutral
30.07624182,1,positive
-39.71081187,1,positive
-29.90839494,1,positive
13.39329426,0,neutral
-5.72593806,0,neutral
-28.93832885,0,neutral
6.811178475,1,positive
9.817867796,1,positive
4.641926377,1,positive
43.7370653,0,neutral
-4.759186044,0,neutral
-8.971636502,0,neutral
9.913269163,1,positive
-18.32972417,1,positive
-21.58978774,1,positive
-37.94207965,0,neutral
-13.1195015,0,neutral
25.8745965,0,neutral
-30.67273499,1,positive
25.89289095,1,positive
29.9668287,1,positive
3.524168557,0,neutral
21.38061612,0,neutral
-41.6755768,0,neutral
35.93887958,1,positive
11.73167994,1,positive
-30.89976738,1,positive
-26.77763481,0,neutral
1.591408631,0,neutral
-25.28920556,0,neutral
-6.835080118,1,positive
5.751926601,1,positive
51.55858526,1,positive
-128.5588863,0,neutral
-11.47966944,0,neutral
31.96655549,0,neutral
39.14235211,1,positive
40.75208083,1,positive
28.17756734,1,positive
31.87729648,0,neutral
-23.02476594,0,neutral
-8.386030001,0,neutral
-23.41224424,1,positive
22.9457437,1,positive
74.79344705,0,neutral
75.40355152,0,neutral
43.12263254,0,neutral
-287.0924627,1,positive
65.69021152,1,positive
28.08262006,1,positive
31.02271198,0,neutral
-7.124156565,0,neutral
-28.11598584,0,neutral
27.2074971,1,positive
11.64197736,1,positive
-34.63204403,1,positive
-18.25286033,0,neutral
-107.6768181,0,neutral
-43.70554251,0,neutral
219.4494208,1,positive
-41.74482293,1,positive
-8.069376907,1,positive
-78.29476062,0,neutral
56.18980239,0,neutral
-18.05179248,0,neutral
28.57601846,1,positive
-16.32809799,1,positive
27.90883024,1,positive
-240.1243578,0,neutral
63.12768563,0,neutral
-234.6581826,0,neutral
411.6548547,1,positive
34.69637923,0,neutral
-0.4813652318,0,neutral
-37.92804567,0,neutral
-20.32799236,1,positive
25.55166541,1,positive
-1.510641371,1,positive
252.0336483,0,neutral
-98.07185104,0,neutral
-120.4851391,0,neutral
256.8180391,1,positive
-146.6412417,1,positive
-143.6534556,1,positive
21.91409871,0,neutral
9.491010926,0,neutral
-63.20379206,0,neutral
103.6560856,1,positive
-52.97552338,1,positive
-18.88187981,1,positive
29.40510688,0,neutral
6.339492015,0,neutral
-26.25672913,0,neutral
34.45852142,1,positive
-22.07334901,1,positive
-21.87304217,1,positive
-2.143297389,0,neutral
-72.60192493,0,neutral
56.50308637,0,neutral
57.61220187,1,positive
6.348584629,1,positive
-45.71865056,1,positive
-3.705657585,0,neutral
0.8401365604,0,neutral
1.034437643,0,neutral
1.229017366,1,positive
-38.88519758,1,positive
39.48726359,1,positive
-29.18947868,0,neutral
-9.925034176,0,neutral
2.767434194,0,neutral
34.13723598,1,positive
6.173774338,1,positive
-3.963931658,1,positive
1.453045501,0,neutral
2.613889966,0,neutral
-42.43136789,0,neutral
-2.13084597,1,positive
2.608914365,1,positive
37.88636403,1,positive
41.73415286,0,neutral
-17.20031173,0,neutral
-11.26264106,0,neutral
-13.27120006,1,positive
-0.6231972682,0,neutral
42.00587217,0,neutral
0.9531068815,0,neutral
-18.12016628,1,positive
7.167980763,1,positive
-31.38359627,1,positive
8.095416601,0,neutral
6.132646717,0,neutral
-19.18046499,0,neutral
17.6654348,1,positive
-12.71303313,1,positive
-52.10838269,0,neutral
-1.006145834,0,neutral
-50.57130009,0,neutral
24.23141623,1,positive
60.69525609,1,positive
18.7591563,1,positive
-19.67785582,0,neutral
13.08363068,0,neutral
-28.08118746,0,neutral
-39.74347071,1,positive
20.81135609,1,positive
53.60752723,1,positive
-5.785303804,0,neutral
-36.54366297,0,neutral
-38.34070103,0,neutral
73.11844659,1,positive
1.170794693,1,positive
6.380426522,1,positive
-5.431771428,0,neutral
-14.62014069,0,neutral
-56.64342319,0,neutral
58.29577876,1,positive
31.35305369,1,positive
-12.95349713,1,positive
9.518688065,0,neutral
-41.737602,0,neutral
3.328226699,0,neutral
6.757243399,1,positive
9.93937582,1,positive
12.19406801,1,positive
-54.98566763,0,neutral
42.97093586,0,neutral
-18.9547033,0,neutral
-47.67420772,1,positive
20.12181396,1,positive
58.52182882,1,positive
63.72538444,0,neutral
-22.57238473,0,neutral
-22.60489202,0,neutral
-58.57596458,1,positive
57.17315744,1,positive
-17.14530056,1,positive
-14.46842763,0,neutral
-18.20930087,0,neutral
-17.23641422,0,neutral
68.43733663,1,positive
21.99573601,1,positive
-40.51892993,1,positive
31.00567864,0,neutral
23.28126068,0,neutral
-114.0331196,0,neutral
-15.72597099,1,positive
-3.036732109,1,positive
78.50888341,1,positive
-23.08135519,0,neutral
32.48871891,0,neutral
-23.47800493,0,neutral
-11.76356948,1,positive
11.25457792,1,positive
14.57963278,1,positive
28.34498833,0,neutral
-8.6033171,0,neutral
-35.51249283,0,neutral
-1.326324076,1,positive
-4.838748423,1,positive
21.9358941,1,positive
-110.8830568,0,neutral
308.9614242,0,neutral
-142.2208033,0,neutral
22.09094249,1,positive
-8.13250238,1,positive
-69.81600424,1,positive
218.9245327,0,neutral
-59.47287695,0,neutral
-23.01708059,0,neutral
-12.05895614,1,positive
-51.02847946,1,positive
-73.34713961,1,positive
167.3167229,0,neutral
131.425118,0,neutral
-90.9154811,0,neutral
-76.61360335,1,positive
-62.97248284,1,positive
-68.24027366,1,positive
-37.04832149,0,neutral
-72.97211755,0,neutral
33.45260348,0,neutral
12.97643234,1,positive
5.18684514,1,positive
58.40455809,1,positive
-37.58121165,0,neutral
-134.8417062,0,neutral
-34.36902951,0,neutral
0.05725610597,1,positive
130.287802,1,positive
76.44688924,1,positive
-61.16830863,0,neutral
65.2427353,0,neutral
13.28599145,1,positive
-67.14991455,1,positive
49.78949643,1,positive
15.2346276,0,neutral
-149.7189137,0,neutral
49.09532099,0,neutral
99.42880043,1,positive
-64.31423154,1,positive
50.27439623,1,positive
-35.87876669,0,neutral
18.27518394,0,neutral
16.33008822,0,neutral
-86.42892136,1,positive
37.60326255,1,positive
50.09915334,1,positive
-16.14909601,0,neutral
11.78816275,0,neutral
-48.06950392,0,neutral
12.55869655,1,positive
20.24264356,1,positive
19.62909707,1,positive
-4.401288317,0,neutral
-6.677196155,0,neutral
-9.714942667,0,neutral
21.18956773,1,positive
-17.48920471,1,positive
17.09306412,1,positive
4.579710716,0,neutral
18.2550985,0,neutral
16.04054111,0,neutral
28.4604394,1,positive
1.040653954,1,positive
-68.37644367,1,positive
-107.8754239,0,neutral
23.37614293,0,neutral
-70.8820151,0,neutral
121.2057938,1,positive
-113.452028,1,positive
147.6275302,1,positive
-19.09408683,0,neutral
5.964903675,0,neutral
-76.19871604,0,neutral
84.18641666,1,positive
54.83813249,1,positive
-49.69664994,1,positive
-11.90419593,0,neutral
-50.84139113,0,neutral
22.75770742,0,neutral
34.43228518,1,positive
27.38246574,1,positive
-21.82687128,1,positive
-24.53801081,0,neutral
47.28046284,0,neutral
7.145796452,0,neutral
-42.64071698,1,positive
10.3678676,1,positive
2.384600896,1,positive
23.34041896,0,neutral
-22.44295404,0,neutral
-44.97488444,0,neutral
33.21299369,1,positive
4.425427194,1,positive
6.438998636,1,positive
-68.40803426,0,neutral
-30.61311511,0,neutral
-7.010072246,0,neutral
73.06995255,1,positive
-40.55111457,1,positive
73.51238364,1,positive
