projection,y,level
-775.6059695,0,neutral
-968.7074048,1,positive
-944.5057429,0,neutral
-824.7241239,1,positive
-930.8845009,0,neutral
-816.9719933,1,positive
-482.3971646,0,neutral
-532.7208215,1,positive
-563.0078334,0,neutral
-516.6282419,1,positive
-557.0928729,1,positive
-739.1768007,0,neutral
-693.7537555,1,positive
-694.3087696,0,neutral
-713.8048618,1,positive
-698.1052997,0,neutral
-728.7329047,1,positive
-853.5699531,0,neutral
-729.7344906,1,positive
-733.6723801,0,neutral
-819.994692,1,positive
-691.1902899,0,neutral
-823.8574184,1,positive
-519.5697447,0,neutral
-492.0072938,1,positive
-585.4705683,0,neutral
-480.9482167,1,positive
-638.063217,0,neutral
-554.7131513,1,positive
-705.1066948,0,neutral
-695.6679818,1,positive
-715.823472,0,neutral
-737.00967,1,positive
-853.7682284,0,neutral
-732.4655845,1,positive
-739.7133264,0,neutral
-695.1374803,1,positive
-666.4745442,0,neutral
-692.3416462,1,positive
-782.0979752,0,neutral
-659.7748164,1,positive
-666.6363161,0,neutral
-552.1466059,1,positive
-575.5507505,0,neutral
-531.1533486,1,positive
-583.7446078,0,neutral
-687.7258224,1,positive
-565.810094,0,neutral
-449.8225067,1,positive
-516.7905272,0,neutral
-554.7131134,1,positive
-241.6211127,0,neutral
-560.6693934,1,positive
-771.8284258,0,neutral
-756.6792717,1,positive
-885.3039318,0,neutral
-722.8037089,1,positive
-781.8391726,0,neutral
-441.372428,0,neutral
-422.815218,1,positive
-208.2991281,0,neutral
-409.2932738,1,positive
-456.7374411,0,neutral
-407.2182358,1,positive
-560.2477025,0,neutral
-601.8232261,1,positive
-223.2793925,0,neutral
-535.7129792,1,positive
-254.169677,0,neutral
-495.8144769,1,positive
-821.480116,0,neutral
-823.8744752,1,positive
-771.2368489,0,neutral
-772.6064567,1,positive
-770.6954048,0,neutral
-774.6870382,1,positive
-765.2704647,0,neutral
-634.6421947,1,positive
-783.456242,0,neutral
-824.9367456,1,positive
-833.6316362,0,neutral
-522.0712814,0,neutral
-422.6908869,1,positive
-505.4393709,0,neutral
-481.7733092,1,positive
-561.7708882,0,neutral
-478.7500055,1,positive
-586.1956667,0,neutral
-569.8024252,1,positive
-485.4025039,0,neutral
-452.8778793,1,positive
-525.1744698,0,neutral
-546.6386453,1,positive
-477.6276236,0,neutral
-426.4945821,1,positive
-433.0670277,0,neutral
-409.7750312,1,positive
-516.9391147,0,neutral
-453.97394,1,positive
-620.7917245,0,neutral
-545.8671731,1,positive
-584.9994434,0,neutral
-578.2175898,1,positive
-690.8242371,0,neutral
-531.7060699,1,positive
-416.5421227,0,neutral
-364.9993406,1,positive
-439.2203672,0,neutral
-424.2135292,1,positive
-442.3179165,0,neutral
-542.6130778,0,neutral
-508.8319324,1,positive
-495.5719033,0,neutral
-469.1083219,1,positive
-549.3753826,0,neutral
-586.9721619,1,positive
-494.7324675,0,neutral
-543.6505663,1,positive
-582.3347599,0,neutral
-616.5328898,1,positive
-604.2751116,0,neutral
-606.607157,1,positive
-556.2032566,0,neutral
-563.8394086,1,positive
-576.2725176,0,neutral
-560.8469882,1,positive
-600.3348552,0,neutral
-566.4609723,1,positive
-411.6742449,0,neutral
-447.8063461,1,positive
-461.8906601,0,neutral
-477.5242804,1,positive
-466.7141881,0,neutral
-480.75879,1,positive
-590.98253,0,neutral
