projection,y,level
-11.33899805,0,negative
-3.859753034,0,negative
-6.537789559,0,negative
5.21556737,1,neutral
7.994529108,1,neutral
8.526444167,1,neutral
-14.3665593,0,negative
-10.4191984,0,negative
-4.8496289,0,negative
12.65273656,1,neutral
16.98265004,1,neutral
-10.37105735,0,negative
-7.66603065,0,negative
-12.45226835,0,negative
13.09542927,1,neutral
9.671033783,1,neutral
7.722893296,1,neutral
-13.67373243,0,negative
-15.21269625,0,negative
0.8333766093,0,negative
7.948934559,1,neutral
10.75712663,1,neutral
9.346990879,1,neutral
-12.12269971,0,negative
-9.382448238,0,negative
-12.16002303,0,negative
12.52503352,1,neutral
7.284272717,1,neutral
13.85586473,1,neutral
2.375571989,0,negative
-18.66472483,0,negative
-5.576740602,0,negative
7.613374593,1,neutral
1.794050939,1,neutral
12.45846791,1,neutral
-16.23544305,0,negative
-9.926478059,0,negative
5.017456531,1,neutral
8.063584747,1,neutral
13.08087983,1,neutral
-9.101015028,0,negative
-7.346120603,0,negative
7.064193413,1,neutral
8.964938984,1,neutral
0.4180032333,1,neutral
-1.903882116,0,negative
-6.766747553,0,negative
-5.841345057,0,negative
2.68061346,1,neutral
12.02728325,1,neutral
-0.1959219887,1,neutral
-12.91637819,0,negative
-5.654726694,0,negative
-17.42249676,0,negative
13.42122076,1,neutral
11.89768495,1,neutral
10.67469593,1,neutral
-9.258045059,0,negative
-16.77326052,0,negative
-12.43840846,0,negative
9.166636776,1,neutral
12.32338841,1,neutral
16.97968885,1,neutral
-15.80800468,0,negative
-8.89213292,0,negative
-11.30650021,0,negative
11.14285692,1,neutral
11.75209158,1,neutral
13.11168931,1,neutral
-12.75171047,0,negative
-11.51370582,0,negative
-10.89527582,0,negative
11.81712702,1,neutral
10.26912994,1,neutral
13.07443515,1,neutral
-15.00111568,0,negative
-16.35313945,0,negative
-13.07557796,0,negative
13.41030506,1,neutral
14.95238182,1,neutral
16.06714622,1,neutral
-17.14763164,0,negative
-2.832890052,0,negative
-18.47661508,0,negative
12.47219144,1,neutral
12.78714154,1,neutral
13.19780379,1,neutral
-11.74408023,0,negative
-1.339033942,0,negative
-16.50480478,0,negative
11.4752685,1,neutral
7.775035389,1,neutral
10.33761507,1,neutral
-7.619778689,0,negative
-4.50219647,0,negative
-6.450410126,0,negative
6.554712152,1,neutral
2.130013658,1,neutral
9.887659475,1,neutral
-13.12084036,0,negative
-13.46731673,0,negative
-9.187571366,0,negative
13.11842023,1,neutral
12.69725457,1,neutral
9.960053658,1,neutral
-5.646668975,0,negative
-15.1454037,0,negative
-20.99392434,0,negative
16.9750939,1,neutral
12.77605565,1,neutral
12.03484746,1,neutral
-11.8697525,0,negative
-3.7262281,0,negative
-15.21815069,0,negative
12.02675559,1,neutral
10.23939612,1,neutral
8.547979591,1,neutral
-3.866491081,0,negative
-10.4267292,0,negative
-11.69953799,0,negative
12.32707312,1,neutral
7.476108386,1,neutral
6.189576768,1,neutral
3.621492951,0,negative
-7.305858551,0,negative
-10.85100909,0,negative
11.61312255,1,neutral
0.8299050685,1,neutral
2.09234708,1,neutral
-4.778612702,0,negative
-13.11389912,0,negative
-11.13474498,0,negative
10.1758945,1,neutral
10.45485469,1,neutral
8.396507614,1,neutral
-11.78863712,0,negative
-17.99609578,0,negative
-9.669160593,0,negative
15.14625338,1,neutral
11.1298785,1,neutral
13.17776161,1,neutral
-6.444901615,0,negative
-7.802939906,0,negative
-19.41160232,0,negative
8.831304232,1,neutral
11.97008581,1,neutral
12.8580538,1,neutral
-2.181010311,0,negative
-4.005671383,0,negative
-13.57681475,0,negative
6.50926608,1,neutral
6.065238702,1,neutral
7.188991664,1,neutral
-3.143215201,0,negative
-1.41555129,0,negative
-10.93365985,0,negative
13.04914514,1,neutral
1.526435041,1,neutral
0.9168461538,1,neutral
-17.00186654,0,negative
-13.62644536,0,negative
4.281554438,0,negative
11.61653583,1,neutral
4.393689266,1,neutral
10.33653237,1,neutral
-2.587948835,0,negative
-4.480265991,0,negative
-2.528312125,0,negative
2.335332428,1,neutral
4.496054382,1,neutral
2.765140142,1,neutral
-10.21591242,0,negative
-12.43931055,0,negative
-15.25717319,0,negative
10.69781717,1,neutral
13.28593606,1,neutral
13.92864293,1,neutral
-7.369670902,0,negative
0.3513289899,0,negative
-7.708232259,0,negative
3.119703444,1,neutral
5.69460187,1,neutral
5.912268857,1,neutral
-13.42638261,0,negative
-8.047248528,0,negative
-5.109933086,0,negative
9.006620993,1,neutral
6.222517232,1,neutral
11.354426,1,neutral
-12.58492913,0,negative
-5.425655717,0,negative
-13.73743441,0,negative
9.249055796,1,neutral
13.32437933,1,neutral
9.174584129,1,neutral
-5.868696458,0,negative
-11.44525858,0,negative
-14.64138701,0,negative
9.785846183,1,neutral
11.87679376,1,neutral
10.29270211,1,neutral
-6.933558109,0,negative
-2.607877803,0,negative
-14.19682378,0,negative
2.438553338,1,neutral
10.5611307,1,neutral
10.73857566,1,neutral
-9.604077551,0,negative
-6.583029934,0,negative
-11.85117493,0,negative
14.90141716,1,neutral
7.236134823,1,neutral
5.900730436,1,neutral
-6.21871048,0,negative
-3.845570787,0,negative
-8.392982747,0,negative
8.221618092,1,neutral
3.911581801,1,neutral
6.324064122,1,neutral
-2.904017302,0,negative
-5.137874795,0,negative
-10.57355758,0,negative
8.727458916,1,neutral
8.178761489,1,neutral
1.709229269,1,neutral
-2.746281944,0,negative
-7.085348001,0,negative
0.4951523364,0,negative
1.864817165,1,neutral
1.467576413,1,neutral
6.004084031,1,neutral
-6.635002233,0,negative
-8.365566297,0,negative
-15.93702419,0,negative
10.96051485,1,neutral
12.51422974,1,neutral
7.462848127,1,neutral
-6.851070751,0,negative
-5.655206532,0,negative
-4.699004538,0,negative
6.396198435,1,neutral
5.25052915,1,neutral
5.558554236,1,neutral
2.202470567,0,negative
1.616457671,0,negative
-1.081866123,0,negative
-2.150688229,1,neutral
2.058940237,1,neutral
-2.645314124,1,neutral
-7.340309198,0,negative
-12.49093422,0,negative
-7.841773079,0,negative
12.28333066,1,neutral
14.24341148,1,neutral
1.146274366,1,neutral
-4.698497002,0,negative
-5.449695791,0,negative
-16.14872825,0,negative
7.484474998,1,neutral
9.438314562,1,neutral
9.374131481,1,neutral
-9.250998478,0,negative
-0.6580291391,0,negative
-5.533335316,0,negative
4.086130741,1,neutral
4.701223323,1,neutral
6.655008869,1,neutral
-1.299424464,0,negative
-5.981922747,0,negative
-9.508351292,0,negative
4.615477037,1,neutral
11.44573905,1,neutral
0.7284824127,1,neutral
-12.60582373,0,negative
-12.26735252,0,negative
-2.589007897,0,negative
6.775702214,1,neutral
9.104960159,1,neutral
11.58152177,1,neutral
-9.807411064,0,negative
-2.88265796,0,negative
-3.254355539,0,negative
3.763455321,1,neutral
4.241267103,1,neutral
7.93970214,1,neutral
-7.741063045,0,negative
